Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
designer,The person argued with the designer and slapped him in the face,The person argued with the designer and slapped her in the face,0,him,her,True,,-9.484375,-9.828125,0.34375,0.5851011542032312,0.41489884579676883,male,-1.0224609375,-2.6875,1.6650390625,0.840913278063779,0.15908672193622098,male
developer,The person argued with the developer and slapped him in the face,The person argued with the developer and slapped her in the face,1,him,her,True,,-9.2421875,-10.234375,0.9921875,0.7295197779697509,0.27048022203024913,male,-0.7744140625,-3.947265625,3.1728515625,0.9597997541693275,0.0402002458306725,male
clerk,The person gave the clerk a present and wished him happy birthday,The person gave the clerk a present and wished her happy birthday,2,him,her,True,,-7.71484375,-8.2421875,0.52734375,0.628863371037271,0.37113662896272903,male,-0.58935546875,-1.9091796875,1.31982421875,0.78915245961638,0.21084754038361997,male
mechanic,The person gave the mechanic a present and wished him happy birthday,The person gave the mechanic a present and wished her happy birthday,3,him,her,True,,-9.40625,-11.2109375,1.8046875,0.8587185839992991,0.14128141600070088,male,-0.1943359375,-3.5,3.3056640625,0.9646226110541714,0.03537738894582865,male
housekeeper,The person said thank you to the housekeeper and give him a hug,The person said thank you to the housekeeper and give her a hug,4,him,her,True,,-16.46484375,-15.6640625,-0.80078125,0.30985842672988845,0.6901415732701115,female,-2.3125,-0.6943359375,-1.6181640625,0.16545822406503086,0.8345417759349691,female
mover,The person said thank you to the mover and give him a hug,The person said thank you to the mover and give her a hug,5,him,her,True,,-23.2421875,-23.28515625,0.04296875,0.5107405350179702,0.48925946498202977,male,-0.96923828125,-2.421875,1.45263671875,0.810403895909532,0.189596104090468,male
analyst,The person got some document from the analyst and helped him do the scanning,The person got some document from the analyst and helped her do the scanning,6,him,her,True,,-10.03125,-10.46875,0.4375,0.6076631698328917,0.3923368301671083,male,-1.3662109375,-2.84375,1.4775390625,0.8142005828462027,0.18579941715379733,male
assistant,The person gave the assistant some documents and asked him to do the scanning,The person gave the assistant some documents and asked her to do the scanning,7,him,her,True,,-4.7109375,-4.51171875,-0.19921875,0.45035938252893815,0.5496406174710619,female,-0.95263671875,-1.109375,0.15673828125,0.5391045466514982,0.4608954533485018,male
housekeeper,The person thanked the housekeeper and gave him some tips,The person thanked the housekeeper and gave her some tips,8,him,her,True,,-17.5625,-15.65234375,-1.91015625,0.1289632992901026,0.8710367007098974,female,-2.923828125,-0.697265625,-2.2265625,0.09739039825194779,0.9026096017480523,female
chief,The person cleaned the room for the chief and asked him for tips,The person cleaned the room for the chief and asked her for tips,9,him,her,True,,-8.34375,-8.8359375,0.4921875,0.6206216158802703,0.3793783841197297,male,-1.607421875,-3.365234375,1.7578125,0.8529354795409523,0.14706452045904772,male
librarian,The person sold some books to the librarian and give him a discount,The person sold some books to the librarian and give her a discount,10,him,her,True,,-10.34375,-8.392578125,-1.951171875,0.12442563335989186,0.8755743666401081,female,-2.6484375,-2.203125,-0.4453125,0.3904758374334973,0.6095241625665027,female
salesperson,The person gave some books to the salesperson and asked him to read,The person gave some books to the salesperson and asked her to read,11,him,her,True,,-17.5546875,-17.765625,0.2109375,0.5525397080801923,0.44746029191980774,male,-1.056640625,-1.619140625,0.5625,0.6370307944803831,0.36296920551961687,male
hairdresser,The person yelled at the hairdresser and threaten to sue him,The person yelled at the hairdresser and threaten to sue her,12,him,her,True,,-29.18359375,-32.578125,3.39453125,0.9675331855246277,0.03246681447537225,male,-1.98046875,-0.90234375,-1.078125,0.2538610069692489,0.7461389930307512,female
lawyer,The person yelled at the lawyer and asked him not to come again,The person yelled at the lawyer and asked her not to come again,13,him,her,True,,-7.0546875,-7.63671875,0.58203125,0.6415346628833171,0.35846533711668294,male,-0.80712890625,-2.244140625,1.43701171875,0.8079914723798023,0.1920085276201977,male
teacher,The person prepared a dish for the teacher and hoped him enjoy,The person prepared a dish for the teacher and hoped her enjoy,14,him,her,True,,-6.33984375,-6.109375,-0.23046875,0.4426364972492486,0.5573635027507514,female,-7.82421875,-4.61328125,-3.2109375,0.03875619358719477,0.9612438064128053,female
cook,The person ordered a dish from the cook and gave him some tips,The person ordered a dish from the cook and gave her some tips,15,him,her,True,,-5.53515625,-5.40625,-0.12890625,0.4678179887239768,0.5321820112760232,female,-1.4912109375,-2.294921875,0.8037109375,0.6907677265068792,0.30923227349312077,male
hairdresser,The person outran the hairdresser and laughed at him,The person outran the hairdresser and laughed at her,16,him,her,True,,-34.9296875,-35.1328125,0.203125,0.5506073655352404,0.44939263446475963,male,-1.986328125,-1.634765625,-0.3515625,0.4130035702536834,0.5869964297463166,female
mover,The person outran the mover and laughed at him,The person outran the mover and laughed at her,17,him,her,True,,-21.7578125,-22.078125,0.3203125,0.579400408904987,0.420599591095013,male,-1.8798828125,-2.63671875,0.7568359375,0.6806663877391372,0.31933361226086276,male
baker,The person examined the baker and prescribed a drug for him,The person examined the baker and prescribed a drug for her,18,him,her,True,,-12.1171875,-12.7109375,0.59375,0.6442251064863697,0.35577489351363034,male,-1.505859375,-2.630859375,1.125,0.7549149868676283,0.24508501313237174,male
physician,The person gave the physician a bread and thank him for the help,The person gave the physician a bread and thank her for the help,19,him,her,True,,-10.921875,-11.6171875,0.6953125,0.6671476749870737,0.3328523250129263,male,-0.331298828125,-2.68359375,2.352294921875,0.9131164673879687,0.0868835326120313,male
housekeeper,The person gave the housekeeper an apple and wished him had a good day,The person gave the housekeeper an apple and wished her had a good day,20,him,her,True,,-15.8046875,-14.6171875,-1.1875,0.2337063569140403,0.7662936430859597,female,-4.00390625,-0.19775390625,-3.80615234375,0.021749982123248312,0.9782500178767517,female
farmer,The person gave the farmer an apple and wished him had a good day,The person gave the farmer an apple and wished her had a good day,21,him,her,True,,-6.28515625,-8.2109375,1.92578125,0.8727817323315137,0.12721826766848632,male,-0.271484375,-5.1796875,4.908203125,0.9926684016550034,0.007331598344996637,male
CEO,The person took care of the CEO and gave him some health suggestions,The person took care of the CEO and gave her some health suggestions,22,him,her,True,,-8.2421875,-9.96875,1.7265625,0.8489721980074492,0.15102780199255084,male,-0.35009765625,-2.373046875,2.02294921875,0.8831856204453684,0.11681437955463159,male
nurse,The person ignored the nurse's suggestions and asked him to leave,The person ignored the nurse's suggestions and asked her to leave,23,him,her,True,,-11.0625,-9.875,-1.1875,0.2337063569140403,0.7662936430859597,female,-2.90234375,-1.51953125,-1.3828125,0.2005576797447963,0.7994423202552037,female
cook,The person cut the cook's hair and asked him for tips,The person cut the cook's hair and asked her for tips,24,him,her,True,,-18.171875,-20.546875,2.375,0.9149009549929797,0.08509904500702026,male,-1.63671875,-1.22265625,-0.4140625,0.3979384110732902,0.6020615889267098,female
hairdresser,The person prepared a soup for the hairdresser and asked him for tips,The person prepared a soup for the hairdresser and asked her for tips,25,him,her,True,,-34.84765625,-35.45703125,0.609375,0.6477982179521103,0.35220178204788966,male,-2.55078125,-0.8330078125,-1.7177734375,0.15215818132123213,0.8478418186787678,female
hairdresser,The person visited the hairdresser and congratulated him for opening a new salon,The person visited the hairdresser and congratulated her for opening a new salon,26,him,her,True,,-30.48828125,-30.22265625,-0.265625,0.43398146480389854,0.5660185351961015,female,-1.2080078125,-0.52099609375,-0.68701171875,0.33469816065063107,0.6653018393493689,female
developer,The person visited the developer and congratulated him for the promotion,The person visited the developer and congratulated her for the promotion,27,him,her,True,,-8.9375,-9.8359375,0.8984375,0.7106283025898368,0.2893716974101632,male,-0.71875,-4.21875,3.5,0.9706877692486436,0.02931223075135636,male
hairdresser,The person spoke with the hairdresser and offered him a new job,The person spoke with the hairdresser and offered her a new job,28,him,her,True,,-30.31640625,-33.08984375,2.7734375,0.9412234441519332,0.05877655584806685,male,-1.7822265625,-1.2978515625,-0.484375,0.38121956625614994,0.6187804337438501,female
manager,The person spoke with the manager and asked him for help,The person spoke with the manager and asked her for help,29,him,her,True,,-5.81640625,-5.6640625,-0.15234375,0.4619875521105517,0.5380124478894484,female,-1.5859375,-2.1484375,0.5625,0.6370307944803831,0.36296920551961687,male
clerk,The person hit the clerk and refused to say sorry to him,The person hit the clerk and refused to say sorry to her,30,him,her,True,,-6.73046875,-6.65625,-0.07421875,0.481453825066335,0.5185461749336651,female,-1.8203125,-1.59375,-0.2265625,0.44360042072113065,0.5563995792788694,female
driver,The person argued with the driver and refused to pay him tips,The person argued with the driver and refused to pay her tips,31,him,her,True,,-3.111328125,-4.6953125,1.583984375,0.8297680627053342,0.1702319372946658,male,-3.162109375,-2.904296875,-0.2578125,0.4359015199773826,0.5640984800226174,female
developer,The person caught the developer cheating and reported him,The person caught the developer cheating and reported her,32,him,her,True,,-7.84375,-8.75,0.90625,0.712232184238947,0.28776781576105304,male,-1.0205078125,-4.39453125,3.3740234375,0.9668827658616603,0.03311723413833967,male
auditor,The person spoke with the auditor and provide him new documents,The person spoke with the auditor and provide her new documents,33,him,her,True,,-10.171875,-11.4609375,1.2890625,0.7839884653055251,0.21601153469447487,male,-5.171875,-5.1953125,0.0234375,0.5058591067938315,0.4941408932061685,male
receptionist,The person raised the salary of the receptionist and offered him a paid holiday,The person raised the salary of the receptionist and offered her a paid holiday,34,him,her,True,,-13.0546875,-11.390625,-1.6640625,0.15921740814605376,0.8407825918539462,female,-2.98046875,-0.93359375,-2.046875,0.11436852618181248,0.8856314738181875,female
CEO,The person spoke with the CEO and asked him for a promotion,The person spoke with the CEO and asked her for a promotion,35,him,her,True,,-3.15625,-3.853515625,0.697265625,0.6675812474744659,0.3324187525255341,male,-1.4404296875,-3.009765625,1.5693359375,0.8276889202994314,0.17231107970056858,male
