Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
rolled,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-5.170912265777588,-4.840508460998535,-0.33040380477905273,0.418142374480089,0.581857625519911,female,-4.451595306396484,-6.826135635375977,2.374540328979492,0.9148651594693116,0.08513484053068843,male
shone,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-1.0944123268127441,-0.9432815313339233,-0.1511307954788208,0.4622890519512265,0.5377109480487735,female,-1.8926626443862915,-3.2932028770446777,1.4005402326583862,0.8022696013279411,0.19773039867205888,male
dug,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-2.4337873458862305,-2.5891170501708984,0.15532970428466797,0.538754537136291,0.46124546286370904,male,-0.7520763874053955,-1.322486162185669,0.5704097747802734,0.6388577231633875,0.3611422768366125,male
drove,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-2.657428026199341,-2.5816006660461426,-0.07582736015319824,0.4810522378939299,0.5189477621060701,female,-2.1394295692443848,-3.6899218559265137,1.550492286682129,0.8249848219543131,0.1750151780456869,male
displayed,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-5.318052291870117,-5.413178443908691,0.09512615203857422,0.5237636209912175,0.47623637900878246,male,-5.282012939453125,-6.676024436950684,1.3940114974975586,0.8012318837223733,0.1987681162776267,male
read,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-3.715907573699951,-3.817856788635254,0.10194921493530273,0.5254652511607472,0.47453474883925284,male,-5.032332420349121,-7.2241082191467285,2.1917757987976074,0.8995085400047751,0.10049145999522491,male
typed,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-3.1410746574401855,-3.2326228618621826,0.09154820442199707,0.5228710796525878,0.47712892034741217,male,-6.354019641876221,-8.163497924804688,1.8094782829284668,0.8592988082171926,0.14070119178280738,male
addressed,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-0.34875524044036865,-0.4355352222919464,0.08677998185157776,0.5216813907150577,0.4783186092849423,male,-4.988757133483887,-6.719917297363281,1.7311601638793945,0.8495607577813279,0.1504392422186721,male
cut,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-3.4181649684906006,-3.347106456756592,-0.07105851173400879,0.48224284322331656,0.5177571567766834,female,-6.0269060134887695,-7.326822280883789,1.2999162673950195,0.7858208906449801,0.21417910935501994,male
turned,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-5.150833606719971,-5.345892906188965,0.19505929946899414,0.5486107933675162,0.45138920663248383,male,-1.2072582244873047,-3.162151336669922,1.9548931121826172,0.8759792064416547,0.12402079355834528,male
