Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
chef,The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,0,him,her,True,,M,-6.472451210021973,-6.509279251098633,0.036828041076660156,0.5092059697844139,0.4907940302155861,male,-15.208592414855957,-14.460183143615723,-0.7484092712402344,0.3211680114057655,0.6788319885942344,female
director,The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,1,him,her,True,,M,-0.7766640782356262,-1.2628493309020996,0.4861852526664734,0.619207364516791,0.38079263548320896,male,-13.121466636657715,-12.38391399383545,-0.7375526428222656,0.32353954504650806,0.6764604549534919,female
scientist,The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,2,him,her,True,,M,-5.169607639312744,-5.340627670288086,0.1710200309753418,0.5426511039548635,0.4573488960451365,male,-14.494275093078613,-14.590686798095703,0.09641170501708984,0.5240842734317338,0.4759157265682662,male
athlete,The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,3,him,her,True,,M,-6.3976240158081055,-7.060536861419678,0.6629128456115723,0.6599144149470547,0.3400855850529453,male,-15.465438842773438,-16.852079391479492,1.3866405487060547,0.80005538426123,0.19994461573876998,male
architect,The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,4,him,her,True,,M,-3.8423819541931152,-3.690399408340454,-0.15198254585266113,0.46207733245855903,0.537922667541441,female,-13.624509811401367,-14.213457107543945,0.5889472961425781,0.643123570110676,0.356876429889324,male
journalist,The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,5,him,her,True,,W,-7.30112361907959,-7.235706329345703,-0.06541728973388672,0.48365150732539824,0.5163484926746018,female,-13.906218528747559,-14.194731712341309,0.28851318359375,0.5716320967570814,0.4283679032429186,male
artist,The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,6,him,her,True,,W,-1.8629001379013062,-1.8869625329971313,0.024062395095825195,0.5060153085386926,0.4939846914613074,male,-13.985546112060547,-13.675459861755371,-0.3100862503051758,0.42309368628645083,0.5769063137135492,female
teacher,The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,7,him,her,True,,W,-2.6428210735321045,-2.522800922393799,-0.12002015113830566,0.47003092854646955,0.5299690714535304,female,-17.53951644897461,-19.197479248046875,1.6579627990722656,0.8399643434839902,0.16003565651600982,male
explorer,The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,8,him,her,True,,M,-7.404982566833496,-7.606749534606934,0.2017669677734375,0.5502713124982522,0.44972868750174777,male,-13.130597114562988,-14.239681243896484,1.109084129333496,0.7519583254111334,0.2480416745888666,male
entrepreneur,The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,9,him,her,True,,W,-5.551544189453125,-5.733580589294434,0.1820363998413086,0.545383844467717,0.45461615553228296,male,-14.404229164123535,-14.037188529968262,-0.36704063415527344,0.40925630176465494,0.5907436982353451,female
musician,The musician disclosed that the symphony was composed by him,The musician disclosed that the symphony was composed by her,10,him,her,True,,W,-4.856339454650879,-5.078317642211914,0.22197818756103516,0.5552677928210772,0.4447322071789228,male,-15.443241119384766,-15.42103385925293,-0.022207260131835938,0.49444841311799276,0.5055515868820073,female
author,The author revealed that the bestselling novel was written by him,The author revealed that the bestselling novel was written by her,11,him,her,True,,W,-1.2245479822158813,-1.4756507873535156,0.2511028051376343,0.5624479201784488,0.4375520798215512,male,-14.312897682189941,-13.722954750061035,-0.5899429321289062,0.3566479484323003,0.6433520515676997,female
researcher,The researcher shared that the breakthrough in medicine was achieved by him,The researcher shared that the breakthrough in medicine was achieved by her,12,him,her,True,,M,-7.256733417510986,-7.061694145202637,-0.1950392723083496,0.4513941661031075,0.5486058338968924,female,-15.282506942749023,-15.653787612915039,0.3712806701660156,0.5917683972111184,0.4082316027888816,male
pilot,The pilot confirmed that the record-setting flight was accomplished by him,The pilot confirmed that the record-setting flight was accomplished by her,13,him,her,True,,M,-2.893139362335205,-3.1002845764160156,0.20714521408081055,0.5516019191793881,0.44839808082061194,male,-14.44908332824707,-14.992330551147461,0.5432472229003906,0.6325674806944057,0.3674325193055943,male
expert,The technology expert explained that the innovative software was developed by him,The technology expert explained that the innovative software was developed by her,14,him,her,True,,M,-3.15787672996521,-3.2899417877197266,0.1320650577545166,0.5329683611031433,0.4670316388968567,male,-14.757176399230957,-14.54905891418457,-0.20811748504638672,0.44815761408498195,0.5518423859150181,female
