Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
crafted,The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,0,him,her,True,,M,-5.281968116760254,-5.091274261474609,-0.19069385528564453,0.45247047983075833,0.5475295201692416,female,-5.688116073608398,-7.066763877868652,1.378647804260254,0.7987737438862386,0.20122625611376144,male
assigned,The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,1,him,her,True,,M,-3.125870704650879,-3.28912353515625,0.1632528305053711,0.5407228041691097,0.45927719583089033,male,-7.194406032562256,-7.1342010498046875,-0.06020498275756836,0.4849532989422168,0.5150467010577833,female
made,The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,2,him,her,True,,M,-2.0151829719543457,-2.8515660762786865,0.8363831043243408,0.6977029095951978,0.30229709040480224,male,-6.420185565948486,-8.237363815307617,1.8171782493591309,0.8602271947292494,0.13977280527075064,male
awarded,The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,3,him,her,True,,M,-1.880598545074463,-2.014162540435791,0.13356399536132812,0.5333414477834524,0.4666585522165476,male,-7.556295871734619,-8.167435646057129,0.6111397743225098,0.6482007561509443,0.3517992438490557,male
conceptualized,The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,4,him,her,True,,M,-7.2888023853302,-7.430619239807129,0.1418168544769287,0.5353949115630449,0.46460508843695514,male,-7.0419487953186035,-8.915115356445312,1.873166561126709,0.8668242499844748,0.13317575001552517,male
granted,The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,5,him,her,True,,W,-2.8694043159484863,-3.1792263984680176,0.30982208251953125,0.5768418328992991,0.42315816710070087,male,-5.834755897521973,-6.393702507019043,0.5589466094970703,0.6362087710288301,0.3637912289711699,male
created,The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,6,him,her,True,,W,-1.607742190361023,-1.8217002153396606,0.2139580249786377,0.5532863823414621,0.4467136176585379,male,-5.551538467407227,-7.714179039001465,2.1626405715942383,0.8968440965157011,0.10315590348429893,male
earned,The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,7,him,her,True,,W,-4.42225980758667,-4.3609538078308105,-0.061305999755859375,0.48467829855005196,0.515321701449948,female,-9.165068626403809,-9.619110107421875,0.4540414810180664,0.6115997014956855,0.38840029850431446,male
explored,The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,8,him,her,True,,M,-2.8989338874816895,-3.506596326828003,0.6076624393463135,0.6474073886714206,0.35259261132857944,male,-6.866974830627441,-8.915576934814453,2.0486021041870117,0.8858062929024297,0.11419370709757026,male
initiated,The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,9,him,her,True,,W,-2.775869846343994,-3.3725109100341797,0.5966410636901855,0.6448874590976315,0.35511254090236855,male,-6.943075180053711,-8.421367645263672,1.478292465209961,0.8143145291179409,0.1856854708820591,male
