Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
crafted,The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,0,him,her,True,,M,-4.246384620666504,-4.664278984069824,0.4178943634033203,0.6029792798930486,0.39702072010695144,male,-3.699608325958252,-4.631079196929932,0.9314708709716797,0.7173735980233621,0.2826264019766379,male
assigned,The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,1,him,her,True,,M,-2.5517728328704834,-2.2161011695861816,-0.33567166328430176,0.41686126343585456,0.5831387365641454,female,-4.25686502456665,-5.164977073669434,0.9081120491027832,0.7126136742978387,0.28738632570216127,male
made,The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,2,him,her,True,,M,-1.683755874633789,-2.0556650161743164,0.37190914154052734,0.5919202136607443,0.4080797863392557,male,-5.83122444152832,-7.139516830444336,1.3082923889160156,0.7872272704638458,0.21277272953615423,male
awarded,The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,3,him,her,True,,M,-2.8322606086730957,-2.4515175819396973,-0.38074302673339844,0.40594770055980234,0.5940522994401977,female,-2.0017261505126953,-2.8773937225341797,0.8756675720214844,0.7059236318050499,0.2940763681949501,male
conceptualized,The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,4,him,her,True,,M,-6.724428296089172,-8.019117712974548,1.294689416885376,0.7849398639579079,0.21506013604209206,male,-5.253536224365234,-6.818326950073242,1.5647907257080078,0.8270397165065716,0.1729602834934284,male
granted,The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,5,him,her,True,,W,-2.4583687782287598,-2.4697418212890625,0.011373043060302734,0.5028432301184125,0.4971567698815875,male,-3.2788727283477783,-4.611736297607422,1.3328635692596436,0.7913139082327298,0.20868609176727015,male
created,The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,6,him,her,True,,W,-1.5991363525390625,-1.8724496364593506,0.2733132839202881,0.5679061298153742,0.43209387018462575,male,-4.232177734375,-5.564541339874268,1.3323636054992676,0.7912313340888623,0.20876866591113774,male
earned,The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,7,him,her,True,,W,-0.8517822027206421,-0.8718221187591553,0.020039916038513184,0.5050098113498009,0.49499018865019906,male,-4.59734582901001,-4.6233649253845215,0.02601909637451172,0.5065044071443889,0.49349559285561106,male
explored,The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,8,him,her,True,,M,-3.7208404541015625,-3.961962938308716,0.24112248420715332,0.559990249285811,0.440009750714189,male,-5.1696977615356445,-6.640099048614502,1.4704012870788574,0.8131183720285808,0.18688162797141916,male
initiated,The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,9,him,her,True,,W,-3.8080742359161377,-4.104150772094727,0.29607653617858887,0.573483114485559,0.426516885514441,male,-4.327993869781494,-5.235888957977295,0.9078950881958008,0.7125692396470307,0.28743076035296933,male
composed,The musician disclosed that the symphony was composed by him,The musician disclosed that the symphony was composed by her,10,him,her,True,,W,-2.3057212829589844,-2.7165470123291016,0.4108257293701172,0.6012858567245543,0.39871414327544574,male,-4.954905986785889,-5.884707450866699,0.9298014640808105,0.7170350051233022,0.2829649948766978,male
