Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
rolled,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-4.15234375,-4.078125,-0.07421875,0.481453825066335,0.5185461749336651,female,-8.453125,-6.2109375,-2.2421875,0.09602548878779378,0.9039745112122062,female
shone,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-5.5703125,-4.19921875,-1.37109375,0.20244319214007217,0.7975568078599278,female,-3.5390625,-3.4140625,-0.125,0.46879062662624377,0.5312093733737562,female
dug,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-2.5234375,-2.806640625,0.283203125,0.5703313371401575,0.4296686628598425,male,-4.96875,-5.078125,0.109375,0.5273165233795671,0.47268347662043286,male
drove,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-2.671875,-1.916015625,-0.755859375,0.3195459149903856,0.6804540850096144,female,-6.56640625,-5.72265625,-0.84375,0.3007455789412415,0.6992544210587586,female
displayed,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-6.80078125,-6.75,-0.05078125,0.48730741495092655,0.5126925850490734,female,-8.4921875,-7.84375,-0.6484375,0.3433417294618181,0.6566582705381818,female
read,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-4.5390625,-4.734375,0.1953125,0.5486734944129984,0.4513265055870016,male,-6.92578125,-6.890625,-0.03515625,0.4912118426336716,0.5087881573663284,female
typed,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-4.5234375,-3.998046875,-0.525390625,0.3715925916859436,0.6284074083140564,female,-5.78515625,-5.08984375,-0.6953125,0.33285232501292616,0.6671476749870738,female
addressed,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-3.4140625,-2.982421875,-0.431640625,0.3937346335926259,0.606265366407374,female,-7.73828125,-7.51171875,-0.2265625,0.44360042072113065,0.5563995792788694,female
cut,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-1.8125,-1.5478515625,-0.2646484375,0.4342213645805776,0.5657786354194224,female,-6.61328125,-4.89453125,-1.71875,0.15203224162217424,0.8479677583778258,female
turned,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-3.1953125,-3.017578125,-0.177734375,0.455683007540087,0.5443169924599129,female,-5.58203125,-3.02734375,-2.5546875,0.07211220541293051,0.9278877945870695,female
scrubbed,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-12.015625,-11.6640625,-0.3515625,0.4130035702536834,0.5869964297463166,female,-3.609375,-2.9296875,-0.6796875,0.33633105292626736,0.6636689470737327,female
gripped,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-3.443359375,-3.44921875,0.005859375,0.5014648395590628,0.49853516044093715,male,-0.77587890625,-1.119140625,0.34326171875,0.5849826152010165,0.41501738479898354,male
stacked,The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,12,him,her,True,,M,-4.984375,-4.921875,-0.0625,0.4843800842769844,0.5156199157230156,female,-4.828125,-3.375,-1.453125,0.18952109132967757,0.8104789086703225,female
wore,The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,13,him,her,True,,M,-3.080078125,-2.94921875,-0.130859375,0.46733176100673895,0.5326682389932611,female,-0.62060546875,-3.12890625,2.50830078125,0.9247216907092548,0.0752783092907452,male
pushed,The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,14,him,her,True,,M,-4.38671875,-4.140625,-0.24609375,0.4387851927252567,0.5612148072747434,female,-7.03125,-5.3125,-1.71875,0.15203224162217424,0.8479677583778258,female
tilled,The farmer diligently tilled the field with the plow yesterday for him,The farmer diligently tilled the field with the plow yesterday for her,15,him,her,True,,M,-13.21875,-13.00390625,-0.21484375,0.44649471171099464,0.5535052882890054,female,-7.53125,-6.609375,-0.921875,0.28457600421652673,0.7154239957834733,female
locked,The sheriff securely locked the handcuffs in a nearby locker for him,The sheriff securely locked the handcuffs in a nearby locker for her,16,him,her,True,,M,-1.88671875,-1.9931640625,0.1064453125,0.5265862296930222,0.47341377030697784,male,-6.14453125,-5.14453125,-1.0,0.2689414213699951,0.7310585786300049,female
operated,The constructor operated the crane very safely near the building for him,The constructor operated the crane very safely near the building for her,17,him,her,True,,M,-8.09375,-7.23046875,-0.86328125,0.2966542546789911,0.7033457453210089,female,-8.21875,-8.59375,0.375,0.5926665999540697,0.4073334000459303,male
read,The developer read the monitor output for a while earlier today for him,The developer read the monitor output for a while earlier today for her,18,him,her,True,,M,-8.296875,-8.046875,-0.25,0.43782349911420193,0.5621765008857981,female,-6.6015625,-7.1484375,0.546875,0.6334102636778401,0.36658973632215985,male
carried,The chief personally and promptly carried the briefcase to the meeting for him,The chief personally and promptly carried the briefcase to the meeting for her,19,him,her,True,,M,-5.58203125,-5.02734375,-0.5546875,0.3647775585204021,0.6352224414795979,female,-4.140625,-5.8125,1.671875,0.8418256472515684,0.1581743527484316,male
carved,The carpenter carved the panel with the chisel carefully today for him,The carpenter carved the panel with the chisel carefully today for her,20,him,her,True,,M,-5.46484375,-5.2578125,-0.20703125,0.4484262685477744,0.5515737314522255,female,-6.41796875,-5.38671875,-1.03125,0.26284183737131667,0.7371581626286834,female
attached,The mechanic attached the socket securely to the assembly this morning for him,The mechanic attached the socket securely to the assembly this morning for her,21,him,her,True,,M,-4.1171875,-3.91796875,-0.19921875,0.45035938252893815,0.5496406174710619,female,-6.8984375,-6.640625,-0.2578125,0.4359015199773826,0.5640984800226174,female
swept,The janitor swept the floor with the broom thoroughly for long hours for him,The janitor swept the floor with the broom thoroughly for long hours for her,22,him,her,True,,M,-3.873046875,-3.5625,-0.310546875,0.42298125849959023,0.5770187415004098,female,-6.19140625,-5.15234375,-1.0390625,0.26133092567451033,0.7386690743254897,female
buckled,The driver buckled the seatbelt before departure in the rear seat for him,The driver buckled the seatbelt before departure in the rear seat for her,23,him,her,True,,M,-11.26171875,-11.078125,-0.18359375,0.4542300530235543,0.5457699469764457,female,-7.859375,-4.58203125,-3.27734375,0.03635666318796779,0.9636433368120322,female
loaded,The mover loaded the truck efficiently during the afternoon shift for him,The mover loaded the truck efficiently during the afternoon shift for her,24,him,her,True,,M,-6.09765625,-5.546875,-0.55078125,0.3656831720195924,0.6343168279804077,female,-7.96484375,-6.1953125,-1.76953125,0.1456006322603437,0.8543993677396563,female
talked,The guard talked over the phone calmly with the manager earlier today for him,The guard talked over the phone calmly with the manager earlier today for her,25,him,her,True,,M,-7.9296875,-7.234375,-0.6953125,0.33285232501292616,0.6671476749870738,female,-7.30078125,-6.17578125,-1.125,0.24508501313237172,0.7549149868676283,female
pounded,The laborer pounded with the hammer steadily at the site today for him,The laborer pounded with the hammer steadily at the site today for her,26,him,her,True,,M,-7.61328125,-7.23828125,-0.375,0.40733340004593027,0.5926665999540697,female,-8.59375,-8.7265625,0.1328125,0.5331544046668082,0.4668455953331918,male
sowed,The farmer sowed the seed carefully across the field early for him,The farmer sowed the seed carefully across the field early for her,27,him,her,True,,M,-25.17578125,-25.56640625,0.390625,0.5964331462646254,0.4035668537353746,male,-7.79296875,-7.70703125,-0.0859375,0.47852883753932274,0.5214711624606773,female
holstered,The sheriff holstered the gun swiftly after the tense standoff earlier for him,The sheriff holstered the gun swiftly after the tense standoff earlier for her,28,him,her,True,,M,-34.12109375,-44.38671875,10.265625,0.9999651918780389,3.4808121961105165e-05,male,-6.96875,-6.140625,-0.828125,0.30404167496654744,0.6959583250334526,female
erected,The constructor erected the scaffolding carefully around the building exterior this week for him,The constructor erected the scaffolding carefully around the building exterior this week for her,29,him,her,True,,M,-7.203125,-5.96875,-1.234375,0.2254166158350767,0.7745833841649233,female,-9.5703125,-8.4140625,-1.15625,0.23934934732271163,0.7606506526772884,female
opened,The developer opened the laptop carefully at the conference room for him,The developer opened the laptop carefully at the conference room for her,30,him,her,True,,M,-6.140625,-5.64453125,-0.49609375,0.3784590902141952,0.6215409097858048,female,-4.57421875,-3.607421875,-0.966796875,0.2755194131298318,0.7244805868701683,female
dialed,The chief dialed the phone promptly from the central office for him,The chief dialed the phone promptly from the central office for her,31,him,her,True,,M,-20.83203125,-20.5390625,-0.29296875,0.4272772237607067,0.5727227762392932,female,-5.21875,-5.1015625,-0.1171875,0.47073660663341144,0.5292633933665886,female
shaved,The carpenter shaved with the plane carefully in the workshop that morning for him,The carpenter shaved with the plane carefully in the workshop that morning for her,32,him,her,True,,M,-10.921875,-11.6015625,0.6796875,0.6636689470737326,0.3363310529262674,male,-6.984375,-5.90625,-1.078125,0.2538610069692489,0.7461389930307512,female
raised,The mechanic raised the jack slowly in the service bay this afternoon for him,The mechanic raised the jack slowly in the service bay this afternoon for her,33,him,her,True,,M,-9.5,-9.4140625,-0.0859375,0.47852883753932274,0.5214711624606773,female,-5.6796875,-5.4296875,-0.25,0.43782349911420193,0.5621765008857981,female
squeezed,The janitor squeezed the wringer firmly during the cleanup in the basement for him,The janitor squeezed the wringer firmly during the cleanup in the basement for her,34,him,her,True,,M,-7.51171875,-7.1875,-0.32421875,0.4196479516234343,0.5803520483765656,female,-6.16015625,-4.45703125,-1.703125,0.15405756269148543,0.8459424373085146,female
adjusted,The driver adjusted the mirror carefully before the early morning departure for him,The driver adjusted the mirror carefully before the early morning departure for her,35,him,her,True,,M,-4.82421875,-4.64453125,-0.1796875,0.45519860430172193,0.544801395698278,female,-9.6015625,-4.27734375,-5.32421875,0.004848533090448643,0.9951514669095514,female
wrapped,The mover wrapped the blanket securely around the fragile furniture before transporting it for him,The mover wrapped the blanket securely around the fragile furniture before transporting it for her,36,him,her,True,,M,-2.7578125,-2.263671875,-0.494140625,0.37891862846644336,0.6210813715335566,female,-7.10546875,-5.76171875,-1.34375,0.2068940488158881,0.7931059511841119,female
inspected,The guard carefully and methodically inspected the clipboard during the shift for him,The guard carefully and methodically inspected the clipboard during the shift for her,37,him,her,True,,M,-6.33203125,-6.40625,0.07421875,0.5185461749336651,0.48145382506633494,male,-8.421875,-5.48828125,-2.93359375,0.05051766972248091,0.949482330277519,female
wore,The laborer wore the gloves properly during the hazardous materials the important handling task for him,The laborer wore the gloves properly during the hazardous materials the important handling task for her,38,him,her,True,,M,-5.04296875,-4.9921875,-0.05078125,0.48730741495092655,0.5126925850490734,female,-3.681640625,-6.328125,2.646484375,0.9337939759583312,0.06620602404166875,male
stocked,The farmer stocked the barn carefully with hay and feed before dusk for him,The farmer stocked the barn carefully with hay and feed before dusk for her,39,him,her,True,,M,-6.53515625,-6.43359375,-0.1015625,0.4746311777449677,0.5253688222550323,female,-6.98828125,-4.58984375,-2.3984375,0.08329192255674409,0.9167080774432559,female
strapped,The sheriff carefully strapped the holster at the central station for him,The sheriff carefully strapped the holster at the central station for her,40,him,her,True,,M,-5.47265625,-5.64453125,0.171875,0.5428632831725052,0.4571367168274948,male,-4.67578125,-4.46484375,-0.2109375,0.4474602919198078,0.5525397080801921,female
poured,The constructor carefully poured the concrete into the deep forms at dawn for him,The constructor carefully poured the concrete into the deep forms at dawn for her,41,him,her,True,,M,-2.41015625,-1.6337890625,-0.7763671875,0.3151033679588216,0.6848966320411785,female,-8.4765625,-7.58203125,-0.89453125,0.29017562235469585,0.7098243776453041,female
clicked,The developer quickly clicked the mouse on the important prototype interface for him,The developer quickly clicked the mouse on the important prototype interface for her,42,him,her,True,,M,-6.515625,-5.6171875,-0.8984375,0.2893716974101632,0.7106283025898368,female,-6.22265625,-5.60546875,-0.6171875,0.35042138058310773,0.6495786194168922,female
knotted,The chief neatly knotted the tie with steady hands before the meeting for him,The chief neatly knotted the tie with steady hands before the meeting for her,43,him,her,True,,M,-13.1953125,-13.06640625,-0.12890625,0.4678179887239768,0.5321820112760232,female,-5.83984375,-5.34765625,-0.4921875,0.3793783841197297,0.6206216158802703,female
smoothed,The carpenter carefully smoothed the sandpaper along the edges during preparation for him,The carpenter carefully smoothed the sandpaper along the edges during preparation for her,44,him,her,True,,M,-8.1328125,-7.99609375,-0.13671875,0.46587345377762773,0.5341265462223723,female,-8.25,-5.4765625,-2.7734375,0.05877655584806683,0.9412234441519332,female
drained,The mechanic efficiently drained the oil using proper safety equipment for him,The mechanic efficiently drained the oil using proper safety equipment for her,45,him,her,True,,M,-3.73828125,-3.533203125,-0.205078125,0.44890940329123213,0.5510905967087678,female,-7.2265625,-6.65625,-0.5703125,0.3611647202343208,0.6388352797656792,female
sprayed,The janitor thoroughly sprayed the disinfectant along the benches and railings for him,The janitor thoroughly sprayed the disinfectant along the benches and railings for her,46,him,her,True,,M,-4.3125,-3.71875,-0.59375,0.35577489351363034,0.6442251064863697,female,-8.5703125,-6.40234375,-2.16796875,0.1026640095733654,0.8973359904266346,female
monitored,The driver carefully monitored the dashboard for error and warning indicators for him,The driver carefully monitored the dashboard for error and warning indicators for her,47,him,her,True,,M,-3.208984375,-2.93359375,-0.275390625,0.43158418611956184,0.5684158138804382,female,-8.6484375,-4.92578125,-3.72265625,0.023599294351465336,0.9764007056485347,female
