Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
dolly,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-7.041749954223633,-6.525803565979004,-0.5159463882446289,0.3738005911825076,0.6261994088174925,female,-15.794970512390137,-14.053804397583008,-1.741166114807129,0.14916487684515364,0.8508351231548463,female
flashlight,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-1.1979860067367554,-1.3484246730804443,0.15043866634368896,0.5375388955687859,0.46246110443121413,male,-14.16473388671875,-13.721973419189453,-0.4427604675292969,0.3910834020281674,0.6089165979718326,female
shovel,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-1.0894269943237305,-1.0783048868179321,-0.01112210750579834,0.4972195017860893,0.5027804982139107,female,-19.057897567749023,-18.56418800354004,-0.4937095642089844,0.37902007930538756,0.6209799206946125,female
tractor,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-3.4322619438171387,-3.4026365280151367,-0.029625415802001953,0.4925941876935927,0.5074058123064074,female,-17.56613540649414,-17.216249465942383,-0.3498859405517578,0.41341008047497885,0.5865899195250212,female
badge,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-1.544715166091919,-1.7914901971817017,0.24677503108978271,0.5613825676119856,0.4386174323880144,male,-13.961304664611816,-13.755534172058105,-0.20577049255371094,0.4487381247201289,0.551261875279871,female
blueprint,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-8.883695423603058,-8.541565001010895,-0.3421304225921631,0.41529206494540405,0.584707935054596,female,-15.008085250854492,-14.97873306274414,-0.029352188110351562,0.49266247976880634,0.5073375202311936,female
keyboard,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-1.4417479038238525,-1.580801248550415,0.1390533447265625,0.5347074294418399,0.4652925705581601,male,-17.60483169555664,-17.698312759399414,0.09348106384277344,0.5233532619897789,0.47664673801022106,male
podium,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-2.0114059448242188,-2.0324440002441406,0.021038055419921875,0.5052593198752616,0.4947406801247384,male,-13.827199935913086,-13.685611724853516,-0.1415882110595703,0.46466196330690523,0.5353380366930948,female
saw,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-4.216313362121582,-5.067605972290039,0.851292610168457,0.700838226638224,0.29916177336177596,male,-14.70649528503418,-14.42721939086914,-0.27927589416503906,0.43063130918588505,0.5693686908141149,female
wrench,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-12.028952450491488,-12.005227883113548,-0.02372456737793982,0.49406913633764243,0.5059308636623576,female,-15.938578605651855,-16.076763153076172,0.1381845474243164,0.534491270170015,0.46550872982998504,male
mop,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-12.575573865324259,-12.576217420399189,0.000643555074930191,0.5001608887631798,0.49983911123682023,male,-23.019458770751953,-20.984407424926758,-2.0350513458251953,0.11557159626856088,0.8844284037314392,female
wheel,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-2.5470573902130127,-2.9213132858276367,0.374255895614624,0.5924869511764161,0.40751304882358386,male,-17.062030792236328,-16.942028045654297,-0.12000274658203125,0.47003526405598,0.52996473594402,female
