Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
dolly,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-4.237691164016724,-4.8748438358306885,0.6371526718139648,0.6541095348787322,0.34589046512126775,male,-4.451595306396484,-6.826135635375977,2.374540328979492,0.9148651594693116,0.08513484053068843,male
flashlight,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-2.4978318214416504,-2.8240609169006348,0.3262290954589844,0.5808415758021342,0.41915842419786575,male,-1.8926626443862915,-3.2932028770446777,1.4005402326583862,0.8022696013279411,0.19773039867205888,male
shovel,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-0.7834176421165466,-0.8345293402671814,0.051111698150634766,0.5127751435039468,0.4872248564960532,male,-0.7520763874053955,-1.322486162185669,0.5704097747802734,0.6388577231633875,0.3611422768366125,male
tractor,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-0.7373144626617432,-0.9283672571182251,0.19105279445648193,0.5476184425805297,0.4523815574194703,male,-2.1394295692443848,-3.6899218559265137,1.550492286682129,0.8249848219543131,0.1750151780456869,male
badge,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-1.9876198768615723,-2.0758118629455566,0.08819198608398438,0.5220337171696569,0.47796628283034315,male,-5.282012939453125,-6.676024436950684,1.3940114974975586,0.8012318837223733,0.1987681162776267,male
blueprint,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-6.721441268920898,-7.544089317321777,0.8226480484008789,0.69479815798702,0.30520184201297995,male,-5.032332420349121,-7.2241082191467285,2.1917757987976074,0.8995085400047751,0.10049145999522491,male
keyboard,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-1.442857027053833,-1.696502923965454,0.2536458969116211,0.5630736760042514,0.4369263239957486,male,-6.354019641876221,-8.163497924804688,1.8094782829284668,0.8592988082171926,0.14070119178280738,male
podium,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-3.2258033752441406,-2.7262747287750244,-0.4995286464691162,0.37765144501979653,0.6223485549802035,female,-4.988757133483887,-6.719917297363281,1.7311601638793945,0.8495607577813279,0.1504392422186721,male
saw,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-6.738290309906006,-6.731532096862793,-0.006758213043212891,0.49831045316981043,0.5016895468301896,female,-6.0269060134887695,-7.326822280883789,1.2999162673950195,0.7858208906449801,0.21417910935501994,male
wrench,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-7.180042743682861,-7.351492404937744,0.1714496612548828,0.5427577280217045,0.4572422719782955,male,-1.2072582244873047,-3.162151336669922,1.9548931121826172,0.8759792064416547,0.12402079355834528,male
mop,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-3.8378496170043945,-3.1595213413238525,-0.678328275680542,0.33663451621430823,0.6633654837856917,female,-2.564785957336426,-3.0357894897460938,0.47100353240966797,0.6156212515341257,0.3843787484658743,male
wheel,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-2.1403286457061768,-1.9437958002090454,-0.19653284549713135,0.45102432833066125,0.5489756716693388,female,-0.7119577527046204,-1.2586610317230225,0.5467032790184021,0.6333703888603142,0.36662961113968584,male
box,The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,12,him,her,True,,M,-4.352173805236816,-4.33514928817749,-0.017024517059326172,0.4957439735298342,0.5042560264701659,female,-8.369123458862305,-8.296669960021973,-0.07245349884033203,0.4818945449935298,0.5181054550064702,female
uniform,The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,13,him,her,True,,M,-2.482377052307129,-2.396350622177124,-0.08602643013000488,0.4785066460469612,0.5214933539530389,female,-2.7649736404418945,-4.580432891845703,1.8154592514038086,0.860020380643677,0.13997961935632297,male
wheelbarrow,The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,14,him,her,True,,M,-0.4334575275424868,-0.35471523297019303,-0.07874229457229376,0.48032459150638873,0.5196754084936113,female,-8.118521690368652,-7.943798542022705,-0.17472314834594727,0.45642999928752676,0.5435700007124733,female
plow,The farmer diligently tilled the field with the plow yesterday for him,The farmer diligently tilled the field with the plow yesterday for her,15,him,her,True,,M,-2.7244831323623657,-2.7717341780662537,0.04725104570388794,0.5118105640919344,0.4881894359080656,male,-6.086565971374512,-7.203619956970215,1.1170539855957031,0.7534418522288238,0.24655814777117624,male
handcuffs,The sheriff securely locked the handcuffs in a nearby locker for him,The sheriff securely locked the handcuffs in a nearby locker for her,16,him,her,True,,M,-4.397741317749023,-4.603858947753906,0.2061176300048828,0.5513477459129391,0.4486522540870609,male,-5.554576873779297,-6.599557876586914,1.0449810028076172,0.7398099498942181,0.2601900501057819,male
crane,The constructor operated the crane very safely near the building for him,The constructor operated the crane very safely near the building for her,17,him,her,True,,M,-1.4634615182876587,-1.7090376615524292,0.2455761432647705,0.5610873411581926,0.4389126588418074,male,-8.385496139526367,-9.321720123291016,0.9362239837646484,0.7183362890868172,0.28166371091318276,male
