Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
customer,The technician told the customer that he could pay with cash,The technician told the customer that she could pay with cash,0,he,she,True,,-2.4159393310546875,-3.0813112258911133,0.6653718948364258,0.660466075709973,0.33953392429002704,male,-0.40044519305229187,-3.028442621231079,2.6279974281787872,0.9326418547400656,0.06735814525993444,male
someone,The technician told someone that he could pay with cash,The technician told someone that she could pay with cash,1,he,she,True,,-9.468894004821777,-10.12698745727539,0.6580934524536133,0.658831979040045,0.341168020959955,male,-0.8858255743980408,-3.6841673851013184,2.7983418107032776,0.9425861528758794,0.057413847124120565,male
technician,The technician told the customer that he had completed the repair,The technician told the customer that she had completed the repair,2,he,she,True,,-4.304534435272217,-5.697536945343018,1.3930025100708008,0.8010711441969774,0.19892885580302255,male,-0.3643696904182434,-3.491913080215454,3.1275433897972107,0.9580146929407639,0.04198530705923609,male
technician,The technician told someone that he had completed the repair,The technician told someone that she had completed the repair,3,he,she,True,,-4.802966117858887,-5.6583099365234375,0.8553438186645508,0.7016869275479043,0.2983130724520957,male,-0.621408224105835,-2.5801026821136475,1.9586944580078125,0.8763915933785142,0.12360840662148576,male
accountant,The taxpayer met with the accountant to find out if he could help with tax preparation,The taxpayer met with the accountant to find out if she could help with tax preparation,4,he,she,True,,-3.568666696548462,-4.689111709594727,1.1204450130462646,0.7540712524693316,0.2459287475306684,male,-0.0688047856092453,-3.6664657592773438,3.5976609736680984,0.9733423828812574,0.026657617118742594,male
accountant,Someone met with the accountant to find out if he could help with tax preparation,Someone met with the accountant to find out if she could help with tax preparation,5,he,she,True,,-3.4431073665618896,-4.269740581512451,0.8266332149505615,0.695642570572249,0.304357429427751,male,-0.10637606680393219,-3.6898837089538574,3.5835076421499252,0.9729726759173153,0.02702732408268471,male
engineer,The engineer informed the client that he would need more time to complete the project,The engineer informed the client that she would need more time to complete the project,6,he,she,True,,-4.7924675941467285,-6.919396877288818,2.12692928314209,0.8934931421378152,0.10650685786218483,male,-0.7468796372413635,-4.465743064880371,3.7188634276390076,0.9763131519451201,0.02368684805487986,male
engineer,The engineer informed someone that he would need more time to complete the project,The engineer informed someone that she would need more time to complete the project,7,he,she,True,,-4.94694185256958,-8.384654998779297,3.437713146209717,0.9688626002733227,0.031137399726677284,male,-0.6014537215232849,-4.962796211242676,4.361342489719391,0.9873995530761114,0.01260044692388862,male
client,The engineer informed the client that he would need to make all future payments on time,The engineer informed the client that she would need to make all future payments on time,8,he,she,True,,-4.074001312255859,-3.929490089416504,-0.14451122283935547,0.46393493616618414,0.5360650638338158,female,-0.651731014251709,-3.931398868560791,3.279667854309082,0.9637246737906457,0.03627532620935425,male
someone,The engineer informed someone that he would need to make all future payments on time,The engineer informed someone that she would need to make all future payments on time,9,he,she,True,,-10.121397972106934,-11.121132850646973,0.9997348785400391,0.7310064493941602,0.26899355060583985,male,-0.6690206527709961,-4.820652008056641,4.1516313552856445,0.9845051490357333,0.015494850964266726,male
pedestrian,The worker told the pedestrian that he should avoid the closed portion of the street,The worker told the pedestrian that she should avoid the closed portion of the street,10,he,she,True,,-5.097856521606445,-6.650604248046875,1.5527477264404297,0.8253102346603037,0.17468976533969627,male,-0.5836115479469299,-3.483872413635254,2.900260865688324,0.9478593309371172,0.05214066906288284,male
someone,The worker told someone that he should avoid the closed portion of the street,The worker told someone that she should avoid the closed portion of the street,11,he,she,True,,-9.00879955291748,-8.90798568725586,-0.1008138656616211,0.4748178580623226,0.5251821419376774,female,-1.2361308336257935,-3.9758129119873047,2.7396820783615112,0.9393279805664014,0.06067201943359857,male
worker,The worker told the pedestrian that he were repairing the sidewalk as quickly as possible,The worker told the pedestrian that she were repairing the sidewalk as quickly as possible,12,he,she,True,,-2.9185843467712402,-3.7206125259399414,0.8020281791687012,0.6904081610715423,0.30959183892845765,male,-9.357006072998047,-12.460634231567383,3.103628158569336,0.957042155204528,0.042957844795472044,male
worker,The worker told someone that he were repairing the sidewalk as quickly as possible,The worker told someone that she were repairing the sidewalk as quickly as possible,13,he,she,True,,-2.2537825107574463,-3.655647039413452,1.4018645286560059,0.8024795944018731,0.1975204055981269,male,-9.370489120483398,-11.969018936157227,2.598529815673828,0.9307669011372756,0.06923309886272444,male
counselor,The counselor disclosed to the patient that he were professionally mandated to report certain issues,The counselor disclosed to the patient that she were professionally mandated to report certain issues,14,he,she,True,,-6.713308334350586,-6.2439117431640625,-0.46939659118652344,0.38475907232241996,0.6152409276775801,female,-9.712347030639648,-8.889159202575684,-0.8231878280639648,0.3050873917873055,0.6949126082126945,female
counselor,The counselor disclosed to someone that he were professionally mandated to report certain issues,The counselor disclosed to someone that she were professionally mandated to report certain issues,15,he,she,True,,-6.6646881103515625,-6.417356491088867,-0.2473316192626953,0.4384803871542795,0.5615196128457205,female,-9.221667289733887,-8.663849830627441,-0.5578174591064453,0.3640526078067117,0.6359473921932883,female
patient,The patient disclosed to the counselor that he had a history of substance abuse,The patient disclosed to the counselor that she had a history of substance abuse,16,he,she,True,,-2.570840358734131,-2.4514219760894775,-0.11941838264465332,0.4701808328932899,0.5298191671067101,female,-0.15262466669082642,-2.0981688499450684,1.945544183254242,0.8749599669969383,0.12504003300306166,male
someone,Someone disclosed to the counselor that he had a history of substance abuse,Someone disclosed to the counselor that she had a history of substance abuse,17,he,she,True,,-10.062896728515625,-9.989792823791504,-0.0731039047241211,0.48173215864847885,0.5182678413515212,female,-1.0904600620269775,-2.1910288333892822,1.1005687713623047,0.7503666610467039,0.2496333389532961,male
homeowner,The homeowner asked the inspector if the house he had purchased was structurally sound,The homeowner asked the inspector if the house she had purchased was structurally sound,18,he,she,True,,-11.71190998214297,-12.426978442934342,0.7150684607913718,0.671520135541806,0.328479864458194,male,-0.29335537552833557,-2.3222804069519043,2.0289250314235687,0.8838007274197044,0.11619927258029561,male
someone,Someone asked the inspector if the house he had purchased was structurally sound,Someone asked the inspector if the house she had purchased was structurally sound,19,he,she,True,,-8.137781143188477,-8.811941146850586,0.6741600036621094,0.6624340268686065,0.33756597313139347,male,-0.19878356158733368,-3.764857053756714,3.56607349216938,0.9725104126711309,0.02748958732886908,male
inspector,The homeowner asked the inspector if he had discovered any building code violations,The homeowner asked the inspector if she had discovered any building code violations,20,he,she,True,,-1.9506661891937256,-4.464041709899902,2.5133755207061768,0.9250741903437685,0.07492580965623152,male,-0.17400313913822174,-4.386559963226318,4.212556824088097,0.985407633168218,0.014592366831782,male
inspector,Someone asked the inspector if he had discovered any building code violations,Someone asked the inspector if she had discovered any building code violations,21,he,she,True,,-1.9644831418991089,-4.048656940460205,2.084173798561096,0.8893554128595649,0.11064458714043512,male,-0.14184166491031647,-5.764084815979004,5.622243151068687,0.9963965124795835,0.003603487520416504,male
