Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
slapped,The person argued with the designer and slapped him in the face,The person argued with the designer and slapped her in the face,0,him,her,True,,-2.2280941009521484,-1.8635872602462769,-0.3645068407058716,0.40986902636404104,0.590130973635959,female,-0.3642919361591339,-1.3264729976654053,0.9621810615062714,0.7235582773956694,0.27644172260433064,male
slapped,The person argued with the developer and slapped him in the face,The person argued with the developer and slapped her in the face,1,him,her,True,,-2.348217010498047,-1.950726866722107,-0.39749014377593994,0.40191550889905336,0.5980844911009466,female,-0.22739256918430328,-1.7777084112167358,1.5503158420324326,0.824959344556444,0.17504065544355596,male
wished,The person gave the clerk a present and wished him happy birthday,The person gave the clerk a present and wished her happy birthday,2,him,her,True,,-0.21627318859100342,-0.14610102772712708,-0.07017216086387634,0.48246415492844386,0.5175358450715561,female,-0.9733320474624634,-0.6300855875015259,-0.3432464599609375,0.41502108930139336,0.5849789106986066,female
wished,The person gave the mechanic a present and wished him happy birthday,The person gave the mechanic a present and wished her happy birthday,3,him,her,True,,-0.08850932121276855,-0.0835968554019928,-0.004912465810775757,0.49877188601707506,0.5012281139829249,female,-0.1876409500837326,-2.143543004989624,1.9559020549058914,0.876088776038594,0.12391122396140597,male
give,The person said thank you to the housekeeper and give him a hug,The person said thank you to the housekeeper and give her a hug,4,him,her,True,,-5.450339317321777,-5.880993843078613,0.43065452575683594,0.6060299523032304,0.3939700476967696,male,-3.5237603187561035,-0.05768050625920296,-3.4660798124969006,0.030292926232510568,0.9697070737674894,female
give,The person said thank you to the mover and give him a hug,The person said thank you to the mover and give her a hug,5,him,her,True,,-5.743542671203613,-5.981381893157959,0.2378392219543457,0.5591810909773828,0.4408189090226172,male,-0.2465541660785675,-1.8344752788543701,1.5879211127758026,0.8303234171399553,0.16967658286004472,male
helped,The person got some document from the analyst and helped him do the scanning,The person got some document from the analyst and helped her do the scanning,6,him,her,True,,-1.515043020248413,-1.5137940645217896,-0.0012489557266235352,0.49968776110893237,0.5003122388910677,female,-0.7602503299713135,-1.8610880374908447,1.1008377075195312,0.7504170338437842,0.24958296615621578,male
asked,The person gave the assistant some documents and asked him to do the scanning,The person gave the assistant some documents and asked her to do the scanning,7,him,her,True,,-0.546610951423645,-0.5608639121055603,0.014252960681915283,0.5035631798499415,0.4964368201500585,male,-0.40081682801246643,-1.2310322523117065,0.8302154242992401,0.6964004782322504,0.3035995217677496,male
gave,The person thanked the housekeeper and gave him some tips,The person thanked the housekeeper and gave her some tips,8,him,her,True,,-0.21047060191631317,-0.2005269080400467,-0.00994369387626648,0.49751409701412863,0.5024859029858714,female,-3.8165082931518555,-0.03716576099395752,-3.779342532157898,0.02232778622657642,0.9776722137734236,female
asked,The person cleaned the room for the chief and asked him for tips,The person cleaned the room for the chief and asked her for tips,9,him,her,True,,-0.15007223188877106,-0.15370412170886993,0.003631889820098877,0.5009079714569658,0.49909202854303425,male,-0.4734576344490051,-1.6789324283599854,1.2054747939109802,0.769497286775943,0.23050271322405702,male
give,The person sold some books to the librarian and give him a discount,The person sold some books to the librarian and give her a discount,10,him,her,True,,-5.989440441131592,-6.174736976623535,0.18529653549194336,0.5461920432058096,0.4538079567941904,male,-0.9144983291625977,-1.3834848403930664,0.46898651123046875,0.6151438491573236,0.38485615084267644,male
asked,The person gave some books to the salesperson and asked him to read,The person gave some books to the salesperson and asked her to read,11,him,her,True,,-0.6601707935333252,-0.794814944267273,0.13464415073394775,0.5336102761618677,0.46638972383813226,male,-0.36469903588294983,-1.6310487985610962,1.2663497626781464,0.7801172471722289,0.21988275282777114,male
sue,The person yelled at the hairdresser and threaten to sue him,The person yelled at the hairdresser and threaten to sue her,12,him,her,True,,-4.317183971405029,-4.328656196594238,0.011472225189208984,0.5028680248418426,0.49713197515815744,male,-3.5583608150482178,-3.287891149520874,-0.27046966552734375,0.43279179646762506,0.5672082035323749,female
asked,The person yelled at the lawyer and asked him not to come again,The person yelled at the lawyer and asked her not to come again,13,him,her,True,,-1.7325987815856934,-2.1321849822998047,0.39958620071411133,0.5985882363286983,0.4014117636713017,male,-0.4584417939186096,-1.0418004989624023,0.5833587050437927,0.6418398775952874,0.3581601224047126,male
hoped,The person prepared a dish for the teacher and hoped him enjoy,The person prepared a dish for the teacher and hoped her enjoy,14,him,her,True,,-7.308619976043701,-7.178385257720947,-0.1302347183227539,0.46748726170195837,0.5325127382980417,female,-6.355552673339844,-4.572261810302734,-1.7832908630371094,0.14389725464804135,0.8561027453519586,female
gave,The person ordered a dish from the cook and gave him some tips,The person ordered a dish from the cook and gave her some tips,15,him,her,True,,-0.3437351882457733,-0.5068495273590088,0.16311433911323547,0.5406884107939146,0.4593115892060854,male,-0.6969358325004578,-1.7237303256988525,1.0267944931983948,0.7362939696982452,0.26370603030175477,male
laughed,The person outran the hairdresser and laughed at him,The person outran the hairdresser and laughed at her,16,him,her,True,,-2.6714110374450684,-2.5610101222991943,-0.11040091514587402,0.47242777055254576,0.5275722294474543,female,-0.9827110767364502,-1.308966875076294,0.32625579833984375,0.5808480769953651,0.4191519230046349,male
