Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
mover,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-11.131952047348022,-11.109508156776428,-0.02244389057159424,0.4943892628790112,0.5056107371209888,female,-15.794970512390137,-14.053804397583008,-1.741166114807129,0.14916487684515364,0.8508351231548463,female
guard,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-3.300954818725586,-3.5757336616516113,0.2747788429260254,0.5682657256673832,0.4317342743326168,male,-14.16473388671875,-13.721973419189453,-0.4427604675292969,0.3910834020281674,0.6089165979718326,female
laborer,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-8.318217670544982,-8.504951355978847,0.1867336854338646,0.5465482405300522,0.45345175946994776,male,-19.057897567749023,-18.56418800354004,-0.4937095642089844,0.37902007930538756,0.6209799206946125,female
farmer,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-3.5500073432922363,-3.3731822967529297,-0.17682504653930664,0.45590856281200653,0.5440914371879935,female,-17.56613540649414,-17.216249465942383,-0.3498859405517578,0.41341008047497885,0.5865899195250212,female
sheriff,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-4.025874137878418,-4.024662494659424,-0.0012116432189941406,0.4996970892323095,0.5003029107676905,female,-13.961304664611816,-13.755534172058105,-0.20577049255371094,0.4487381247201289,0.551261875279871,female
constructor,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-9.411338403820992,-9.370882596820593,-0.040455807000398636,0.4898874274595756,0.5101125725404244,female,-15.008085250854492,-14.97873306274414,-0.029352188110351562,0.49266247976880634,0.5073375202311936,female
developer,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-4.6684770584106445,-5.525038719177246,0.8565616607666016,0.7019417865284517,0.29805821347154826,male,-17.60483169555664,-17.698312759399414,0.09348106384277344,0.5233532619897789,0.47664673801022106,male
chief,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-4.274411201477051,-4.316505432128906,0.04209423065185547,0.5105220040260007,0.4894779959739993,male,-13.827199935913086,-13.685611724853516,-0.1415882110595703,0.46466196330690523,0.5353380366930948,female
carpenter,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-1.4148545265197754,-1.378309965133667,-0.0365445613861084,0.49086487629776737,0.5091351237022326,female,-14.70649528503418,-14.42721939086914,-0.27927589416503906,0.43063130918588505,0.5693686908141149,female
mechanic,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-2.276927947998047,-2.3522896766662598,0.07536172866821289,0.5188315203813005,0.48116847961869946,male,-15.938578605651855,-16.076763153076172,0.1381845474243164,0.534491270170015,0.46550872982998504,male
