Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
rolled,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-5.289226531982422,-4.83345890045166,-0.4557676315307617,0.38799033828192536,0.6120096617180746,female,-2.6866071224212646,-3.3621747493743896,0.675567626953125,0.6627487208084868,0.3372512791915132,male
shone,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-3.7142536640167236,-3.417790412902832,-0.2964632511138916,0.42642229764067635,0.5735777023593236,female,-1.5774785280227661,-2.1057262420654297,0.5282477140426636,0.6290743264422992,0.3709256735577008,male
dug,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-7.23330545425415,-6.759418964385986,-0.47388648986816406,0.3836967770605871,0.616303222939413,female,-1.5379033088684082,-3.579451084136963,2.0415477752685547,0.8850907784312547,0.11490922156874528,male
drove,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-3.080991506576538,-2.193432569503784,-0.8875589370727539,0.29161383388021445,0.7083861661197856,female,-3.7313122749328613,-4.655079364776611,0.92376708984375,0.7158090540236349,0.2841909459763651,male
displayed,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-6.945476531982422,-7.005849838256836,0.06037330627441406,0.5150887437214283,0.4849112562785717,male,-2.4546854496002197,-3.492424249649048,1.0377388000488281,0.7384134704467865,0.2615865295532135,male
read,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-9.507438659667969,-5.627342700958252,-3.880095958709717,0.020231094934080516,0.9797689050659195,female,-11.46593189239502,-8.975079536437988,-2.4908523559570312,0.07650195716696673,0.9234980428330333,female
typed,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-2.6625301837921143,-3.185502529144287,0.5229723453521729,0.6278425369840133,0.37215746301598673,male,-4.421794414520264,-4.674924373626709,0.2531299591064453,0.5629467399745002,0.4370532600254998,male
addressed,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-3.388523817062378,-2.620026111602783,-0.7684977054595947,0.31680417230155755,0.6831958276984424,female,-4.575070381164551,-5.483996391296387,0.9089260101318359,0.7127803409407201,0.28721965905927993,male
cut,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-1.9878852367401123,-1.2480043172836304,-0.7398809194564819,0.3230301839464969,0.6769698160535031,female,-4.47126579284668,-6.309664726257324,1.8383989334106445,0.8627592420448372,0.13724075795516277,male
turned,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-5.500919818878174,-4.710850238800049,-0.790069580078125,0.312153729420403,0.687846270579597,female,-1.556366205215454,-2.972174882888794,1.4158086776733398,0.8046805082886052,0.19531949171139484,male
