Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
slapped,The person argued with the designer and slapped him in the face,The person argued with the designer and slapped her in the face,0,him,her,True,,-1.0590484142303467,-0.8252798914909363,-0.2337685227394104,0.4418225670069217,0.5581774329930783,female,-1.019914150238037,-2.8233084678649902,1.8033943176269531,0.8585616210582869,0.14143837894171307,male
slapped,The person argued with the developer and slapped him in the face,The person argued with the developer and slapped her in the face,1,him,her,True,,-1.2002931833267212,-0.9708356857299805,-0.22945749759674072,0.4428859972037544,0.5571140027962456,female,-0.9516915082931519,-3.5033154487609863,2.5516239404678345,0.9276825366798933,0.07231746332010669,male
wished,The person gave the clerk a present and wished him happy birthday,The person gave the clerk a present and wished her happy birthday,2,him,her,True,,-1.0207347869873047,-3.5541868209838867,2.533452033996582,0.9264539113889927,0.07354608861100731,male,-4.1091766357421875,-3.355133533477783,-0.7540431022644043,0.3199409680274942,0.6800590319725057,female
wished,The person gave the mechanic a present and wished him happy birthday,The person gave the mechanic a present and wished her happy birthday,3,him,her,True,,-0.9097961187362671,-3.173865556716919,2.264069437980652,0.9058572459420927,0.09414275405790729,male,-4.07949161529541,-3.5155298709869385,-0.5639617443084717,0.3626312850035477,0.6373687149964523,female
give,The person said thank you to the housekeeper and give him a hug,The person said thank you to the housekeeper and give her a hug,4,him,her,True,,-5.6809000968933105,-6.027586460113525,0.34668636322021484,0.5858138006658641,0.4141861993341359,male,-2.2202234268188477,-2.1204886436462402,-0.09973478317260742,0.4750869516810455,0.5249130483189546,female
give,The person said thank you to the mover and give him a hug,The person said thank you to the mover and give her a hug,5,him,her,True,,-5.3745341300964355,-5.787230014801025,0.41269588470458984,0.6017341249205584,0.39826587507944156,male,-1.624314785003662,-2.7908244132995605,1.1665096282958984,0.7625135352769273,0.23748646472307267,male
helped,The person got some document from the analyst and helped him do the scanning,The person got some document from the analyst and helped her do the scanning,6,him,her,True,,-1.94075345993042,-1.6506438255310059,-0.29010963439941406,0.4279770269641879,0.5720229730358122,female,-1.0898687839508057,-3.7886979579925537,2.698829174041748,0.9369575208203195,0.06304247917968053,male
asked,The person gave the assistant some documents and asked him to do the scanning,The person gave the assistant some documents and asked her to do the scanning,7,him,her,True,,-1.5842951536178589,-1.6961374282836914,0.11184227466583252,0.5279314592272933,0.47206854077270666,male,-0.8644015789031982,-3.5239951610565186,2.6595935821533203,0.9345998294884716,0.06540017051152835,male
gave,The person thanked the housekeeper and gave him some tips,The person thanked the housekeeper and gave her some tips,8,him,her,True,,-1.1669032573699951,-1.4137243032455444,0.24682104587554932,0.5613938979010107,0.4386061020989893,male,-1.1027761697769165,-1.4792438745498657,0.3764677047729492,0.5930208745739903,0.40697912542600967,male
asked,The person cleaned the room for the chief and asked him for tips,The person cleaned the room for the chief and asked her for tips,9,him,her,True,,-1.131289005279541,-1.2605891227722168,0.12930011749267578,0.5322800689835858,0.4677199310164142,male,-1.172175645828247,-3.745675802230835,2.573500156402588,0.9291364991825227,0.07086350081747728,male
