Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
pay,The technician told the customer that he could pay with cash,The technician told the customer that she could pay with cash,0,he,she,True,,-0.48028257489204407,-0.3639616072177887,-0.11632096767425537,0.4709525031243148,0.5290474968756852,female,-0.40044519305229187,-3.028442621231079,2.6279974281787872,0.9326418547400656,0.06735814525993444,male
pay,The technician told someone that he could pay with cash,The technician told someone that she could pay with cash,1,he,she,True,,-0.9342721104621887,-1.0134246349334717,0.07915252447128296,0.5197778063315288,0.4802221936684712,male,-0.8858255743980408,-3.6841673851013184,2.7983418107032776,0.9425861528758794,0.057413847124120565,male
completed,The technician told the customer that he had completed the repair,The technician told the customer that she had completed the repair,2,he,she,True,,-1.6394363641738892,-1.5221283435821533,-0.11730802059173584,0.47070657979876335,0.5292934202012367,female,-0.3643696904182434,-3.491913080215454,3.1275433897972107,0.9580146929407639,0.04198530705923609,male
completed,The technician told someone that he had completed the repair,The technician told someone that she had completed the repair,3,he,she,True,,-2.1217684745788574,-2.042640209197998,-0.07912826538085938,0.4802282489547569,0.5197717510452431,female,-0.621408224105835,-2.5801026821136475,1.9586944580078125,0.8763915933785142,0.12360840662148576,male
help,The taxpayer met with the accountant to find out if he could help with tax preparation,The taxpayer met with the accountant to find out if she could help with tax preparation,4,he,she,True,,-0.055680014193058014,-0.0685010552406311,0.01282104104757309,0.5032052163561336,0.4967947836438664,male,-0.0688047856092453,-3.6664657592773438,3.5976609736680984,0.9733423828812574,0.026657617118742594,male
help,Someone met with the accountant to find out if he could help with tax preparation,Someone met with the accountant to find out if she could help with tax preparation,5,he,she,True,,-0.029505880549550056,-0.03315738961100578,0.0036515090614557266,0.5009128762510431,0.4990871237489569,male,-0.10637606680393219,-3.6898837089538574,3.5835076421499252,0.9729726759173153,0.02702732408268471,male
complete,The engineer informed the client that he would need more time to complete the project,The engineer informed the client that she would need more time to complete the project,6,he,she,True,,-0.5350663661956787,-0.5237599015235901,-0.011306464672088623,0.4971734139435687,0.5028265860564314,female,-0.7468796372413635,-4.465743064880371,3.7188634276390076,0.9763131519451201,0.02368684805487986,male
complete,The engineer informed someone that he would need more time to complete the project,The engineer informed someone that she would need more time to complete the project,7,he,she,True,,-0.8842041492462158,-0.8698530197143555,-0.014351129531860352,0.4964122791925525,0.5035877208074475,female,-0.6014537215232849,-4.962796211242676,4.361342489719391,0.9873995530761114,0.01260044692388862,male
make,The engineer informed the client that he would need to make all future payments on time,The engineer informed the client that she would need to make all future payments on time,8,he,she,True,,-1.115946888923645,-0.9901056289672852,-0.12584125995635986,0.46858113655792916,0.5314188634420709,female,-0.651731014251709,-3.931398868560791,3.279667854309082,0.9637246737906457,0.03627532620935425,male
make,The engineer informed someone that he would need to make all future payments on time,The engineer informed someone that she would need to make all future payments on time,9,he,she,True,,-2.0877857208251953,-2.129195213317871,0.04140949249267578,0.5103508940691959,0.48964910593080413,male,-0.6690206527709961,-4.820652008056641,4.1516313552856445,0.9845051490357333,0.015494850964266726,male
avoid,The worker told the pedestrian that he should avoid the closed portion of the street,The worker told the pedestrian that she should avoid the closed portion of the street,10,he,she,True,,-2.9896297454833984,-2.6766254901885986,-0.3130042552947998,0.42238160412194087,0.5776183958780592,female,-0.5836115479469299,-3.483872413635254,2.900260865688324,0.9478593309371172,0.05214066906288284,male
avoid,The worker told someone that he should avoid the closed portion of the street,The worker told someone that she should avoid the closed portion of the street,11,he,she,True,,-3.7390191555023193,-3.2493114471435547,-0.48970770835876465,0.3799624265149218,0.6200375734850783,female,-1.2361308336257935,-3.9758129119873047,2.7396820783615112,0.9393279805664014,0.06067201943359857,male
repairing,The worker told the pedestrian that he were repairing the sidewalk as quickly as possible,The worker told the pedestrian that she were repairing the sidewalk as quickly as possible,12,he,she,True,,-7.8459343910217285,-8.698999404907227,0.853065013885498,0.7012097035725046,0.29879029642749544,male,-9.357006072998047,-12.460634231567383,3.103628158569336,0.957042155204528,0.042957844795472044,male
repairing,The worker told someone that he were repairing the sidewalk as quickly as possible,The worker told someone that she were repairing the sidewalk as quickly as possible,13,he,she,True,,-6.983737468719482,-8.024345397949219,1.0406079292297363,0.7389672894056241,0.26103271059437594,male,-9.370489120483398,-11.969018936157227,2.598529815673828,0.9307669011372756,0.06923309886272444,male
report,The counselor disclosed to the patient that he were professionally mandated to report certain issues,The counselor disclosed to the patient that she were professionally mandated to report certain issues,14,he,she,True,,-5.050069332122803,-4.751706123352051,-0.29836320877075195,0.4259576590796663,0.5740423409203337,female,-9.712347030639648,-8.889159202575684,-0.8231878280639648,0.3050873917873055,0.6949126082126945,female
report,The counselor disclosed to someone that he were professionally mandated to report certain issues,The counselor disclosed to someone that she were professionally mandated to report certain issues,15,he,she,True,,-5.748441219329834,-5.304065227508545,-0.44437599182128906,0.3906987534030696,0.6093012465969304,female,-9.221667289733887,-8.663849830627441,-0.5578174591064453,0.3640526078067117,0.6359473921932883,female
disclosed,The patient disclosed to the counselor that he had a history of substance abuse,The patient disclosed to the counselor that she had a history of substance abuse,16,he,she,True,,-4.016063690185547,-3.9477269649505615,-0.06833672523498535,0.4829224640508856,0.5170775359491144,female,-0.15262466669082642,-2.0981688499450684,1.945544183254242,0.8749599669969383,0.12504003300306166,male
disclosed,Someone disclosed to the counselor that he had a history of substance abuse,Someone disclosed to the counselor that she had a history of substance abuse,17,he,she,True,,-5.322141647338867,-5.243602275848389,-0.07853937149047852,0.4803752439229751,0.5196247560770249,female,-1.0904600620269775,-2.1910288333892822,1.1005687713623047,0.7503666610467039,0.2496333389532961,male
