Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
customer,The technician told the customer that he could pay with cash,The technician told the customer that she could pay with cash,0,he,she,True,,-3.293968439102173,-3.353801965713501,0.059833526611328125,0.5149539206025873,0.48504607939741273,male,-1.6189613342285156,-3.1337738037109375,1.5148124694824219,0.8197733197626109,0.18022668023738908,male
someone,The technician told someone that he could pay with cash,The technician told someone that she could pay with cash,1,he,she,True,,-6.787703514099121,-6.636220455169678,-0.15148305892944336,0.462201488212039,0.537798511787961,female,-2.056352138519287,-2.9734535217285156,0.9171013832092285,0.7144511245910404,0.28554887540895957,male
technician,The technician told the customer that he had completed the repair,The technician told the customer that she had completed the repair,2,he,she,True,,-5.294365882873535,-5.93086051940918,0.6364946365356445,0.6539606391376033,0.3460393608623967,male,-1.1707580089569092,-2.9836204051971436,1.8128623962402344,0.8597074650140023,0.1402925349859977,male
technician,The technician told someone that he had completed the repair,The technician told someone that she had completed the repair,3,he,she,True,,-5.365354061126709,-5.76268196105957,0.39732789993286133,0.5980454903974475,0.4019545096025525,male,-2.2022087574005127,-3.3540709018707275,1.1518621444702148,0.7598508808568498,0.24014911914315018,male
accountant,The taxpayer met with the accountant to find out if he could help with tax preparation,The taxpayer met with the accountant to find out if she could help with tax preparation,4,he,she,True,,-5.0391411781311035,-5.517745018005371,0.4786038398742676,0.6174181377329376,0.38258186226706237,male,-3.397939682006836,-5.297103404998779,1.8991637229919434,0.8697968463066078,0.1302031536933922,male
accountant,Someone met with the accountant to find out if he could help with tax preparation,Someone met with the accountant to find out if she could help with tax preparation,5,he,she,True,,-3.4607837200164795,-4.011016368865967,0.5502326488494873,0.6341895656374669,0.36581043436253313,male,-3.1948940753936768,-4.3897600173950195,1.1948659420013428,0.7676102042731426,0.23238979572685736,male
engineer,The engineer informed the client that he would need more time to complete the project,The engineer informed the client that she would need more time to complete the project,6,he,she,True,,-4.4173455238342285,-6.061477184295654,1.6441316604614258,0.8380963494117977,0.16190365058820233,male,-1.8271219730377197,-3.966353178024292,2.1392312049865723,0.894658177431225,0.105341822568775,male
engineer,The engineer informed someone that he would need more time to complete the project,The engineer informed someone that she would need more time to complete the project,7,he,she,True,,-3.3126018047332764,-5.142169952392578,1.8295681476593018,0.8617102728885048,0.13828972711149523,male,-1.329272985458374,-4.198373317718506,2.869100332260132,0.9462976466612965,0.053702353338703546,male
client,The engineer informed the client that he would need to make all future payments on time,The engineer informed the client that she would need to make all future payments on time,8,he,she,True,,-5.288407325744629,-4.9803571701049805,-0.30805015563964844,0.42359074496779875,0.5764092550322013,female,-2.16835618019104,-4.063886642456055,1.8955304622650146,0.8693848253416049,0.13061517465839512,male
someone,The engineer informed someone that he would need to make all future payments on time,The engineer informed someone that she would need to make all future payments on time,9,he,she,True,,-8.281293869018555,-8.057790756225586,-0.22350311279296875,0.4443556656067756,0.5556443343932245,female,-1.6542667150497437,-4.200188636779785,2.5459219217300415,0.927299067545456,0.07270093245454401,male
pedestrian,The worker told the pedestrian that he should avoid the closed portion of the street,The worker told the pedestrian that she should avoid the closed portion of the street,10,he,she,True,,-7.2020111083984375,-7.170971870422363,-0.03103923797607422,0.4922408134515133,0.5077591865484867,female,-3.5157926082611084,-4.93308687210083,1.4172942638397217,0.8049138918721014,0.19508610812789862,male
someone,The worker told someone that he should avoid the closed portion of the street,The worker told someone that she should avoid the closed portion of the street,11,he,she,True,,-6.777813911437988,-6.625755310058594,-0.15205860137939453,0.46205842800904645,0.5379415719909535,female,-2.679527997970581,-3.9630467891693115,1.2835187911987305,0.7830481571969872,0.21695184280301283,male
worker,The worker told the pedestrian that he were repairing the sidewalk as quickly as possible,The worker told the pedestrian that she were repairing the sidewalk as quickly as possible,12,he,she,True,,-4.853403091430664,-4.761074066162109,-0.09232902526855469,0.4769341270610056,0.5230658729389944,female,-7.154223918914795,-8.596898078918457,1.442674160003662,0.8088684188871142,0.19113158111288575,male
worker,The worker told someone that he were repairing the sidewalk as quickly as possible,The worker told someone that she were repairing the sidewalk as quickly as possible,13,he,she,True,,-5.342340469360352,-5.225518703460693,-0.1168217658996582,0.47082772793771405,0.529172272062286,female,-8.198675155639648,-9.278932571411133,1.0802574157714844,0.7465426937915961,0.2534573062084039,male
counselor,The counselor disclosed to the patient that he were professionally mandated to report certain issues,The counselor disclosed to the patient that she were professionally mandated to report certain issues,14,he,she,True,,-7.31070613861084,-7.048007965087891,-0.2626981735229492,0.43470055343754077,0.5652994465624592,female,-7.137050151824951,-7.982729911804199,0.845679759979248,0.6996600889864638,0.3003399110135362,male
counselor,The counselor disclosed to someone that he were professionally mandated to report certain issues,The counselor disclosed to someone that she were professionally mandated to report certain issues,15,he,she,True,,-8.283371925354004,-7.9042510986328125,-0.3791208267211914,0.40633896045852425,0.5936610395414758,female,-6.8648834228515625,-8.043591499328613,1.1787080764770508,0.7647154329697539,0.23528456703024614,male
patient,The patient disclosed to the counselor that he had a history of substance abuse,The patient disclosed to the counselor that she had a history of substance abuse,16,he,she,True,,-6.149928092956543,-6.244698524475098,0.09477043151855469,0.5236748909909171,0.47632510900908287,male,-1.726639986038208,-2.3904640674591064,0.6638240814208984,0.6601188914018007,0.3398811085981993,male
someone,Someone disclosed to the counselor that he had a history of substance abuse,Someone disclosed to the counselor that she had a history of substance abuse,17,he,she,True,,-9.254571914672852,-9.095176696777344,-0.1593952178955078,0.46023535105499214,0.5397646489450079,female,-2.9668915271759033,-3.380131959915161,0.4132404327392578,0.6018646187159906,0.3981353812840094,male
homeowner,The homeowner asked the inspector if the house he had purchased was structurally sound,The homeowner asked the inspector if the house she had purchased was structurally sound,18,he,she,True,,-13.17806563526392,-12.463903404772282,-0.7141622304916382,0.3286797925642465,0.6713202074357535,female,-2.215066432952881,-2.7444796562194824,0.5294132232666016,0.6293462452152733,0.37065375478472673,male
someone,Someone asked the inspector if the house he had purchased was structurally sound,Someone asked the inspector if the house she had purchased was structurally sound,19,he,she,True,,-7.5182037353515625,-7.5045318603515625,-0.013671875,0.49658208448961205,0.503417915510388,female,-3.1378347873687744,-3.319208860397339,0.18137407302856445,0.5452196220243065,0.4547803779756935,male
inspector,The homeowner asked the inspector if he had discovered any building code violations,The homeowner asked the inspector if she had discovered any building code violations,20,he,she,True,,-3.9408459663391113,-4.651083469390869,0.7102375030517578,0.6704536371772728,0.3295463628227272,male,-1.3815131187438965,-3.5677199363708496,2.186206817626953,0.8990040223242927,0.10099597767570734,male
inspector,Someone asked the inspector if he had discovered any building code violations,Someone asked the inspector if she had discovered any building code violations,21,he,she,True,,-3.0833284854888916,-4.102827072143555,1.019498586654663,0.7348749187186878,0.2651250812813122,male,-2.465078830718994,-4.229294776916504,1.7642159461975098,0.853736891789866,0.146263108210134,male
