Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
dolly,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-0.3499720636755228,-0.4637696035206318,0.11379753984510899,0.5284187233234976,0.4715812766765024,male,-6.420042037963867,-7.112701892852783,0.692659854888916,0.6665583632787444,0.3334416367212556,male
flashlight,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-0.3969500809907913,-0.2608058527112007,-0.1361442282795906,0.46601641790666476,0.5339835820933352,female,-3.5942368507385254,-3.5084967613220215,-0.0857400894165039,0.4785780993854252,0.5214219006145748,female
shovel,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-0.9070838689804077,-0.6935498118400574,-0.21353405714035034,0.4468184081533158,0.5531815918466843,female,-2.0832581520080566,-4.824643611907959,2.7413854598999023,0.9394249852404989,0.06057501475950111,male
tractor,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-2.0370469093322754,-1.7630529403686523,-0.27399396896362305,0.43192684545435095,0.568073154545649,female,-4.551766872406006,-5.14699125289917,0.5952243804931641,0.6445629612924159,0.35543703870758414,male
badge,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-3.781526803970337,-3.6985714435577393,-0.08295536041259766,0.47927304473762483,0.5207269552623752,female,-6.739048004150391,-5.73192024230957,-1.0071277618408203,0.2675423284669918,0.7324576715330082,female
blueprint,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-0.5567076504230499,-0.6194920241832733,0.06278437376022339,0.5156909394651004,0.48430906053489964,male,-6.499090194702148,-4.8244476318359375,-1.674642562866211,0.1578061858168103,0.8421938141831897,female
keyboard,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-1.0163507461547852,-0.9387553930282593,-0.07759535312652588,0.4806108892912752,0.5193891107087247,female,-5.77065896987915,-6.680251598358154,0.9095926284790039,0.7129167947061036,0.2870832052938964,male
podium,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-2.29831600189209,-1.7738710641860962,-0.5244449377059937,0.37181344738271815,0.6281865526172818,female,-4.813043594360352,-4.516737937927246,-0.29630565643310547,0.4264608435908499,0.5735391564091501,female
saw,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-0.8352111577987671,-0.751166820526123,-0.08404433727264404,0.4790012745153708,0.5209987254846292,female,-5.459072589874268,-7.187915325164795,1.7288427352905273,0.8492643335493241,0.15073566645067593,male
wrench,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-0.010792339024192188,-0.034061574515362736,0.023269235491170548,0.5058170464016315,0.4941829535983685,male,-2.1146843433380127,-4.882454872131348,2.767770528793335,0.9409091516783746,0.05909084832162537,male
