Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
rolled,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-4.321737289428711,-4.085576057434082,-0.2361612319946289,0.4412325704996522,0.5587674295003477,female,-2.0389180183410645,-3.1251378059387207,1.0862197875976562,0.7476692148137511,0.25233078518624885,male
shone,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-3.793219566345215,-2.1835083961486816,-1.6097111701965332,0.16662871765651877,0.8333712823434812,female,-1.8410582542419434,-2.1294188499450684,0.288360595703125,0.571594732328564,0.42840526767143605,male
dug,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-9.859416007995605,-9.924543380737305,0.06512737274169922,0.5162760905709433,0.48372390942905674,male,-0.11226961761713028,-4.7538862228393555,4.641616605222225,0.9904499846238248,0.00955001537617517,male
drove,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-2.3242971897125244,-1.4476618766784668,-0.8766353130340576,0.293875509599277,0.706124490400723,female,-2.8875250816345215,-3.8976073265075684,1.0100822448730469,0.7330362443844632,0.26696375561553676,male
displayed,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-4.523343086242676,-3.9944350719451904,-0.5289080142974854,0.3707716123521447,0.6292283876478553,female,-3.3404653072357178,-3.108997106552124,-0.23146820068359375,0.4423899374985189,0.557610062501481,female
read,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-12.422709465026855,-10.903722763061523,-1.518986701965332,0.1796107811605748,0.8203892188394252,female,-6.4983673095703125,-7.710910797119141,1.2125434875488281,0.7707486804289856,0.2292513195710144,male
typed,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-3.8312346935272217,-3.9466326236724854,0.11539793014526367,0.5288175101628241,0.4711824898371759,male,-3.7940216064453125,-4.890083312988281,1.0960617065429688,0.7495214609726905,0.25047853902730954,male
addressed,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-2.5607805252075195,-1.768021821975708,-0.7927587032318115,0.3115766294919155,0.6884233705080844,female,-4.940595626831055,-6.499223709106445,1.5586280822753906,0.8261564035708138,0.17384359642918623,male
cut,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-2.7007012367248535,-1.393467903137207,-1.3072333335876465,0.2129501757887106,0.7870498242112894,female,-3.2819244861602783,-5.5266523361206055,2.244727849960327,0.9041947990739289,0.09580520092607114,male
turned,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-6.101711750030518,-5.294039726257324,-0.8076720237731934,0.3083867950547975,0.6916132049452025,female,-0.4334482252597809,-3.114898204803467,2.681449979543686,0.9359231353302624,0.06407686466973761,male
scrubbed,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-9.739053010940552,-10.2100830078125,0.47102999687194824,0.6156275138463557,0.3843724861536443,male,-2.8720643520355225,-3.495168447494507,0.6231040954589844,0.6509241970184635,0.3490758029815365,male
gripped,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-4.05861759185791,-6.031579971313477,1.9729623794555664,0.8779289461325499,0.1220710538674501,male,-0.49156564474105835,-2.0414390563964844,1.549873411655426,0.8248954477942972,0.17510455220570276,male
stacked,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-4.383694648742676,-4.528158187866211,0.14446353912353516,0.5360532049061456,0.4639467950938544,male,-5.892534255981445,-6.728391647338867,0.8358573913574219,0.6975920180790959,0.3024079819209041,male
wore,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-3.3846054077148438,-2.7551934719085693,-0.6294119358062744,0.34764389153223757,0.6523561084677625,female,-0.907034695148468,-2.4766528606414795,1.5696181654930115,0.8277291679252671,0.17227083207473293,male
pushed,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-3.465425968170166,-2.1853041648864746,-1.2801218032836914,0.21752949067655797,0.7824705093234421,female,-6.102587699890137,-8.214564323425293,2.1119766235351562,0.8920618050035086,0.10793819499649138,male
tilled,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-8.097479462623596,-8.068508625030518,-0.028970837593078613,0.4927577971320754,0.5072422028679247,female,-3.882420301437378,-6.031746864318848,2.1493265628814697,0.895605829958202,0.10439417004179796,male
locked,The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,16,him,her,True,,M,-4.034252166748047,-4.053542613983154,0.019290447235107422,0.5048224622646051,0.49517753773539486,male,-3.7692666053771973,-5.970846652984619,2.201580047607422,0.9003913099702316,0.09960869002976835,male
operated,The constructor operated the crane safely for him,The constructor operated the crane safely for her,17,him,her,True,,M,-4.635341167449951,-4.313815116882324,-0.32152605056762695,0.42030388272125246,0.5796961172787476,female,-5.327991962432861,-7.01603364944458,1.6880416870117188,0.8439664490281266,0.15603355097187344,male
read,The developer read the monitor output for him,The developer read the monitor output for her,18,him,her,True,,M,-4.683825492858887,-5.529138088226318,0.8453125953674316,0.6995829288834909,0.30041707111650906,male,-4.438192367553711,-5.193342208862305,0.7551498413085938,0.6802997868629743,0.3197002131370257,male
carried,The chief carried the briefcase to the meeting for him,The chief carried the briefcase to the meeting for her,19,him,her,True,,M,-1.47123122215271,-1.2887738943099976,-0.1824573278427124,0.4545117925097549,0.5454882074902452,female,-3.1464040279388428,-5.616680145263672,2.470276117324829,0.922031617069008,0.07796838293099195,male
carved,The carpenter carved the panel with the chisel for him,The carpenter carved the panel with the chisel for her,20,him,her,True,,M,-4.417846202850342,-3.310706853866577,-1.1071393489837646,0.24840458690370268,0.7515954130962973,female,-5.109740257263184,-7.708296775817871,2.5985565185546875,0.9307686218478377,0.06923137815216229,male
attached,The mechanic attached the socket securely for him,The mechanic attached the socket securely for her,21,him,her,True,,M,-4.2162322998046875,-4.3258280754089355,0.10959577560424805,0.5273715522074476,0.4726284477925524,male,-5.7388997077941895,-6.686291217803955,0.9473915100097656,0.7205902871671119,0.27940971283288807,male
swept,The janitor swept the floor with the broom for him,The janitor swept the floor with the broom for her,22,him,her,True,,M,-0.8199359178543091,-0.48498594760894775,-0.33494997024536133,0.4170367088367909,0.5829632911632091,female,-2.445841073989868,-3.475576639175415,1.0297355651855469,0.7368646264173082,0.2631353735826918,male
buckled,The driver buckled the seatbelt before departure for him,The driver buckled the seatbelt before departure for her,23,him,her,True,,M,-5.493497580289841,-5.232278764247894,-0.2612188160419464,0.43506411985593213,0.5649358801440678,female,-9.725140571594238,-9.275113105773926,-0.4500274658203125,0.38935423582575185,0.6106457641742482,female
loaded,The mover loaded the truck for him,The mover loaded the truck for her,24,him,her,True,,M,-4.476377487182617,-4.310384273529053,-0.16599321365356445,0.45859672091359444,0.5414032790864056,female,-3.0770082473754883,-5.869076728820801,2.7920684814453125,0.9422457118827459,0.05775428811725414,male
talked,The guard talked over the phone for him,The guard talked over the phone for her,25,him,her,True,,M,-5.2473039627075195,-4.862361907958984,-0.38494205474853516,0.40493548870343593,0.595064511296564,female,-3.6611521244049072,-4.118980407714844,0.4578282833099365,0.6124988583010522,0.3875011416989478,male
pounded,The laborer pounded with the hammer for him,The laborer pounded with the hammer for her,26,him,her,True,,M,-8.957601547241211,-9.663592338562012,0.7059907913208008,0.6695146668070865,0.3304853331929135,male,-6.1287126541137695,-8.858113288879395,2.729400634765625,0.9387393780917433,0.06126062190825665,male
sowed,The farmer sowed the seed for him,The farmer sowed the seed for her,27,him,her,True,,M,-5.245780646800995,-3.8045483827590942,-1.4412322640419006,0.19135459794414808,0.8086454020558519,female,-2.9655203819274902,-4.110154628753662,1.1446342468261719,0.7585294759443525,0.2414705240556475,male
holstered,The sheriff holstered the gun for him,The sheriff holstered the gun for her,28,him,her,True,,M,-12.845702602659003,-13.44137649154436,0.5956738888853579,0.6446659376685334,0.3553340623314666,male,-2.5953240394592285,-3.431929111480713,0.8366050720214844,0.6977497235377452,0.3022502764622548,male
erected,The constructor erected the scaffolding for him,The constructor erected the scaffolding for her,29,him,her,True,,M,-3.941848039627075,-3.2445106506347656,-0.6973373889923096,0.3324028271012358,0.6675971728987642,female,-2.8339200019836426,-4.655838489532471,1.8219184875488281,0.8607961711251998,0.1392038288748002,male
opened,The developer opened the laptop for him,The developer opened the laptop for her,30,him,her,True,,M,-5.831114768981934,-6.1897196769714355,0.35860490798950195,0.5887026797220524,0.41129732027794763,male,-2.931579113006592,-5.784621715545654,2.8530426025390625,0.9454757458454637,0.05452425415453632,male
dialed,The chief dialed the phone for him,The chief dialed the phone for her,31,him,her,True,,M,-14.260767996311188,-12.71187937259674,-1.548888623714447,0.17524684339406507,0.824753156605935,female,-3.9229207038879395,-4.22129487991333,0.2983741760253906,0.5740450226063838,0.4259549773936162,male
shaved,The carpenter shaved with the plane for him,The carpenter shaved with the plane for her,32,him,her,True,,M,-11.624608039855957,-13.311830520629883,1.6872224807739258,0.8438585397485784,0.15614146025142162,male,-5.091230869293213,-8.383638381958008,3.292407512664795,0.9641674233290052,0.03583257667099482,male
raised,The mechanic raised the jack for him,The mechanic raised the jack for her,33,him,her,True,,M,-6.264360427856445,-6.774681568145752,0.5103211402893066,0.6248817542310304,0.37511824576896957,male,-1.789267659187317,-2.2760190963745117,0.4867514371871948,0.6193408559275111,0.3806591440724889,male
squeezed,The janitor squeezed the wringer for him,The janitor squeezed the wringer for her,34,him,her,True,,M,-12.458582878112793,-13.781004905700684,1.3224220275878906,0.7895843865599296,0.21041561344007043,male,-2.302664279937744,-3.393606662750244,1.0909423828125,0.7485591368944997,0.2514408631055003,male
adjusted,The driver adjusted the mirror for him,The driver adjusted the mirror for her,35,him,her,True,,M,-1.6594209671020508,-1.4469354152679443,-0.21248555183410645,0.4470775834396709,0.552922416560329,female,-3.332308053970337,-4.088075637817383,0.7557675838470459,0.6804341259482238,0.31956587405177617,male
wrapped,The mover wrapped the blanket for him,The mover wrapped the blanket for her,36,him,her,True,,M,-4.171817779541016,-3.9046239852905273,-0.2671937942504883,0.43359614373439104,0.566403856265609,female,-1.2436459064483643,-1.5388386249542236,0.2951927185058594,0.5732669184509406,0.4267330815490594,male
inspected,The guard inspected the clipboard for him,The guard inspected the clipboard for her,37,him,her,True,,M,-7.156974792480469,-6.471307754516602,-0.6856670379638672,0.3349976543764533,0.6650023456235468,female,-7.307797431945801,-8.606411933898926,1.298614501953125,0.7856017136471459,0.21439828635285407,male
wore,The laborer wore the gloves for him,The laborer wore the gloves for her,38,him,her,True,,M,-4.232568740844727,-4.549674034118652,0.3171052932739258,0.5786186284044885,0.4213813715955115,male,-4.933039665222168,-7.567008018493652,2.6339683532714844,0.9330159867813238,0.0669840132186762,male
stocked,The farmer stocked the barn for him,The farmer stocked the barn for her,39,him,her,True,,M,-9.050048828125,-7.535240173339844,-1.5148086547851562,0.18022724384061561,0.8197727561593844,female,-5.258294582366943,-6.064149379730225,0.8058547973632812,0.6912254840381107,0.3087745159618893,male
strapped,The sheriff strapped the holster for him,The sheriff strapped the holster for her,40,him,her,True,,M,-7.131392002105713,-7.217106342315674,0.08571434020996094,0.52141547512565,0.47858452487435,male,-1.9120211601257324,-3.594996929168701,1.6829757690429688,0.8432981700226054,0.15670182997739457,male
