Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
rolled,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-5.19921875,-5.29296875,0.09375,0.523420348936324,0.47657965106367595,male,-4.4296875,-4.0859375,-0.34375,0.4148988457967688,0.5851011542032312,female
shone,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-7.27734375,-6.64453125,-0.6328125,0.34687308577969156,0.6531269142203084,female,-2.583984375,-2.677734375,0.09375,0.523420348936324,0.47657965106367595,male
dug,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-6.57421875,-7.07421875,0.5,0.6224593312018546,0.3775406687981454,male,-0.77001953125,-2.85546875,2.08544921875,0.8894808549088118,0.11051914509118821,male
drove,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-4.1640625,-2.6015625,-1.5625,0.1732882059293266,0.8267117940706734,female,-3.3046875,-3.1484375,-0.15625,0.461016779312316,0.538983220687684,female
displayed,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-8.0078125,-7.7265625,-0.28125,0.43014734858584286,0.5698526514141571,female,-5.390625,-4.4140625,-0.9765625,0.27357439102480946,0.7264256089751906,female
read,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-10.0703125,-9.2734375,-0.796875,0.31069438321455395,0.6893056167854461,female,-9.015625,-8.2421875,-0.7734375,0.31573597552138716,0.6842640244786129,female
typed,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-5.56640625,-5.25390625,-0.3125,0.4225046348141883,0.5774953651858117,female,-4.82421875,-5.10546875,0.28125,0.5698526514141571,0.4301473485858429,male
addressed,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-12.46875,-11.8125,-0.65625,0.341582499438317,0.658417500561683,female,-7.25,-7.828125,0.578125,0.640635854839898,0.35936414516010196,male
cut,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-3.736328125,-3.3828125,-0.353515625,0.41253015158488726,0.5874698484151127,female,-4.65234375,-4.14453125,-0.5078125,0.37570646643200795,0.624293533567992,female
turned,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-3.482421875,-3.4453125,-0.037109375,0.49072372076032905,0.509276279239671,female,-1.0986328125,-2.841796875,1.7431640625,0.8510885144206358,0.14891148557936418,male
