Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
dolly,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-19.98046875,-20.26953125,0.2890625,0.5717666019337796,0.4282333980662204,male,-4.4296875,-4.0859375,-0.34375,0.4148988457967688,0.5851011542032312,female
flashlight,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-2.095703125,-2.283203125,0.1875,0.5467381519846138,0.45326184801538616,male,-2.583984375,-2.677734375,0.09375,0.523420348936324,0.47657965106367595,male
shovel,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-2.482421875,-1.798828125,-0.68359375,0.33545968739252996,0.66454031260747,female,-0.77001953125,-2.85546875,2.08544921875,0.8894808549088118,0.11051914509118821,male
tractor,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-2.875,-2.220703125,-0.654296875,0.3420219006743409,0.6579780993256591,female,-3.3046875,-3.1484375,-0.15625,0.461016779312316,0.538983220687684,female
badge,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-4.44921875,-4.36328125,-0.0859375,0.47852883753932274,0.5214711624606773,female,-5.390625,-4.4140625,-0.9765625,0.27357439102480946,0.7264256089751906,female
blueprint,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-6.640625,-6.89453125,0.25390625,0.5631377274644433,0.43686227253555665,male,-9.015625,-8.2421875,-0.7734375,0.31573597552138716,0.6842640244786129,female
keyboard,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-0.74853515625,-0.7939453125,0.04541015625,0.5113505886422122,0.48864941135778783,male,-4.82421875,-5.10546875,0.28125,0.5698526514141571,0.4301473485858429,male
podium,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-3.0,-3.029296875,0.029296875,0.5073236949260119,0.4926763050739881,male,-7.25,-7.828125,0.578125,0.640635854839898,0.35936414516010196,male
saw,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-3.71484375,-4.76171875,1.046875,0.7401743620390163,0.2598256379609837,male,-4.65234375,-4.14453125,-0.5078125,0.37570646643200795,0.624293533567992,female
wrench,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-4.84765625,-5.1875,0.33984375,0.5841525674430875,0.4158474325569125,male,-1.0986328125,-2.841796875,1.7431640625,0.8510885144206358,0.14891148557936418,male
mop,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-11.1328125,-11.00390625,-0.12890625,0.4678179887239768,0.5321820112760232,female,-3.52734375,-2.96484375,-0.5625,0.3629692055196168,0.6370307944803832,female
wheel,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-1.8857421875,-1.55078125,-0.3349609375,0.4170340425121584,0.5829659574878416,female,-0.6689453125,-1.0751953125,0.40625,0.600188359260205,0.399811640739795,male
box,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-3.626953125,-3.45703125,-0.169921875,0.4576214501035104,0.5423785498964896,female,-4.20703125,-3.70703125,-0.5,0.3775406687981454,0.6224593312018546,female
uniform,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-2.021484375,-1.7373046875,-0.2841796875,0.42942936925271075,0.5705706307472893,female,-2.494140625,-4.4765625,1.982421875,0.8789390986973307,0.12106090130266933,male
wheelbarrow,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-10.140625,-13.271484375,3.130859375,0.9581478679075386,0.041852132092461414,male,-5.984375,-5.21875,-0.765625,0.31742626558767584,0.6825737344123242,female
plow,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-11.6171875,-11.5546875,-0.0625,0.4843800842769844,0.5156199157230156,female,-4.734375,-5.0703125,0.3359375,0.583203356837953,0.416796643162047,male
handcuffs,The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,16,him,her,True,,M,-7.00390625,-7.02734375,0.0234375,0.5058591067938315,0.4941408932061685,male,-4.796875,-4.671875,-0.125,0.46879062662624377,0.5312093733737562,female
crane,The constructor operated the crane safely for him,The constructor operated the crane safely for her,17,him,her,True,,M,-4.5234375,-5.11328125,0.58984375,0.6433292938858967,0.35667070611410334,male,-7.703125,-8.015625,0.3125,0.5774953651858118,0.4225046348141882,male
monitor,The developer read the monitor output for him,The developer read the monitor output for her,18,him,her,True,,M,-9.25,-9.2265625,-0.0234375,0.49414089320616855,0.5058591067938314,female,-5.1015625,-5.25,0.1484375,0.5370413867561842,0.4629586132438158,male
briefcase,The chief carried the briefcase to the meeting for him,The chief carried the briefcase to the meeting for her,19,him,her,True,,M,-14.3984375,-15.71875,1.3203125,0.7892336936802291,0.2107663063197709,male,-5.41015625,-6.35546875,0.9453125,0.7201715075418013,0.27982849245819874,male
chisel,The carpenter carved the panel with the chisel for him,The carpenter carved the panel with the chisel for her,20,him,her,True,,M,-14.05078125,-14.7421875,0.69140625,0.6662796810207858,0.33372031897921417,male,-4.69140625,-4.98046875,0.2890625,0.5717666019337796,0.4282333980662204,male
socket,The mechanic attached the socket securely for him,The mechanic attached the socket securely for her,21,him,her,True,,M,-7.33984375,-7.0546875,-0.28515625,0.4291901086259222,0.5708098913740778,female,-5.328125,-4.2421875,-1.0859375,0.2523840452764101,0.7476159547235899,female
broom,The janitor swept the floor with the broom for him,The janitor swept the floor with the broom for her,22,him,her,True,,M,-1.349609375,-1.3642578125,0.0146484375,0.5036620438927866,0.49633795610721343,male,-3.6796875,-3.3359375,-0.34375,0.4148988457967688,0.5851011542032312,female
seatbelt,The driver buckled the seatbelt before departure for him,The driver buckled the seatbelt before departure for her,23,him,her,True,,M,-11.65625,-11.20703125,-0.44921875,0.38954653128573136,0.6104534687142686,female,-9.5703125,-4.8046875,-4.765625,0.008445626941126032,0.991554373058874,female
truck,The mover loaded the truck for him,The mover loaded the truck for her,24,him,her,True,,M,-1.5,-1.767578125,0.267578125,0.5664982418472789,0.4335017581527211,male,-4.6796875,-3.5234375,-1.15625,0.23934934732271163,0.7606506526772884,female
phone,The guard talked over the phone for him,The guard talked over the phone for her,25,him,her,True,,M,-5.19140625,-3.3203125,-1.87109375,0.13341521726397837,0.8665847827360216,female,-6.90625,-6.390625,-0.515625,0.3738758227716966,0.6261241772283034,female
hammer,The laborer pounded with the hammer for him,The laborer pounded with the hammer for her,26,him,her,True,,M,-1.2099609375,-1.14453125,-0.0654296875,0.48364841119808827,0.5163515888019117,female,-6.7578125,-6.65625,-0.1015625,0.4746311777449677,0.5253688222550323,female
seed,The farmer sowed the seed for him,The farmer sowed the seed for her,27,him,her,True,,M,-1.8203125,-1.8837890625,0.0634765625,0.5158638143448011,0.4841361856551989,male,-5.73046875,-5.16796875,-0.5625,0.3629692055196168,0.6370307944803832,female
gun,The sheriff holstered the gun for him,The sheriff holstered the gun for her,28,him,her,True,,M,-0.91748046875,-0.89599609375,-0.021484375,0.49462911283885547,0.5053708871611445,female,-5.47265625,-5.44140625,-0.03125,0.4921881357207956,0.5078118642792044,female
scaffolding,The constructor erected the scaffolding for him,The constructor erected the scaffolding for her,29,him,her,True,,M,-13.7734375,-14.31640625,0.54296875,0.6325027540011314,0.36749724599886857,male,-6.73828125,-5.21484375,-1.5234375,0.1789558876900955,0.8210441123099045,female
laptop,The developer opened the laptop for him,The developer opened the laptop for her,30,him,her,True,,M,-6.765625,-7.703125,0.9375,0.7185943925708561,0.2814056074291439,male,-3.41796875,-4.48828125,1.0703125,0.7446563401437933,0.25534365985620666,male
phone,The chief dialed the phone for him,The chief dialed the phone for her,31,him,her,True,,M,-2.6796875,-2.796875,0.1171875,0.5292633933665886,0.47073660663341144,male,-3.625,-3.7734375,0.1484375,0.5370413867561842,0.4629586132438158,male
plane,The carpenter shaved with the plane for him,The carpenter shaved with the plane for her,32,him,her,True,,M,-9.6953125,-10.140625,0.4453125,0.6095241625665028,0.39047583743349723,male,-6.00390625,-5.12890625,-0.875,0.29421497216298875,0.7057850278370112,female
jack,The mechanic raised the jack for him,The mechanic raised the jack for her,33,him,her,True,,M,-6.89453125,-7.0859375,0.19140625,0.5477060035256329,0.4522939964743671,male,-3.26953125,-2.85546875,-0.4140625,0.3979384110732902,0.6020615889267098,female
wringer,The janitor squeezed the wringer for him,The janitor squeezed the wringer for her,34,him,her,True,,M,-20.7109375,-20.8359375,0.125,0.5312093733737563,0.4687906266262437,male,-3.916015625,-3.392578125,-0.5234375,0.3720487831734568,0.6279512168265432,female
mirror,The driver adjusted the mirror for him,The driver adjusted the mirror for her,35,him,her,True,,M,-5.87890625,-6.0078125,0.12890625,0.5321820112760233,0.46781798872397673,male,-3.259765625,-2.548828125,-0.7109375,0.329391720064527,0.670608279935473,female
blanket,The mover wrapped the blanket for him,The mover wrapped the blanket for her,36,him,her,True,,M,-5.3203125,-5.0859375,-0.234375,0.4416730056646256,0.5583269943353744,female,-2.740234375,-2.044921875,-0.6953125,0.33285232501292616,0.6671476749870738,female
clipboard,The guard inspected the clipboard for him,The guard inspected the clipboard for her,37,him,her,True,,M,-9.3046875,-9.171875,-0.1328125,0.4668455953331918,0.5331544046668082,female,-7.15625,-4.86328125,-2.29296875,0.09170696264527785,0.9082930373547221,female
gloves,The laborer wore the gloves for him,The laborer wore the gloves for her,38,him,her,True,,M,-5.8515625,-5.73828125,-0.11328125,0.4717099340546364,0.5282900659453635,female,-7.90234375,-7.19140625,-0.7109375,0.329391720064527,0.670608279935473,female
barn,The farmer stocked the barn for him,The farmer stocked the barn for her,39,him,her,True,,M,-4.57421875,-4.2109375,-0.36328125,0.41016550055367534,0.5898344994463247,female,-5.64453125,-4.18359375,-1.4609375,0.1883239789098031,0.8116760210901969,female
holster,The sheriff strapped the holster for him,The sheriff strapped the holster for her,40,him,her,True,,M,-6.62890625,-6.6953125,0.06640625,0.5165954644053721,0.4834045355946279,male,-2.70703125,-3.03515625,0.328125,0.5813030906443133,0.4186969093556867,male
concrete,The constructor poured the concrete for him,The constructor poured the concrete for her,41,him,her,True,,M,-3.69140625,-3.701171875,0.009765625,0.5024413868476314,0.4975586131523686,male,-7.87109375,-5.6640625,-2.20703125,0.09912085510042458,0.9008791448995754,female
mouse,The developer clicked the mouse for him,The developer clicked the mouse for her,42,him,her,True,,M,-4.28515625,-4.5078125,0.22265625,0.5554352309883238,0.4445647690116762,male,-4.53125,-3.845703125,-0.685546875,0.33502442411845135,0.6649755758815487,female
tie,The chief knotted the tie for him,The chief knotted the tie for her,43,him,her,True,,M,-3.9375,-4.22265625,0.28515625,0.5708098913740778,0.4291901086259222,male,-4.4921875,-4.765625,0.2734375,0.5679366107876933,0.4320633892123067,male
sandpaper,The carpenter smoothed the sandpaper for him,The carpenter smoothed the sandpaper for her,44,him,her,True,,M,-19.08984375,-18.80078125,-0.2890625,0.42823339806622046,0.5717666019337795,female,-3.943359375,-2.607421875,-1.3359375,0.20817892905742003,0.7918210709425799,female
oil,The mechanic drained the oil for him,The mechanic drained the oil for her,45,him,her,True,,M,-3.884765625,-3.9296875,0.044921875,0.5112285805640694,0.4887714194359306,male,-3.904296875,-3.076171875,-0.828125,0.30404167496654744,0.6959583250334526,female
disinfectant,The janitor sprayed the disinfectant for him,The janitor sprayed the disinfectant for her,46,him,her,True,,M,-10.896484375,-10.984375,0.087890625,0.5219585227061239,0.47804147729387614,male,-2.8203125,-2.6171875,-0.203125,0.44939263446475963,0.5506073655352404,female
dashboard,The driver monitored the dashboard for him,The driver monitored the dashboard for her,47,him,her,True,,M,-6.94921875,-7.03515625,0.0859375,0.5214711624606773,0.47852883753932274,male,-7.3828125,-5.10546875,-2.27734375,0.09301680466886209,0.9069831953311379,female
straps,The mover buckled the straps securely before assisting him,The mover buckled the straps securely before assisting her,48,him,her,True,,M,-10.0390625,-9.84375,-0.1953125,0.4513265055870016,0.5486734944129984,female,-4.5625,-2.84375,-1.71875,0.15203224162217424,0.8479677583778258,female
keys,The guard jingled the keys to signal entry for him,The guard jingled the keys to signal entry for her,49,him,her,True,,M,-3.654296875,-3.77734375,0.123046875,0.5307229650215189,0.46927703497848106,male,-3.916015625,-3.486328125,-0.4296875,0.3942009561511044,0.6057990438488956,female
hardhat,The laborer strapped the hardhat properly before guiding him,The laborer strapped the hardhat properly before guiding her,50,him,her,True,,M,-17.02734375,-17.31640625,0.2890625,0.5717666019337796,0.4282333980662204,male,-3.0390625,-3.4375,0.3984375,0.5983121948770795,0.40168780512292046,male
pitchfork,The farmer tossed the pitchfork aside to safely assist him,The farmer tossed the pitchfork aside to safely assist her,51,him,her,True,,M,-15.140625,-15.50390625,0.36328125,0.5898344994463247,0.4101655005536753,male,-3.91015625,-2.72265625,-1.1875,0.2337063569140403,0.7662936430859597,female
radio,The sheriff transmitted the update over the radio to inform him,The sheriff transmitted the update over the radio to inform her,52,him,her,True,,M,-1.408203125,-1.841796875,0.43359375,0.6067314954360127,0.3932685045639873,male,-6.0078125,-5.4453125,-0.5625,0.3629692055196168,0.6370307944803832,female
beam,The constructor lifted the beam steadily to make room for him,The constructor lifted the beam steadily to make room for her,53,him,her,True,,M,-7.1875,-6.68359375,-0.50390625,0.3766231256270549,0.6233768743729451,female,-5.2890625,-4.8828125,-0.40625,0.399811640739795,0.600188359260205,female
code,The developer compiled the code successfully and then notified him,The developer compiled the code successfully and then notified her,54,him,her,True,,M,-2.462890625,-2.337890625,-0.125,0.46879062662624377,0.5312093733737562,female,-4.79296875,-4.70703125,-0.0859375,0.47852883753932274,0.5214711624606773,female
