Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
rolled,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-5.778620719909668,-6.23966121673584,0.4610404968261719,0.6132609818637725,0.38673901813622746,male,-8.194417953491211,-7.837706565856934,-0.35671138763427734,0.4117558787180462,0.5882441212819538,female
shone,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-2.3053345680236816,-2.0984225273132324,-0.20691204071044922,0.4484557539726034,0.5515442460273966,female,-5.587905406951904,-6.116966724395752,0.5290613174438477,0.6292641525669411,0.3707358474330589,male
dug,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-3.722600221633911,-3.745198965072632,0.022598743438720703,0.5056494454292361,0.49435055457076393,male,-3.3635780811309814,-4.606142520904541,1.2425644397735596,0.7760100766672912,0.22398992333270884,male
drove,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-2.327932357788086,-2.260380268096924,-0.06755208969116211,0.48311839671935375,0.5168816032806463,female,-6.382877826690674,-8.229001998901367,1.8461241722106934,0.8636713938500215,0.13632860614997855,male
displayed,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-4.342806339263916,-4.046196460723877,-0.29660987854003906,0.4263864349648215,0.5736135650351786,female,-8.375215530395508,-9.845415115356445,1.4701995849609375,0.8130877200672532,0.18691227993274684,male
read,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-4.726195812225342,-4.800973892211914,0.07477807998657227,0.5186858135906551,0.48131418640934487,male,-7.142492294311523,-7.924343109130859,0.7818508148193359,0.6860788697567024,0.3139211302432976,male
typed,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-2.5433707237243652,-2.358886957168579,-0.18448376655578613,0.45400942237182806,0.5459905776281719,female,-9.245735168457031,-9.315461158752441,0.06972599029541016,0.5174244387597126,0.48257556124028744,male
addressed,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-1.8698172569274902,-1.8791468143463135,0.009329557418823242,0.5023323724371309,0.4976676275628691,male,-8.862310409545898,-9.58803939819336,0.7257289886474609,0.673867329701791,0.326132670298209,male
cut,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-5.494797706604004,-5.547256946563721,0.0524592399597168,0.513111803185057,0.486888196814943,male,-5.522848606109619,-7.549077987670898,2.0262293815612793,0.8835236057212097,0.11647639427879031,male
turned,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-5.512813568115234,-5.372425079345703,-0.14038848876953125,0.46496040831103497,0.535039591688965,female,-5.040374755859375,-6.012331485748291,0.971956729888916,0.7255093437115258,0.27449065628847424,male
