Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
dolly,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-5.234269499778748,-5.092965722084045,-0.14130377769470215,0.464732717165017,0.5352672828349829,female,-2.0389180183410645,-3.1251378059387207,1.0862197875976562,0.7476692148137511,0.25233078518624885,male
flashlight,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-0.9049952626228333,-0.9801940321922302,0.07519876956939697,0.5187908382714022,0.48120916172859785,male,-1.8410582542419434,-2.1294188499450684,0.288360595703125,0.571594732328564,0.42840526767143605,male
shovel,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-4.630241394042969,-5.586682319641113,0.9564409255981445,0.7224086535687552,0.27759134643124483,male,-0.11226961761713028,-4.7538862228393555,4.641616605222225,0.9904499846238248,0.00955001537617517,male
tractor,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-0.6509970426559448,-0.2801200747489929,-0.3708769679069519,0.40832913221166756,0.5916708677883324,female,-2.8875250816345215,-3.8976073265075684,1.0100822448730469,0.7330362443844632,0.26696375561553676,male
badge,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-5.0912184715271,-4.801998615264893,-0.28921985626220703,0.428194869890642,0.5718051301093581,female,-3.3404653072357178,-3.108997106552124,-0.23146820068359375,0.4423899374985189,0.557610062501481,female
blueprint,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-6.169669151306152,-7.8309526443481445,1.6612834930419922,0.8404102214950416,0.15958977850495837,male,-6.4983673095703125,-7.710910797119141,1.2125434875488281,0.7707486804289856,0.2292513195710144,male
keyboard,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-0.6841797232627869,-0.44556736946105957,-0.2386123538017273,0.44062834260775435,0.5593716573922456,female,-3.7940216064453125,-4.890083312988281,1.0960617065429688,0.7495214609726905,0.25047853902730954,male
podium,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-1.365756630897522,-2.622692346572876,1.256935715675354,0.7784981573051464,0.22150184269485362,male,-4.940595626831055,-6.499223709106445,1.5586280822753906,0.8261564035708138,0.17384359642918623,male
saw,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-7.76844596862793,-7.88558292388916,0.11713695526123047,0.5292508004470672,0.4707491995529328,male,-3.2819244861602783,-5.5266523361206055,2.244727849960327,0.9041947990739289,0.09580520092607114,male
wrench,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-3.150812864303589,-3.5323235988616943,0.38151073455810547,0.594237422003797,0.40576257799620297,male,-0.4334482252597809,-3.114898204803467,2.681449979543686,0.9359231353302624,0.06407686466973761,male
mop,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-4.491826388984919,-4.757920745294541,0.2660943563096225,0.5661338250344001,0.43386617496559987,male,-2.8720643520355225,-3.495168447494507,0.6231040954589844,0.6509241970184635,0.3490758029815365,male
wheel,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-0.777819037437439,-0.8881481289863586,0.11032909154891968,0.5275543281150704,0.4724456718849296,male,-0.49156564474105835,-2.0414390563964844,1.549873411655426,0.8248954477942972,0.17510455220570276,male
box,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-3.827559232711792,-3.580775260925293,-0.24678397178649902,0.4386152309019759,0.561384769098024,female,-5.892534255981445,-6.728391647338867,0.8358573913574219,0.6975920180790959,0.3024079819209041,male
uniform,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-0.6886842846870422,-1.0085580348968506,0.31987375020980835,0.579293483799331,0.420706516200669,male,-0.907034695148468,-2.4766528606414795,1.5696181654930115,0.8277291679252671,0.17227083207473293,male
wheelbarrow,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-4.966957524535246,-4.710698954411782,-0.25625857012346387,0.4362836559322795,0.5637163440677204,female,-6.102587699890137,-8.214564323425293,2.1119766235351562,0.8920618050035086,0.10793819499649138,male
plow,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-9.307914853096008,-7.35616397857666,-1.9517508745193481,0.12436256861263618,0.8756374313873638,female,-3.882420301437378,-6.031746864318848,2.1493265628814697,0.895605829958202,0.10439417004179796,male
handcuffs,The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,16,him,her,True,,M,-4.5091681480407715,-4.331185340881348,-0.17798280715942383,0.45562138809868646,0.5443786119013135,female,-3.7692666053771973,-5.970846652984619,2.201580047607422,0.9003913099702316,0.09960869002976835,male
crane,The constructor operated the crane safely for him,The constructor operated the crane safely for her,17,him,her,True,,M,-3.9345812797546387,-4.293062210083008,0.35848093032836914,0.5886726604534236,0.4113273395465764,male,-5.327991962432861,-7.01603364944458,1.6880416870117188,0.8439664490281266,0.15603355097187344,male
monitor,The developer read the monitor output for him,The developer read the monitor output for her,18,him,her,True,,M,-7.459694862365723,-7.599584102630615,0.13988924026489258,0.5349153903565008,0.4650846096434992,male,-4.438192367553711,-5.193342208862305,0.7551498413085938,0.6802997868629743,0.3197002131370257,male
briefcase,The chief carried the briefcase to the meeting for him,The chief carried the briefcase to the meeting for her,19,him,her,True,,M,-6.363560330122709,-7.610544063150883,1.2469837330281734,0.7767772942387812,0.22322270576121883,male,-3.1464040279388428,-5.616680145263672,2.470276117324829,0.922031617069008,0.07796838293099195,male
chisel,The carpenter carved the panel with the chisel for him,The carpenter carved the panel with the chisel for her,20,him,her,True,,M,-9.590896844863892,-9.494916677474976,-0.09598016738891602,0.47602336177795895,0.523976638222041,female,-5.109740257263184,-7.708296775817871,2.5985565185546875,0.9307686218478377,0.06923137815216229,male
socket,The mechanic attached the socket securely for him,The mechanic attached the socket securely for her,21,him,her,True,,M,-7.303684234619141,-6.782319068908691,-0.5213651657104492,0.3725330677347052,0.6274669322652948,female,-5.7388997077941895,-6.686291217803955,0.9473915100097656,0.7205902871671119,0.27940971283288807,male
broom,The janitor swept the floor with the broom for him,The janitor swept the floor with the broom for her,22,him,her,True,,M,-0.14813680946826935,-0.08030163496732712,-0.06783517450094223,0.48304770653112755,0.5169522934688724,female,-2.445841073989868,-3.475576639175415,1.0297355651855469,0.7368646264173082,0.2631353735826918,male
seatbelt,The driver buckled the seatbelt before departure for him,The driver buckled the seatbelt before departure for her,23,him,her,True,,M,-2.62862765789032,-2.8878395557403564,0.2592118978500366,0.5644425489790457,0.43555745102095433,male,-9.725140571594238,-9.275113105773926,-0.4500274658203125,0.38935423582575185,0.6106457641742482,female
truck,The mover loaded the truck for him,The mover loaded the truck for her,24,him,her,True,,M,-1.6729419231414795,-2.277346134185791,0.6044042110443115,0.6466632727065782,0.3533367272934218,male,-3.0770082473754883,-5.869076728820801,2.7920684814453125,0.9422457118827459,0.05775428811725414,male
phone,The guard talked over the phone for him,The guard talked over the phone for her,25,him,her,True,,M,-2.2571089267730713,-2.111325979232788,-0.1457829475402832,0.4636186736570156,0.5363813263429844,female,-3.6611521244049072,-4.118980407714844,0.4578282833099365,0.6124988583010522,0.3875011416989478,male
hammer,The laborer pounded with the hammer for him,The laborer pounded with the hammer for her,26,him,her,True,,M,-5.5194854736328125,-1.5190789699554443,-4.000406503677368,0.017979031413729914,0.9820209685862701,female,-6.1287126541137695,-8.858113288879395,2.729400634765625,0.9387393780917433,0.06126062190825665,male
seed,The farmer sowed the seed for him,The farmer sowed the seed for her,27,him,her,True,,M,-2.5562310218811035,-2.339179277420044,-0.21705174446105957,0.445949098857355,0.554050901142645,female,-2.9655203819274902,-4.110154628753662,1.1446342468261719,0.7585294759443525,0.2414705240556475,male
