Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
dolly,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-9.868346214294434,-9.945802688598633,0.07745647430419922,0.5193544431196213,0.4806455568803787,male,-8.194417953491211,-7.837706565856934,-0.35671138763427734,0.4117558787180462,0.5882441212819538,female
flashlight,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-4.506964683532715,-4.5000505447387695,-0.0069141387939453125,0.49827147218757634,0.5017285278124237,female,-5.587905406951904,-6.116966724395752,0.5290613174438477,0.6292641525669411,0.3707358474330589,male
shovel,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-1.8480520248413086,-2.1312625408172607,0.28321051597595215,0.5703331483237638,0.4296668516762362,male,-3.3635780811309814,-4.606142520904541,1.2425644397735596,0.7760100766672912,0.22398992333270884,male
tractor,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-0.9141069054603577,-0.84690260887146,-0.0672042965888977,0.48320524638692053,0.5167947536130795,female,-6.382877826690674,-8.229001998901367,1.8461241722106934,0.8636713938500215,0.13632860614997855,male
badge,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-2.5722804069519043,-2.9431204795837402,0.37084007263183594,0.5916619539906215,0.4083380460093785,male,-8.375215530395508,-9.845415115356445,1.4701995849609375,0.8130877200672532,0.18691227993274684,male
blueprint,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-0.5127861648797989,-0.5878521949052811,0.07506603002548218,0.5187577001725654,0.4812422998274346,male,-7.142492294311523,-7.924343109130859,0.7818508148193359,0.6860788697567024,0.3139211302432976,male
keyboard,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-4.377401351928711,-4.628072738647461,0.25067138671875,0.5623417451357379,0.43765825486426213,male,-9.245735168457031,-9.315461158752441,0.06972599029541016,0.5174244387597126,0.48257556124028744,male
podium,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-6.329958438873291,-5.7629241943359375,-0.5670342445373535,0.36192143868910753,0.6380785613108925,female,-8.862310409545898,-9.58803939819336,0.7257289886474609,0.673867329701791,0.326132670298209,male
saw,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-6.669173240661621,-6.836611270904541,0.16743803024291992,0.5417619849633705,0.45823801503662953,male,-5.522848606109619,-7.549077987670898,2.0262293815612793,0.8835236057212097,0.11647639427879031,male
wrench,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-0.6297652423381805,-0.6138094663619995,-0.01595577597618103,0.49601114063150314,0.5039888593684969,female,-5.040374755859375,-6.012331485748291,0.971956729888916,0.7255093437115258,0.27449065628847424,male
mop,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-5.973853588104248,-5.6290857791900635,-0.34476780891418457,0.4146517861713234,0.5853482138286765,female,-4.517494201660156,-7.318491458892822,2.800997257232666,0.9427296902176219,0.057270309782378126,male
wheel,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-0.9819931983947754,-0.9561370611190796,-0.0258561372756958,0.4935363257790384,0.5064636742209616,female,-3.60394024848938,-4.689900875091553,1.0859606266021729,0.7476203183724979,0.25237968162750213,male
box,The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,12,him,her,True,,M,-5.510541915893555,-5.3520612716674805,-0.15848064422607422,0.4604625565705965,0.5395374434294036,female,-6.1169915199279785,-7.701885223388672,1.5848937034606934,0.829896469587065,0.17010353041293502,male
