Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
dolly,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-11.454797267913818,-11.08928632736206,-0.3655109405517578,0.40962618029854797,0.5903738197014521,female,-3.0493202209472656,-3.649022102355957,0.5997018814086914,0.645588098429045,0.35441190157095503,male
flashlight,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-1.2814385890960693,-1.3888310194015503,0.10739243030548096,0.5268223337325603,0.47317766626743973,male,-1.3167533874511719,-2.529146194458008,1.212392807006836,0.7707220548215251,0.22927794517847488,male
shovel,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-1.5133607387542725,-1.215502381324768,-0.2978583574295044,0.4260811087964744,0.5739188912035256,female,-0.6110410690307617,-1.4518108367919922,0.8407697677612305,0.6986273132181181,0.3013726867818819,male
tractor,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-0.8042731881141663,-0.7671552300453186,-0.037117958068847656,0.49072157573185554,0.5092784242681445,female,-2.7127323150634766,-3.855830192565918,1.1430978775024414,0.758247958920353,0.24175204107964698,male
badge,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-2.390612840652466,-2.686105966567993,0.29549312591552734,0.5733404060859538,0.4266595939140462,male,-3.848428249359131,-4.877809047698975,1.0293807983398438,0.7367958330668865,0.26320416693311355,male
blueprint,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-6.502926826477051,-6.899801731109619,0.39687490463256836,0.5979365913443389,0.40206340865566115,male,-7.209079265594482,-7.76116943359375,0.5520901679992676,0.6346203898646776,0.3653796101353224,male
keyboard,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-1.91522216796875,-2.1569318771362305,0.24170970916748047,0.5601349371018962,0.4398650628981038,male,-6.4595794677734375,-6.530871391296387,0.07129192352294922,0.5178154358834871,0.4821845641165129,male
podium,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-4.083223819732666,-4.100096702575684,0.016872882843017578,0.5042181206383645,0.49578187936163554,male,-5.827309608459473,-7.3253679275512695,1.4980583190917969,0.8172847027836883,0.18271529721631175,male
saw,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-7.508481025695801,-7.627117156982422,0.1186361312866211,0.5296242952959386,0.4703757047040614,male,-6.212707996368408,-7.858456611633301,1.6457486152648926,0.8383156354687509,0.16168436453124913,male
wrench,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-6.212761878967285,-6.27060604095459,0.05784416198730469,0.5144570096891605,0.4855429903108395,male,-0.7700501084327698,-2.251645088195801,1.481594979763031,0.8148133721112538,0.18518662788874618,male
mop,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-10.396741390228271,-9.943347930908203,-0.45339345932006836,0.3885542442746914,0.6114457557253086,female,-2.631179094314575,-2.954368829727173,0.32318973541259766,0.5801014178117957,0.4198985821882043,male
wheel,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-1.8913321495056152,-1.8820149898529053,-0.009317159652709961,0.4976707269370437,0.5023292730629563,female,-0.7545366883277893,-1.030294418334961,0.27575773000717163,0.5685058695523338,0.43149413044766616,male
box,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-4.536953449249268,-4.434598922729492,-0.10235452651977539,0.4744336848236942,0.5255663151763058,female,-7.062880516052246,-7.411657333374023,0.34877681732177734,0.5863209289114034,0.4136790710885966,male
uniform,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-2.210585117340088,-2.4792113304138184,0.26862621307373047,0.5667556112421225,0.4332443887578775,male,-1.7916278839111328,-3.9663820266723633,2.1747541427612305,0.8979594055312128,0.10204059446878722,male
wheelbarrow,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-13.422542661428452,-13.691517621278763,0.2689749598503113,0.5668412418175339,0.4331587581824661,male,-8.027472496032715,-7.651678085327148,-0.3757944107055664,0.4071416331797811,0.592858366820219,female
plow,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-9.460701942443848,-9.282147407531738,-0.17855453491210938,0.455479585757878,0.544520414242122,female,-6.077813148498535,-7.310303211212158,1.232490062713623,0.774254096307851,0.22574590369214897,male
