Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
mover,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-6.781704425811768,-7.869463920593262,1.0877594947814941,0.7479595851228993,0.2520404148771007,male,-4.5948357582092285,-5.653948783874512,1.0591130256652832,0.7425210068711698,0.25747899312883016,male
guard,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-4.969337463378906,-5.31254768371582,0.34321022033691406,0.5849701124668808,0.4150298875331192,male,-1.9299218654632568,-2.204301595687866,0.2743797302246094,0.5681678047741272,0.4318321952258728,male
laborer,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-6.632674780674279,-7.831995755434036,1.1993209747597575,0.7684039666592106,0.23159603334078938,male,-1.355968952178955,-7.787102222442627,6.431133270263672,0.9983919654129962,0.0016080345870037593,male
farmer,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-1.4063196182250977,-1.3867268562316895,-0.019592761993408203,0.49510196618724617,0.5048980338127538,female,-3.983969211578369,-4.527945041656494,0.543975830078125,0.6327368114834367,0.36726318851656325,male
sheriff,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-6.390483856201172,-5.659085750579834,-0.7313981056213379,0.32488799777622884,0.6751120022237711,female,-7.759218215942383,-6.61726188659668,-1.1419563293457031,0.24196135766402077,0.7580386423359793,female
constructor,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-8.932387351989746,-8.955628395080566,0.023241043090820312,0.505809999254364,0.494190000745636,male,-6.797032833099365,-8.211164474487305,1.4141316413879395,0.8044167941657482,0.19558320583425182,male
developer,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-3.6131038665771484,-4.7466301918029785,1.13352632522583,0.7564890826733307,0.2435109173266693,male,-6.177315711975098,-8.627163887023926,2.449848175048828,0.9205503474420103,0.07944965255798975,male
chief,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-6.59976053237915,-6.060776710510254,-0.5389838218688965,0.3684240028430336,0.6315759971569663,female,-5.3237104415893555,-5.891264915466309,0.5675544738769531,0.6381986914829839,0.3618013085170161,male
carpenter,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-7.155477579683065,-7.01208308711648,-0.14339449256658554,0.46421267737293426,0.5357873226270657,female,-4.840183258056641,-5.557586669921875,0.7174034118652344,0.6720349745959043,0.32796502540409567,male
mechanic,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-0.8165283799171448,-1.1340481042861938,0.3175197243690491,0.578719671332156,0.42128032866784404,male,-2.508413791656494,-3.8024353981018066,1.2940216064453125,0.7848271099110942,0.21517289008890583,male
