Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
mover,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-0.9411891251802444,-1.0246998518705368,0.08351072669029236,0.5208655566437291,0.47913444335627087,male,-6.420042037963867,-7.112701892852783,0.692659854888916,0.6665583632787444,0.3334416367212556,male
guard,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-5.453442573547363,-5.6717915534973145,0.21834897994995117,0.5543713976243826,0.4456286023756174,male,-3.5942368507385254,-3.5084967613220215,-0.0857400894165039,0.4785780993854252,0.5214219006145748,female
laborer,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-0.05665109399706125,-0.10282893851399422,0.046177844516932964,0.5115424101222672,0.4884575898777328,male,-2.0832581520080566,-4.824643611907959,2.7413854598999023,0.9394249852404989,0.06057501475950111,male
farmer,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-1.6799404621124268,-1.6425740718841553,-0.037366390228271484,0.4906594892227472,0.5093405107772528,female,-4.551766872406006,-5.14699125289917,0.5952243804931641,0.6445629612924159,0.35543703870758414,male
sheriff,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-5.975104808807373,-6.240228652954102,0.2651238441467285,0.5658954264234556,0.4341045735765444,male,-6.739048004150391,-5.73192024230957,-1.0071277618408203,0.2675423284669918,0.7324576715330082,female
constructor,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-10.117314338684082,-10.472855567932129,0.3555412292480469,0.5879606645006451,0.4120393354993549,male,-6.499090194702148,-4.8244476318359375,-1.674642562866211,0.1578061858168103,0.8421938141831897,female
developer,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-3.769700527191162,-5.3640217781066895,1.5943212509155273,0.8312232044927444,0.16877679550725555,male,-5.77065896987915,-6.680251598358154,0.9095926284790039,0.7129167947061036,0.2870832052938964,male
chief,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-7.541604042053223,-8.495564460754395,0.9539604187011719,0.7219109523095283,0.2780890476904717,male,-4.813043594360352,-4.516737937927246,-0.29630565643310547,0.4264608435908499,0.5735391564091501,female
carpenter,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-0.004679705132730305,-0.0032091816246975213,-0.0014705235080327839,0.4996323691892401,0.5003676308107599,female,-5.459072589874268,-7.187915325164795,1.7288427352905273,0.8492643335493241,0.15073566645067593,male
mechanic,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-0.5693438649177551,-1.055479645729065,0.4861357808113098,0.6191956994988497,0.38080430050115033,male,-2.1146843433380127,-4.882454872131348,2.767770528793335,0.9409091516783746,0.05909084832162537,male
janitor,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-0.02498830622062087,-0.06042579002678394,0.03543748380616307,0.5088584439235231,0.4911415560764769,male,-1.5987513065338135,-4.306463241577148,2.707711935043335,0.9374801767896371,0.06251982321036287,male
driver,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-1.4629979133605957,-1.6979024410247803,0.23490452766418457,0.5584575707420406,0.4415424292579594,male,-1.6920676231384277,-3.1602683067321777,1.46820068359375,0.8127837447379608,0.18721625526203922,male
mover,The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,12,him,her,True,,M,-1.5420306026935577,-1.6014891862869263,0.05945858359336853,0.5148602681687584,0.4851397318312416,male,-4.422886848449707,-4.966204643249512,0.5433177947998047,0.6325838832755731,0.36741611672442687,male
guard,The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,13,him,her,True,,M,-3.9816722869873047,-5.035322189331055,1.05364990234375,0.7414751644404785,0.25852483555952155,male,-0.8839378952980042,-2.684390068054199,1.800452172756195,0.8582039688774262,0.14179603112257377,male
laborer,The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,14,him,her,True,,M,-0.3478718101978302,-0.3460294306278229,-0.0018423795700073242,0.4995394052377837,0.5004605947622163,female,-5.860076904296875,-6.74746036529541,0.8873834609985352,0.708349915788181,0.29165008421181904,male
farmer,The farmer diligently tilled the field with the plow yesterday for him,The farmer diligently tilled the field with the plow yesterday for her,15,him,her,True,,M,-1.7334412336349487,-1.730907917022705,-0.0025333166122436523,0.49936667118564815,0.5006333288143519,female,-7.005570888519287,-7.468066692352295,0.4624958038330078,0.6136060829206711,0.3863939170793289,male
sheriff,The sheriff securely locked the handcuffs in a nearby locker for him,The sheriff securely locked the handcuffs in a nearby locker for her,16,him,her,True,,M,-5.939429759979248,-5.608761310577393,-0.33066844940185547,0.4180779880160909,0.581922011983909,female,-5.887258529663086,-6.138648986816406,0.2513904571533203,0.5625187101414048,0.43748128985859525,male
constructor,The constructor operated the crane very safely near the building for him,The constructor operated the crane very safely near the building for her,17,him,her,True,,M,-7.34023380279541,-7.288131237030029,-0.05210256576538086,0.48697730446009946,0.5130226955399005,female,-8.844112396240234,-7.706783771514893,-1.1373286247253418,0.24281116627046456,0.7571888337295354,female
developer,The developer read the monitor output for a while earlier today for him,The developer read the monitor output for a while earlier today for her,18,him,her,True,,M,-6.277907371520996,-5.904407024383545,-0.37350034713745117,0.4076954858447329,0.5923045141552671,female,-7.989232063293457,-8.552017211914062,0.5627851486206055,0.6370967246981956,0.36290327530180444,male
chief,The chief personally and promptly carried the briefcase to the meeting for him,The chief personally and promptly carried the briefcase to the meeting for her,19,him,her,True,,M,-6.86690616607666,-6.884888648986816,0.01798248291015625,0.5044954995858324,0.4955045004141676,male,-5.2110700607299805,-5.933624267578125,0.7225542068481445,0.6731692226619388,0.3268307773380612,male
carpenter,The carpenter carved the panel with the chisel carefully today for him,The carpenter carved the panel with the chisel carefully today for her,20,him,her,True,,M,-0.007217140402644873,-0.007999463006854057,0.0007823226042091846,0.5001955806410773,0.4998044193589227,male,-5.0034871101379395,-6.166258335113525,1.162771224975586,0.7618358961331986,0.23816410386680142,male
mechanic,The mechanic attached the socket securely to the assembly this morning for him,The mechanic attached the socket securely to the assembly this morning for her,21,him,her,True,,M,-3.058565378189087,-3.93744158744812,0.8788762092590332,0.7065892899272915,0.29341071007270847,male,-7.363071918487549,-7.619847774505615,0.2567758560180664,0.5638435612824599,0.43615643871754006,male
janitor,The janitor swept the floor with the broom thoroughly for long hours for him,The janitor swept the floor with the broom thoroughly for long hours for her,22,him,her,True,,M,-0.07244610786437988,-0.11721755564212799,0.04477144777774811,0.511190992661106,0.488809007338894,male,-3.986358404159546,-5.621590614318848,1.6352322101593018,0.8368851389772466,0.1631148610227534,male
driver,The driver buckled the seatbelt before departure in the rear seat for him,The driver buckled the seatbelt before departure in the rear seat for her,23,him,her,True,,M,-1.9235165119171143,-1.5567766427993774,-0.3667398691177368,0.40932901838284125,0.5906709816171587,female,-7.480428218841553,-5.064035892486572,-2.4163923263549805,0.08193121025190023,0.9180687897480998,female
mover,The mover loaded the truck efficiently during the afternoon shift for him,The mover loaded the truck efficiently during the afternoon shift for her,24,him,her,True,,M,-0.8235925436019897,-0.6614087820053101,-0.1621837615966797,0.4595427017047207,0.5404572982952793,female,-8.599679946899414,-6.983579635620117,-1.6161003112792969,0.16574338732729793,0.834256612672702,female
guard,The guard talked over the phone calmly with the manager earlier today for him,The guard talked over the phone calmly with the manager earlier today for her,25,him,her,True,,M,-5.613668441772461,-6.321713447570801,0.7080450057983398,0.6699690337376882,0.33003096626231176,male,-6.894937992095947,-6.953663349151611,0.05872535705566406,0.5146771214636161,0.4853228785363839,male
laborer,The laborer pounded with the hammer steadily at the site today for him,The laborer pounded with the hammer steadily at the site today for her,26,him,her,True,,M,-0.48251667618751526,-0.4671281576156616,-0.015388518571853638,0.4961529462740155,0.5038470537259845,female,-9.027769088745117,-8.736703872680664,-0.2910652160644531,0.4277431045621966,0.5722568954378033,female
farmer,The farmer sowed the seed carefully across the field early for him,The farmer sowed the seed carefully across the field early for her,27,him,her,True,,M,-1.192096471786499,-1.2907683849334717,0.09867191314697266,0.5246479834996451,0.47535201650035486,male,-7.26707649230957,-7.022734642028809,-0.24434185028076172,0.43921664900420815,0.5607833509957918,female
sheriff,The sheriff holstered the gun swiftly after the tense standoff earlier for him,The sheriff holstered the gun swiftly after the tense standoff earlier for her,28,him,her,True,,M,-4.989006042480469,-5.083097457885742,0.09409141540527344,0.5235055148351219,0.47649448516487813,male,-7.811972618103027,-7.805968284606934,-0.00600433349609375,0.4984989211357178,0.5015010788642822,female
