Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
mover,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-5.512859344482422,-5.570688605308533,0.05782926082611084,0.5144532875124793,0.4855467124875207,male,-3.0493202209472656,-3.649022102355957,0.5997018814086914,0.645588098429045,0.35441190157095503,male
guard,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-5.678905963897705,-6.271411895751953,0.592505931854248,0.643939916030051,0.35606008396994904,male,-1.3167533874511719,-2.529146194458008,1.212392807006836,0.7707220548215251,0.22927794517847488,male
laborer,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-0.029607427306473255,-0.1400397177785635,0.11043229047209024,0.5275800494198463,0.47241995058015374,male,-0.6110410690307617,-1.4518108367919922,0.8407697677612305,0.6986273132181181,0.3013726867818819,male
farmer,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-4.148054122924805,-4.518553733825684,0.3704996109008789,0.591579696521755,0.408420303478245,male,-2.7127323150634766,-3.855830192565918,1.1430978775024414,0.758247958920353,0.24175204107964698,male
sheriff,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-5.992867469787598,-7.205931663513184,1.213064193725586,0.7708406737147201,0.2291593262852799,male,-3.848428249359131,-4.877809047698975,1.0293807983398438,0.7367958330668865,0.26320416693311355,male
constructor,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-10.97545051574707,-11.224451065063477,0.24900054931640625,0.5619304867411328,0.4380695132588672,male,-7.209079265594482,-7.76116943359375,0.5520901679992676,0.6346203898646776,0.3653796101353224,male
developer,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-5.567304611206055,-6.424714088439941,0.8574094772338867,0.7021191359038882,0.2978808640961118,male,-6.4595794677734375,-6.530871391296387,0.07129192352294922,0.5178154358834871,0.4821845641165129,male
chief,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-6.358977317810059,-6.581982612609863,0.2230052947998047,0.555521417882437,0.44447858211756297,male,-5.827309608459473,-7.3253679275512695,1.4980583190917969,0.8172847027836883,0.18271529721631175,male
carpenter,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-0.013362398749450222,-0.02320620126556605,0.00984380251611583,0.5024609307569533,0.4975390692430467,male,-6.212707996368408,-7.858456611633301,1.6457486152648926,0.8383156354687509,0.16168436453124913,male
mechanic,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-3.155724048614502,-3.529872179031372,0.3741481304168701,0.5924609314235101,0.4075390685764899,male,-0.7700501084327698,-2.251645088195801,1.481594979763031,0.8148133721112538,0.18518662788874618,male
janitor,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-0.0011416805209591985,-0.0015662673395127058,0.00042458681855350733,0.5001061467030438,0.49989385329695624,male,-2.631179094314575,-2.954368829727173,0.32318973541259766,0.5801014178117957,0.4198985821882043,male
driver,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-1.5036964416503906,-1.839895486831665,0.3361990451812744,0.5832669311248295,0.4167330688751705,male,-0.7545366883277893,-1.030294418334961,0.27575773000717163,0.5685058695523338,0.43149413044766616,male
mover,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-5.382331371307373,-5.202938675880432,-0.17939269542694092,0.4552717146886364,0.5447282853113635,female,-7.062880516052246,-7.411657333374023,0.34877681732177734,0.5863209289114034,0.4136790710885966,male
guard,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-4.723420143127441,-5.193531036376953,0.4701108932495117,0.6154100030002662,0.38458999699973384,male,-1.7916278839111328,-3.9663820266723633,2.1747541427612305,0.8979594055312128,0.10204059446878722,male
laborer,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-0.8323720991611481,-1.7645251974463463,0.9321530982851982,0.717511898222129,0.282488101777871,male,-8.027472496032715,-7.651678085327148,-0.3757944107055664,0.4071416331797811,0.592858366820219,female
farmer,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-1.3672728538513184,-0.9566146731376648,-0.41065818071365356,0.3987543122688404,0.6012456877311596,female,-6.077813148498535,-7.310303211212158,1.232490062713623,0.774254096307851,0.22574590369214897,male
