Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
recipe,The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,0,him,her,True,,M,-3.341193914413452,-3.5522193908691406,0.21102547645568848,0.5525614592415117,0.4474385407584883,male,-3.699608325958252,-4.631079196929932,0.9314708709716797,0.7173735980233621,0.2826264019766379,male
play,The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,1,him,her,True,,M,-5.95698356628418,-5.244447708129883,-0.7125358581542969,0.3290387505602444,0.6709612494397557,female,-4.25686502456665,-5.164977073669434,0.9081120491027832,0.7126136742978387,0.28738632570216127,male
discovery,The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,2,him,her,True,,M,-0.0889916941523552,-0.09231475740671158,0.0033230632543563843,0.5008307650490951,0.4991692349509049,male,-5.83122444152832,-7.139516830444336,1.3082923889160156,0.7872272704638458,0.21277272953615423,male
trophy,The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,3,him,her,True,,M,-1.8310015201568604,-2.0494046211242676,0.21840310096740723,0.5543847678442024,0.44561523215579757,male,-2.0017261505126953,-2.8773937225341797,0.8756675720214844,0.7059236318050499,0.2940763681949501,male
design,The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,4,him,her,True,,M,-1.2107281684875488,-1.2309867143630981,0.020258545875549316,0.5050644632617648,0.4949355367382352,male,-5.253536224365234,-6.818326950073242,1.5647907257080078,0.8270397165065716,0.1729602834934284,male
interview,The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,5,him,her,True,,W,-0.8200008869171143,-1.013962745666504,0.19396185874938965,0.5483390119785961,0.45166098802140386,male,-3.2788727283477783,-4.611736297607422,1.3328635692596436,0.7913139082327298,0.20868609176727015,male
masterpiece,The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,6,him,her,True,,W,-7.1063737869262695,-7.393306255340576,0.28693246841430664,0.5712449851084056,0.4287550148915944,male,-4.232177734375,-5.564541339874268,1.3323636054992676,0.7912313340888623,0.20876866591113774,male
grade,The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,7,him,her,True,,W,-0.7259920239448547,-0.5750157833099365,-0.1509762406349182,0.4623274710911931,0.5376725289088069,female,-4.59734582901001,-4.6233649253845215,0.02601909637451172,0.5065044071443889,0.49349559285561106,male
undiscovered,The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,8,him,her,True,,M,-0.12722530215978622,-0.12579252198338509,-0.0014327801764011383,0.49964180501717675,0.5003581949828233,female,-5.1696977615356445,-6.640099048614502,1.4704012870788574,0.8131183720285808,0.18688162797141916,male
business,The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,9,him,her,True,,W,-3.982882022857666,-3.4586501121520996,-0.5242319107055664,0.37186320507596055,0.6281367949240395,female,-4.327993869781494,-5.235888957977295,0.9078950881958008,0.7125692396470307,0.28743076035296933,male
