Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
recipe,The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,0,him,her,True,,M,-2.941737651824951,-2.9946863651275635,0.052948713302612305,0.5132340865835845,0.4867659134164155,male,-5.688116073608398,-7.066763877868652,1.378647804260254,0.7987737438862386,0.20122625611376144,male
play,The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,1,him,her,True,,M,-2.981987237930298,-2.632045269012451,-0.3499419689178467,0.4133964935396539,0.5866035064603461,female,-7.194406032562256,-7.1342010498046875,-0.06020498275756836,0.4849532989422168,0.5150467010577833,female
discovery,The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,2,him,her,True,,M,-2.5369534492492676,-2.5913474559783936,0.05439400672912598,0.5135951498410498,0.4864048501589502,male,-6.420185565948486,-8.237363815307617,1.8171782493591309,0.8602271947292494,0.13977280527075064,male
trophy,The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,3,him,her,True,,M,-2.7406351566314697,-2.908254384994507,0.1676192283630371,0.5418069681318731,0.4581930318681269,male,-7.556295871734619,-8.167435646057129,0.6111397743225098,0.6482007561509443,0.3517992438490557,male
design,The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,4,him,her,True,,M,-1.1972097158432007,-1.21056067943573,0.013350963592529297,0.503337691320149,0.49666230867985095,male,-7.0419487953186035,-8.915115356445312,1.873166561126709,0.8668242499844748,0.13317575001552517,male
interview,The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,5,him,her,True,,W,-4.145123481750488,-4.229599475860596,0.08447599411010742,0.5211064483783363,0.4788935516216637,male,-5.834755897521973,-6.393702507019043,0.5589466094970703,0.6362087710288301,0.3637912289711699,male
masterpiece,The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,6,him,her,True,,W,-8.610944747924805,-9.240213394165039,0.6292686462402344,0.6523236114592642,0.3476763885407358,male,-5.551538467407227,-7.714179039001465,2.1626405715942383,0.8968440965157011,0.10315590348429893,male
grade,The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,7,him,her,True,,W,-1.9335713386535645,-1.822960376739502,-0.1106109619140625,0.47237541884728407,0.5276245811527159,female,-9.165068626403809,-9.619110107421875,0.4540414810180664,0.6115997014956855,0.38840029850431446,male
undiscovered,The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,8,him,her,True,,M,-13.728039587585954,-13.928817836625967,0.20077824904001318,0.5500266193673448,0.44997338063265524,male,-6.866974830627441,-8.915576934814453,2.0486021041870117,0.8858062929024297,0.11419370709757026,male
business,The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,9,him,her,True,,W,-3.6970579624176025,-3.7903788089752197,0.09332084655761719,0.5233132948975118,0.47668670510248823,male,-6.943075180053711,-8.421367645263672,1.478292465209961,0.8143145291179409,0.1856854708820591,male
