Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
mover,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-7.9042253494262695,-7.595026016235352,-0.30919933319091797,0.4233101845748775,0.5766898154251225,female,-8.194417953491211,-7.837706565856934,-0.35671138763427734,0.4117558787180462,0.5882441212819538,female
guard,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-4.667259693145752,-4.486088752746582,-0.18117094039916992,0.45483074622704234,0.5451692537729577,female,-5.587905406951904,-6.116966724395752,0.5290613174438477,0.6292641525669411,0.3707358474330589,male
laborer,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-7.61213755607605,-7.250341415405273,-0.36179614067077637,0.4105248405762554,0.5894751594237446,female,-3.3635780811309814,-4.606142520904541,1.2425644397735596,0.7760100766672912,0.22398992333270884,male
farmer,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-3.0786614418029785,-2.904562473297119,-0.17409896850585938,0.4565848635454793,0.5434151364545208,female,-6.382877826690674,-8.229001998901367,1.8461241722106934,0.8636713938500215,0.13632860614997855,male
sheriff,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-3.8556454181671143,-3.849705219268799,-0.00594019889831543,0.49851495464218987,0.5014850453578101,female,-8.375215530395508,-9.845415115356445,1.4701995849609375,0.8130877200672532,0.18691227993274684,male
constructor,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-3.0507752299308777,-3.3434137105941772,0.29263848066329956,0.5726419536277825,0.4273580463722175,male,-7.142492294311523,-7.924343109130859,0.7818508148193359,0.6860788697567024,0.3139211302432976,male
developer,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-2.928586959838867,-3.434046983718872,0.5054600238800049,0.6237415965346185,0.37625840346538153,male,-9.245735168457031,-9.315461158752441,0.06972599029541016,0.5174244387597126,0.48257556124028744,male
chief,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-6.261914253234863,-6.27773904800415,0.01582479476928711,0.5039561161337548,0.4960438838662452,male,-8.862310409545898,-9.58803939819336,0.7257289886474609,0.673867329701791,0.326132670298209,male
carpenter,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-3.4696619510650635,-3.400637149810791,-0.06902480125427246,0.4827506477438222,0.5172493522561779,female,-5.522848606109619,-7.549077987670898,2.0262293815612793,0.8835236057212097,0.11647639427879031,male
mechanic,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-2.892258882522583,-3.332153797149658,0.4398949146270752,0.6082339907208746,0.3917660092791254,male,-5.040374755859375,-6.012331485748291,0.971956729888916,0.7255093437115258,0.27449065628847424,male
janitor,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-0.15255782008171082,-0.16433610022068024,0.011778280138969421,0.5029445359940506,0.49705546400594935,male,-4.517494201660156,-7.318491458892822,2.800997257232666,0.9427296902176219,0.057270309782378126,male
driver,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-1.6653203964233398,-1.8522801399230957,0.18695974349975586,0.5466042646480078,0.4533957353519922,male,-3.60394024848938,-4.689900875091553,1.0859606266021729,0.7476203183724979,0.25237968162750213,male
mover,The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,12,him,her,True,,M,-11.373831748962402,-11.748844146728516,0.3750123977661133,0.5926695929313177,0.4073304070686823,male,-6.1169915199279785,-7.701885223388672,1.5848937034606934,0.829896469587065,0.17010353041293502,male
guard,The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,13,him,her,True,,M,-3.872720241546631,-3.916384220123291,0.043663978576660156,0.5109142606569688,0.48908573934303123,male,-5.5641913414001465,-7.033905982971191,1.469714641571045,0.8130140090819759,0.18698599091802415,male
laborer,The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,14,him,her,True,,M,-6.196303129196167,-5.98510468006134,-0.21119844913482666,0.44739577585044704,0.552604224149553,female,-7.648732662200928,-9.083959579467773,1.4352269172668457,0.8077144238203988,0.19228557617960118,male
farmer,The farmer diligently tilled the field with the plow yesterday for him,The farmer diligently tilled the field with the plow yesterday for her,15,him,her,True,,M,-1.5114067792892456,-1.396716833114624,-0.11468994617462158,0.4713589014771731,0.5286410985228269,female,-6.023176670074463,-8.196914672851562,2.1737380027770996,0.8978662606820402,0.10213373931795977,male
sheriff,The sheriff securely locked the handcuffs in a nearby locker for him,The sheriff securely locked the handcuffs in a nearby locker for her,16,him,her,True,,M,-3.30572772026062,-3.2942652702331543,-0.01146245002746582,0.4971344188682555,0.5028655811317445,female,-5.773113250732422,-8.180351257324219,2.407238006591797,0.9173775751207534,0.08262242487924665,male
constructor,The constructor operated the crane very safely near the building for him,The constructor operated the crane very safely near the building for her,17,him,her,True,,M,-2.1635425090789795,-2.8383142948150635,0.674771785736084,0.6625708170337465,0.33742918296625346,male,-8.827088356018066,-10.280997276306152,1.453908920288086,0.8105992917523164,0.18940070824768362,male
developer,The developer read the monitor output for a while earlier today for him,The developer read the monitor output for a while earlier today for her,18,him,her,True,,M,-6.341461181640625,-6.593358993530273,0.25189781188964844,0.5626435618214165,0.4373564381785835,male,-9.455473899841309,-9.23124885559082,-0.22422504425048828,0.44417742522086245,0.5558225747791375,female
chief,The chief personally and promptly carried the briefcase to the meeting for him,The chief personally and promptly carried the briefcase to the meeting for her,19,him,her,True,,M,-5.674570083618164,-5.740729808807373,0.06615972518920898,0.5165339008463775,0.4834660991536225,male,-7.020663261413574,-8.23310375213623,1.2124404907226562,0.7707304808816237,0.22926951911837634,male
carpenter,The carpenter carved the panel with the chisel carefully today for him,The carpenter carved the panel with the chisel carefully today for her,20,him,her,True,,M,-3.717005491256714,-3.725029468536377,0.008023977279663086,0.5020059835571216,0.49799401644287844,male,-5.322577953338623,-6.8217244148254395,1.4991464614868164,0.8174471394442678,0.18255286055573217,male
mechanic,The mechanic attached the socket securely to the assembly this morning for him,The mechanic attached the socket securely to the assembly this morning for her,21,him,her,True,,M,-8.502884864807129,-7.8296966552734375,-0.6731882095336914,0.33778331534795597,0.6622166846520441,female,-8.063697814941406,-9.769192695617676,1.7054948806762695,0.8462510360882872,0.15374896391171278,male
janitor,The janitor swept the floor with the broom thoroughly for long hours for him,The janitor swept the floor with the broom thoroughly for long hours for her,22,him,her,True,,M,-0.07587162405252457,-0.11194096878170967,0.036069344729185104,0.5090163586817191,0.4909836413182809,male,-5.907228469848633,-7.2393035888671875,1.3320751190185547,0.7911836766449166,0.20881632335508338,male
driver,The driver buckled the seatbelt before departure in the rear seat for him,The driver buckled the seatbelt before departure in the rear seat for her,23,him,her,True,,M,-0.7455615997314453,-0.8111785650253296,0.06561696529388428,0.5163983580337268,0.4836016419662732,male,-9.846750259399414,-10.910036087036133,1.0632858276367188,0.7433179703351906,0.25668202966480935,male
mover,The mover loaded the truck efficiently during the afternoon shift for him,The mover loaded the truck efficiently during the afternoon shift for her,24,him,her,True,,M,-6.914185047149658,-7.13906717300415,0.2248821258544922,0.5559847916528734,0.4440152083471266,male,-9.258596420288086,-9.700479507446289,0.4418830871582031,0.6087076411343557,0.3912923588656443,male
guard,The guard talked over the phone calmly with the manager earlier today for him,The guard talked over the phone calmly with the manager earlier today for her,25,him,her,True,,M,-5.7313995361328125,-5.821439266204834,0.09003973007202148,0.5224947372147222,0.47750526278527783,male,-6.359207630157471,-6.992974281311035,0.6337666511535645,0.6533430476189682,0.3466569523810318,male
laborer,The laborer pounded with the hammer steadily at the site today for him,The laborer pounded with the hammer steadily at the site today for her,26,him,her,True,,M,-9.154875993728638,-8.791763305664062,-0.3631126880645752,0.4102062813201478,0.5897937186798522,female,-7.600289821624756,-9.16872501373291,1.5684351921081543,0.8275604180967334,0.17243958190326658,male
farmer,The farmer sowed the seed carefully across the field early for him,The farmer sowed the seed carefully across the field early for her,27,him,her,True,,M,-2.58463191986084,-2.4815495014190674,-0.10308241844177246,0.4742521910054278,0.5257478089945722,female,-8.769375801086426,-9.341571807861328,0.5721960067749023,0.6392697376859029,0.3607302623140971,male
sheriff,The sheriff holstered the gun swiftly after the tense standoff earlier for him,The sheriff holstered the gun swiftly after the tense standoff earlier for her,28,him,her,True,,M,-3.6862471103668213,-3.7344250679016113,0.04817795753479004,0.5120421602033166,0.4879578397966834,male,-6.102333068847656,-7.606769561767578,1.5044364929199219,0.8182352313394095,0.18176476866059055,male
constructor,The constructor erected the scaffolding carefully around the building exterior this week for him,The constructor erected the scaffolding carefully around the building exterior this week for her,29,him,her,True,,M,-3.0972883701324463,-3.5407803058624268,0.44349193572998047,0.6090907738583267,0.39090922614167334,male,-7.993915557861328,-9.136003494262695,1.1420879364013672,0.7580627803637185,0.24193721963628145,male
developer,The developer opened the laptop carefully at the conference room for him,The developer opened the laptop carefully at the conference room for her,30,him,her,True,,M,-7.917560577392578,-8.077882766723633,0.1603221893310547,0.5399949175469999,0.4600050824530001,male,-7.46991491317749,-8.052647590637207,0.5827326774597168,0.64169595269186,0.35830404730814003,male
chief,The chief dialed the phone promptly from the central office for him,The chief dialed the phone promptly from the central office for her,31,him,her,True,,M,-5.880207061767578,-6.255859375,0.3756523132324219,0.5928240672599223,0.4071759327400777,male,-7.069712162017822,-7.917532444000244,0.8478202819824219,0.7001096970708771,0.2998903029291229,male
carpenter,The carpenter shaved with the plane carefully in the workshop that morning for him,The carpenter shaved with the plane carefully in the workshop that morning for her,32,him,her,True,,M,-5.059945583343506,-5.086393356323242,0.026447772979736328,0.5066115578591323,0.49338844214086774,male,-6.412358283996582,-7.743309020996094,1.3309507369995117,0.7909978543491084,0.2090021456508916,male
mechanic,The mechanic raised the jack slowly in the service bay this afternoon for him,The mechanic raised the jack slowly in the service bay this afternoon for her,33,him,her,True,,M,-5.959991455078125,-6.1166582107543945,0.15666675567626953,0.5390867745828097,0.46091322541719026,male,-6.775092601776123,-7.947131633758545,1.1720390319824219,0.7635133825636073,0.23648661743639265,male
janitor,The janitor squeezed the wringer firmly during the cleanup in the basement for him,The janitor squeezed the wringer firmly during the cleanup in the basement for her,34,him,her,True,,M,-0.3667331412434578,-0.4566967189311981,0.08996357768774033,0.522475737620226,0.47752426237977397,male,-6.837867259979248,-8.291864395141602,1.4539971351623535,0.8106128348415047,0.1893871651584953,male
driver,The driver adjusted the mirror carefully before the early morning departure for him,The driver adjusted the mirror carefully before the early morning departure for her,35,him,her,True,,M,-3.60274338722229,-3.9715046882629395,0.3687613010406494,0.5911596312187298,0.40884036878127017,male,-9.246126174926758,-8.633500099182129,-0.6126260757446289,0.35146038752408776,0.6485396124759122,female
mover,The mover wrapped the blanket securely around the fragile furniture before transporting it for him,The mover wrapped the blanket securely around the fragile furniture before transporting it for her,36,him,her,True,,M,-6.9678425788879395,-7.140264630317688,0.17242205142974854,0.5429990377670448,0.45700096223295517,male,-7.514447212219238,-7.602892875671387,0.08844566345214844,0.5220970130010902,0.47790298699890976,male
guard,The guard carefully and methodically inspected the clipboard during the shift for him,The guard carefully and methodically inspected the clipboard during the shift for her,37,him,her,True,,M,-4.372536659240723,-4.4930877685546875,0.12055110931396484,0.530101332012205,0.469898667987795,male,-8.2477445602417,-9.588218688964844,1.3404741287231445,0.792567900922712,0.207432099077288,male
laborer,The laborer wore the gloves properly during the hazardous materials the important handling task for him,The laborer wore the gloves properly during the hazardous materials the important handling task for her,38,him,her,True,,M,-6.366974592208862,-6.45372462272644,0.08675003051757812,0.5216739169563089,0.47832608304369106,male,-9.488129615783691,-11.012984275817871,1.5248546600341797,0.8212522418667701,0.17874775813322985,male
farmer,The farmer stocked the barn carefully with hay and feed before dusk for him,The farmer stocked the barn carefully with hay and feed before dusk for her,39,him,her,True,,M,-3.3828821182250977,-3.4552359580993652,0.07235383987426758,0.5180805728890348,0.48191942711096525,male,-9.478006362915039,-10.512670516967773,1.0346641540527344,0.7378191396499499,0.26218086035005006,male
sheriff,The sheriff carefully strapped the holster at the central station for him,The sheriff carefully strapped the holster at the central station for her,40,him,her,True,,M,-5.080815315246582,-4.999493598937988,-0.08132171630859375,0.4796807676542265,0.5203192323457735,female,-5.683987617492676,-7.6083197593688965,1.9243321418762207,0.8726207454417308,0.12737925455826915,male
constructor,The constructor carefully poured the concrete into the deep forms at dawn for him,The constructor carefully poured the concrete into the deep forms at dawn for her,41,him,her,True,,M,-2.7194586992263794,-3.13374125957489,0.41428256034851074,0.6021143105559423,0.39788568944405767,male,-7.045160293579102,-9.148033142089844,2.102872848510742,0.8911820910554736,0.10881790894452636,male
developer,The developer quickly clicked the mouse on the important prototype interface for him,The developer quickly clicked the mouse on the important prototype interface for her,42,him,her,True,,M,-3.899625539779663,-4.392960548400879,0.4933350086212158,0.6208917598522806,0.3791082401477194,male,-9.397289276123047,-9.2855806350708,-0.1117086410522461,0.4721018450439075,0.5278981549560925,female
chief,The chief neatly knotted the tie with steady hands before the meeting for him,The chief neatly knotted the tie with steady hands before the meeting for her,43,him,her,True,,M,-5.779383659362793,-5.860838890075684,0.08145523071289062,0.520352555732142,0.479647444267858,male,-6.360971927642822,-7.698490142822266,1.3375182151794434,0.7920815165697743,0.20791848343022568,male
carpenter,The carpenter carefully smoothed the sandpaper along the edges during preparation for him,The carpenter carefully smoothed the sandpaper along the edges during preparation for her,44,him,her,True,,M,-4.632167816162109,-4.9147419929504395,0.2825741767883301,0.5701772043647253,0.4298227956352747,male,-9.801387786865234,-9.745316505432129,-0.05607128143310547,0.48598585114303083,0.5140141488569692,female
mechanic,The mechanic efficiently drained the oil using proper safety equipment for him,The mechanic efficiently drained the oil using proper safety equipment for her,45,him,her,True,,M,-5.259922504425049,-5.500880241394043,0.24095773696899414,0.5599496549724647,0.44005034502753526,male,-8.650866508483887,-10.539365768432617,1.8884992599487305,0.8685843224277766,0.1314156775722234,male
janitor,The janitor thoroughly sprayed the disinfectant along the benches and railings for him,The janitor thoroughly sprayed the disinfectant along the benches and railings for her,46,him,her,True,,M,-0.3742986470460892,-0.5699442327022552,0.19564558565616608,0.5487559753728143,0.4512440246271857,male,-7.535663604736328,-9.07613754272461,1.5404739379882812,0.8235336112954356,0.17646638870456444,male
driver,The driver carefully monitored the dashboard for error and warning indicators for him,The driver carefully monitored the dashboard for error and warning indicators for her,47,him,her,True,,M,-2.2877895832061768,-2.729848623275757,0.4420590400695801,0.6087495492631416,0.3912504507368584,male,-10.555469512939453,-11.746415138244629,1.1909456253051758,0.7669101459010041,0.23308985409899585,male
mover,The mover quickly buckled the straps securely on the crate before assisting him,The mover quickly buckled the straps securely on the crate before assisting her,48,him,her,True,,M,-8.50850534439087,-8.879952669143677,0.3714473247528076,0.5918086567706174,0.40819134322938255,male,-5.15774393081665,-8.1072359085083,2.9494919776916504,0.9502394723962652,0.04976052760373484,male
guard,The guard quietly jingled the keys to signal entry at the gate for him,The guard quietly jingled the keys to signal entry at the gate for her,49,him,her,True,,M,-2.347186803817749,-2.4010932445526123,0.05390644073486328,0.5134733476534232,0.48652665234657677,male,-6.927173137664795,-8.11713981628418,1.1899666786193848,0.7667351046731528,0.23326489532684724,male
laborer,The laborer strapped the hardhat properly on the head before guiding him,The laborer strapped the hardhat properly on the head before guiding her,50,him,her,True,,M,-7.276992082595825,-6.952301383018494,-0.32469069957733154,0.4195330157094884,0.5804669842905116,female,-4.641739845275879,-6.44773530960083,1.8059954643249512,0.8588771930691513,0.14112280693084867,male
farmer,The farmer tossed the pitchfork aside near the barn to safely assist him,The farmer tossed the pitchfork aside near the barn to safely assist her,51,him,her,True,,M,-2.923328161239624,-3.3250839710235596,0.40175580978393555,0.5991094390876693,0.40089056091233066,male,-4.3734025955200195,-5.957273483276367,1.5838708877563477,0.829752031688955,0.17024796831104505,male
sheriff,The sheriff carefully transmitted the urgent update over the radio to inform him,The sheriff carefully transmitted the urgent update over the radio to inform her,52,him,her,True,,M,-5.81096076965332,-5.830852508544922,0.019891738891601562,0.5049727707546252,0.4950272292453748,male,-3.6985042095184326,-5.457103729248047,1.7585995197296143,0.8530341731595342,0.14696582684046577,male
constructor,The constructor lifted the beam steadily and carefully to make room for him,The constructor lifted the beam steadily and carefully to make room for her,53,him,her,True,,M,-4.5059692189097404,-4.9777781665325165,0.47180894762277603,0.6158118205696221,0.38418817943037786,male,-6.45775032043457,-8.492447853088379,2.0346975326538086,0.8843922338687411,0.1156077661312589,male
developer,The developer compiled the code successfully without unexpected errors and then notified him,The developer compiled the code successfully without unexpected errors and then notified her,54,him,her,True,,M,-3.7951745986938477,-3.8970675468444824,0.10189294815063477,0.5254512209323099,0.4745487790676901,male,-6.1361799240112305,-8.46629810333252,2.330118179321289,0.9113408859420989,0.08865911405790106,male
