Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
mover,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-2.648428499698639,-2.5285438895225525,-0.11988461017608643,0.4700646921886512,0.5299353078113488,female,-22.03748321533203,-20.754610061645508,-1.2828731536865234,0.21706154616282264,0.7829384538371773,female
guard,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-2.589437961578369,-2.4891598224639893,-0.10027813911437988,0.4749514517724373,0.5250485482275626,female,-14.9777250289917,-15.261517524719238,0.28379249572753906,0.5704757585108919,0.42952424148910806,male
laborer,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-0.48302163486368954,-0.8281784779392183,0.34515684307552874,0.5854426353843178,0.41455736461568216,male,-16.7120304107666,-17.608755111694336,0.8967247009277344,0.7102759628972425,0.2897240371027575,male
farmer,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-3.654921531677246,-3.3520021438598633,-0.3029193878173828,0.4248439701434428,0.5751560298565572,female,-25.94329833984375,-24.31821632385254,-1.625082015991211,0.16450519004343828,0.8354948099565618,female
sheriff,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-4.153104782104492,-4.00475549697876,-0.14834928512573242,0.4629805459975534,0.5370194540024467,female,-13.624833106994629,-13.472128868103027,-0.15270423889160156,0.46189795200346984,0.5381020479965302,female
constructor,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-3.663510389626026,-3.4387678056955338,-0.2247425839304924,0.4440496567313699,0.5559503432686301,female,-18.39640998840332,-18.382238388061523,-0.014171600341796875,0.49645715920800193,0.5035428407919981,female
developer,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-9.073502540588379,-8.54495906829834,-0.5285434722900391,0.3708566640169394,0.6291433359830606,female,-20.794967651367188,-20.779203414916992,-0.015764236450195312,0.4960590225018509,0.5039409774981491,female
chief,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-4.455013275146484,-4.175424098968506,-0.2795891761779785,0.43055449787036776,0.5694455021296323,female,-13.225215911865234,-13.533010482788086,0.30779457092285156,0.5763468498338588,0.42365315016614125,male
carpenter,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-2.1077041625976562,-2.1747844219207764,0.06708025932312012,0.5167637792185658,0.48323622078143424,male,-16.92445182800293,-17.308395385742188,0.3839435577392578,0.5948238879022597,0.4051761120977403,male
mechanic,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-3.7904715538024902,-4.269319534301758,0.4788479804992676,0.6174758052643204,0.38252419473567956,male,-15.989767074584961,-16.068159103393555,0.07839202880859375,0.5195879770465133,0.48041202295348673,male
janitor,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-0.008561667695175856,-0.011177866836078465,0.0026161991409026086,0.5006540494121724,0.4993459505878276,male,-24.718643188476562,-22.483367919921875,-2.2352752685546875,0.0966271799799879,0.9033728200200121,female
driver,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-1.072631597518921,-1.5883347988128662,0.5157032012939453,0.62614248339915,0.37385751660085,male,-16.290674209594727,-16.51959991455078,0.2289257049560547,0.5569827853662728,0.44301721463372723,male
mover,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-5.031662702560425,-4.845665454864502,-0.18599724769592285,0.4536342794848043,0.5463657205151957,female,-15.20485782623291,-14.243180274963379,-0.9616775512695312,0.27654244691193397,0.723457553088066,female
guard,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-4.136872291564941,-4.344325542449951,0.20745325088500977,0.5516781069413248,0.4483218930586752,male,-13.351090431213379,-13.645195007324219,0.29410457611083984,0.5730007028478167,0.4269992971521833,male
laborer,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-1.776055932044983,-1.5267738997936249,-0.24928203225135803,0.4380002233289542,0.5619997766710458,female,-15.905734062194824,-16.038362503051758,0.1326284408569336,0.5331085919220924,0.46689140807790763,male
farmer,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-1.9573495388031006,-2.102365016937256,0.14501547813415527,0.5361904694950022,0.46380953050499785,male,-15.463641166687012,-16.451936721801758,0.9882955551147461,0.7287511311461624,0.2712488688538376,male
sheriff,The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,16,him,her,True,,M,-4.869790077209473,-4.529688835144043,-0.3401012420654297,0.4157848843661049,0.584215115633895,female,-15.5020751953125,-15.136561393737793,-0.36551380157470703,0.4096254884101864,0.5903745115898136,female
constructor,The constructor operated the crane safely for him,The constructor operated the crane safely for her,17,him,her,True,,M,-1.4977539777755737,-1.4229588061571121,-0.07479517161846161,0.48130991947044327,0.5186900805295567,female,-14.115245819091797,-15.046055793762207,0.9308099746704102,0.7172395828970419,0.2827604171029581,male
developer,The developer read the monitor output for him,The developer read the monitor output for her,18,him,her,True,,M,-9.589958190917969,-9.438497543334961,-0.1514606475830078,0.46220705903365983,0.5377929409663402,female,-17.835086822509766,-18.526466369628906,0.6913795471191406,0.6662737435803538,0.33372625641964615,male
