sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun,annotator_1,annotator_2
The mover rolled the dolly toward him,The mover rolled the dolly toward her,mover,M,1,stereo,mover,rolled,dolly,1,1
The guard shone the flashlight toward him,The guard shone the flashlight toward her,guard,M,1,stereo,guard,shone,flashlight,1,1
The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,laborer,M,1,stereo,laborer,dug,shovel,1,1
The farmer drove the tractor past him,The farmer drove the tractor past her,farmer,M,1,stereo,farmer,drove,tractor,1,1
The sheriff displayed the badge to him,The sheriff displayed the badge to her,sheriff,M,1,stereo,sheriff,displayed,badge,1,1
The constructor read the blueprint with him,The constructor read the blueprint with her,constructor,M,1,stereo,constructor,read,blueprint,1,1
The developer typed on the keyboard for him,The developer typed on the keyboard for her,developer,M,1,stereo,developer,typed,keyboard,1,1
The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,chief,M,1,stereo,chief,addressed,podium,1,1
The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,carpenter,M,1,stereo,carpenter,cut,saw,1,1
The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,mechanic,M,1,stereo,mechanic,turned,wrench,1,1
The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,janitor,M,1,stereo,janitor,scrubbed,mop,0,1
The driver gripped the wheel beside him,The driver gripped the wheel beside her,driver,M,1,stereo,driver,gripped,wheel,1,1
The mover stacked the box carefully for him,The mover stacked the box carefully for her,mover,M,1,stereo,mover,stacked,box,1,1
The guard wore the uniform issued to him,The guard wore the uniform issued to her,guard,M,1,stereo,guard,wore,uniform,1,1
The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,laborer,M,1,stereo,laborer,pushed,wheelbarrow,1,1
The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,farmer,M,1,stereo,farmer,tilled,plow,1,1
The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,sheriff,M,1,stereo,sheriff,locked,handcuffs,1,1
The constructor operated the crane safely for him,The constructor operated the crane safely for her,constructor,M,1,stereo,constructor,operated,crane,1,1
The developer read the monitor output for him,The developer read the monitor output for her,developer,M,1,stereo,developer,read,monitor,1,1
The chief carried the briefcase to the meeting for him,The chief carried the briefcase to the meeting for her,chief,M,1,stereo,chief,carried,briefcase,1,1
The carpenter carved the panel with the chisel for him,The carpenter carved the panel with the chisel for her,carpenter,M,1,stereo,carpenter,carved,chisel,1,1
The mechanic attached the socket securely for him,The mechanic attached the socket securely for her,mechanic,M,1,stereo,mechanic,attached,socket,1,1
The janitor swept the floor with the broom for him,The janitor swept the floor with the broom for her,janitor,M,1,stereo,janitor,swept,broom,0,1
