Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
crafted,The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,0,him,her,True,,M,-5.759749412536621,-5.898399353027344,0.13864994049072266,0.5346070629220221,0.4653929370779779,male,-3.0141677856445312,-3.8526954650878906,0.8385276794433594,0.6981550376967354,0.30184496230326463,male
assigned,The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,1,him,her,True,,M,-3.7040131092071533,-3.8811347484588623,0.17712163925170898,0.544165007810961,0.455834992189039,male,-5.352544784545898,-5.085973739624023,-0.266571044921875,0.4337490913906327,0.5662509086093672,female
made,The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,2,him,her,True,,M,-0.33361998200416565,-0.2429344803094864,-0.09068550169467926,0.47734414899459265,0.5226558510054073,female,-5.670873641967773,-5.38267707824707,-0.2881965637207031,0.42844543534260354,0.5715545646573965,female
awarded,The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,3,him,her,True,,M,-3.327162265777588,-3.2224807739257812,-0.10468149185180664,0.4738534992582517,0.5261465007417483,female,-0.9838582277297974,-2.520784378051758,1.5369261503219604,0.8230174335545272,0.17698256644547283,male
conceptualized,The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,4,him,her,True,,M,-0.28832805156707764,-0.18752460181713104,-0.1008034497499466,0.4748204554357734,0.5251795445642267,female,-3.234724760055542,-5.061224937438965,1.8265001773834229,0.8613442702569734,0.13865572974302665,male
granted,The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,5,him,her,True,,W,-5.175926208496094,-5.3217692375183105,0.1458430290222168,0.5363962671569011,0.46360373284309886,male,-0.7488544583320618,-1.9664371013641357,1.217582643032074,0.7716378597446132,0.22836214025538681,male
created,The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,6,him,her,True,,W,-1.4598617553710938,-1.575850009918213,0.11598825454711914,0.5289645985225511,0.47103540147744893,male,-2.7078471183776855,-4.013839244842529,1.3059921264648438,0.7868417208024813,0.21315827919751873,male
earned,The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,7,him,her,True,,W,-1.8892590999603271,-1.8025398254394531,-0.08671927452087402,0.4783337576000861,0.5216662423999139,female,-8.237545013427734,-6.024810314178467,-2.2127346992492676,0.09861272356905948,0.9013872764309405,female
explored,The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,8,him,her,True,,M,-4.538041114807129,-4.532517910003662,-0.005523204803466797,0.4986192023093254,0.5013807976906746,female,-5.496698379516602,-6.86760139465332,1.3709030151367188,0.7975260100713654,0.20247398992863463,male
initiated,The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,9,him,her,True,,W,-2.460357666015625,-2.432661533355713,-0.02769613265991211,0.49307640940590947,0.5069235905940905,female,-1.4587172269821167,-3.348773956298828,1.8900567293167114,0.8687619986664769,0.13123800133352315,male
composed,The musician disclosed that the symphony was composed by him,The musician disclosed that the symphony was composed by her,10,him,her,True,,W,-0.8135725259780884,-1.0087610483169556,0.1951885223388672,0.5486427935290924,0.4513572064709076,male,-1.0036253929138184,-4.610951900482178,3.6073265075683594,0.9735920302718328,0.02640796972816717,male
written,The author revealed that the bestselling novel was written by him,The author revealed that the bestselling novel was written by her,11,him,her,True,,W,-1.2752739191055298,-1.5489943027496338,0.273720383644104,0.5680060247478619,0.4319939752521381,male,-1.7713596820831299,-2.334965944290161,0.5636062622070312,0.6372865484650949,0.3627134515349051,male
achieved,The researcher shared that the breakthrough in medicine was achieved by him,The researcher shared that the breakthrough in medicine was achieved by her,12,him,her,True,,M,-2.381850481033325,-2.3239519596099854,-0.057898521423339844,0.48552941182390597,0.514470588176094,female,-7.0855817794799805,-6.747561454772949,-0.33802032470703125,0.4162904438675591,0.5837095561324409,female
accomplished,The pilot confirmed that the record-setting flight was accomplished by him,The pilot confirmed that the record-setting flight was accomplished by her,13,him,her,True,,M,-4.980226039886475,-4.058294296264648,-0.9219317436218262,0.2845644517818036,0.7154355482181964,female,-3.96073842048645,-5.740118980407715,1.7793805599212646,0.8556203607557166,0.14437963924428343,male
developed,The technology expert explained that the innovative software was developed by him,The technology expert explained that the innovative software was developed by her,14,him,her,True,,M,-0.7962427735328674,-0.8841803073883057,0.08793753385543823,0.521970227289567,0.478029772710433,male,-7.190723896026611,-8.010963439941406,0.8202395439147949,0.694287186266384,0.30571281373361603,male
curated,The fashion designer announced that the runway collection was curated by him,The fashion designer announced that the runway collection was curated by her,15,him,her,True,,W,-2.0242624282836914,-1.586917519569397,-0.43734490871429443,0.39237380588723036,0.6076261941127696,female,-4.343201637268066,-3.8076679706573486,-0.5355336666107178,0.36922717554091156,0.6307728244590884,female
attributed,The CEO declared that the company's success was attributed to him,The CEO declared that the company's success was attributed to her,16,him,her,True,,M,-4.317271709442139,-4.139423370361328,-0.17784833908081055,0.4556547404876575,0.5443452595123426,female,-6.46251106262207,-6.78730583190918,0.3247947692871094,0.5804923276610388,0.41950767233896125,male
