Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
rolled,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-2.207163095474243,-3.3264598846435547,1.1192967891693115,0.7538582547644085,0.2461417452355915,male,-4.5948357582092285,-5.653948783874512,1.0591130256652832,0.7425210068711698,0.25747899312883016,male
shone,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-1.8714501857757568,-1.2973369359970093,-0.5741132497787476,0.36028825668021264,0.6397117433197874,female,-1.9299218654632568,-2.204301595687866,0.2743797302246094,0.5681678047741272,0.4318321952258728,male
dug,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-1.7269190549850464,-1.576022744178772,-0.15089631080627441,0.46234734017020623,0.5376526598297937,female,-1.355968952178955,-7.787102222442627,6.431133270263672,0.9983919654129962,0.0016080345870037593,male
drove,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-1.976578950881958,-1.423374056816101,-0.5532048940658569,0.3651211692179819,0.6348788307820181,female,-3.983969211578369,-4.527945041656494,0.543975830078125,0.6327368114834367,0.36726318851656325,male
displayed,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-7.847323894500732,-6.146769046783447,-1.7005548477172852,0.1543928126753397,0.8456071873246603,female,-7.759218215942383,-6.61726188659668,-1.1419563293457031,0.24196135766402077,0.7580386423359793,female
read,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-5.0673980712890625,-5.3553385734558105,0.28794050216674805,0.5714918591697619,0.42850814083023814,male,-6.797032833099365,-8.211164474487305,1.4141316413879395,0.8044167941657482,0.19558320583425182,male
typed,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-1.977271556854248,-2.109316825866699,0.13204526901245117,0.5329634354230514,0.46703656457694864,male,-6.177315711975098,-8.627163887023926,2.449848175048828,0.9205503474420103,0.07944965255798975,male
addressed,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-0.8741924166679382,-0.9897376298904419,0.11554521322250366,0.5288542084652397,0.4711457915347603,male,-5.3237104415893555,-5.891264915466309,0.5675544738769531,0.6381986914829839,0.3618013085170161,male
cut,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-1.0560765266418457,-0.5956511497497559,-0.46042537689208984,0.38688491749054427,0.6131150825094558,female,-4.840183258056641,-5.557586669921875,0.7174034118652344,0.6720349745959043,0.32796502540409567,male
turned,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-3.0651955604553223,-2.3172388076782227,-0.7479567527770996,0.3212666770656293,0.6787333229343707,female,-2.508413791656494,-3.8024353981018066,1.2940216064453125,0.7848271099110942,0.21517289008890583,male
scrubbed,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-3.2106518149375916,-2.7957691326737404,-0.41488268226385117,0.3977419254502476,0.6022580745497523,female,-3.764153480529785,-4.195443153381348,0.4312896728515625,0.6061815883135063,0.3938184116864937,male
gripped,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-1.60017728805542,-1.5313774347305298,-0.06879985332489014,0.4828068180128418,0.5171931819871582,female,-0.4986112117767334,-1.6520764827728271,1.1534652709960938,0.7601432935349887,0.23985670646501134,male
stacked,The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,12,him,her,True,,M,-5.548150539398193,-5.618055820465088,0.06990528106689453,0.5174692068779441,0.48253079312205593,male,-6.2740373611450195,-6.265355110168457,-0.0086822509765625,0.4978294508907763,0.5021705491092237,female
wore,The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,13,him,her,True,,M,-0.9529861211776733,-0.8259268999099731,-0.1270592212677002,0.46827786017744427,0.5317221398225558,female,-0.3580184876918793,-2.478715419769287,2.120696932077408,0.892898595863389,0.10710140413661096,male
pushed,The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,14,him,her,True,,M,-4.119253158569336,-2.9484879970550537,-1.1707651615142822,0.23671670558158997,0.76328329441841,female,-7.431360721588135,-8.09348201751709,0.6621212959289551,0.6597367470457677,0.3402632529542323,male
tilled,The farmer diligently tilled the field with the plow yesterday for him,The farmer diligently tilled the field with the plow yesterday for her,15,him,her,True,,M,-6.371839463710785,-6.777629047632217,0.4057895839214325,0.6000778716677538,0.39992212833224616,male,-5.688961982727051,-7.126530647277832,1.4375686645507812,0.8080778628279754,0.19192213717202455,male
