Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
dolly,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-19.39453125,-18.69921875,-0.6953125,0.33285232501292616,0.6671476749870738,female,-8.453125,-6.2109375,-2.2421875,0.09602548878779378,0.9039745112122062,female
flashlight,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-3.541015625,-3.47265625,-0.068359375,0.4829168082174479,0.517083191782552,female,-3.5390625,-3.4140625,-0.125,0.46879062662624377,0.5312093733737562,female
shovel,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-1.587890625,-1.53515625,-0.052734375,0.4868194606043191,0.513180539395681,female,-4.96875,-5.078125,0.109375,0.5273165233795671,0.47268347662043286,male
tractor,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-3.009765625,-2.779296875,-0.23046875,0.4426364972492486,0.5573635027507514,female,-6.56640625,-5.72265625,-0.84375,0.3007455789412415,0.6992544210587586,female
badge,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-4.51953125,-4.515625,-0.00390625,0.4990234387417615,0.5009765612582384,female,-8.4921875,-7.84375,-0.6484375,0.3433417294618181,0.6566582705381818,female
blueprint,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-7.015625,-7.30859375,0.29296875,0.5727227762392935,0.42727722376070654,male,-6.92578125,-6.890625,-0.03515625,0.4912118426336716,0.5087881573663284,female
keyboard,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-1.408203125,-1.423828125,0.015625,0.5039061705290805,0.4960938294709195,male,-5.78515625,-5.08984375,-0.6953125,0.33285232501292616,0.6671476749870738,female
podium,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-2.337890625,-2.6484375,0.310546875,0.5770187415004098,0.42298125849959023,male,-7.73828125,-7.51171875,-0.2265625,0.44360042072113065,0.5563995792788694,female
saw,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-4.265625,-4.6796875,0.4140625,0.6020615889267098,0.3979384110732902,male,-6.61328125,-4.89453125,-1.71875,0.15203224162217424,0.8479677583778258,female
wrench,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-4.90625,-5.05859375,0.15234375,0.5380124478894484,0.46198755211055165,male,-5.58203125,-3.02734375,-2.5546875,0.07211220541293051,0.9278877945870695,female
mop,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-10.67578125,-10.83203125,0.15625,0.5389832206876841,0.4610167793123159,male,-3.609375,-2.9296875,-0.6796875,0.33633105292626736,0.6636689470737327,female
wheel,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-2.474609375,-2.412109375,-0.0625,0.4843800842769844,0.5156199157230156,female,-0.77587890625,-1.119140625,0.34326171875,0.5849826152010165,0.41501738479898354,male
