Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
dolly,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-7.11151710152626,-6.779393725097179,-0.33212337642908096,0.417724062835867,0.5822759371641331,female,-4.5948357582092285,-5.653948783874512,1.0591130256652832,0.7425210068711698,0.25747899312883016,male
flashlight,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-1.3978090286254883,-1.4350950717926025,0.03728604316711426,0.5093204310067956,0.4906795689932044,male,-1.9299218654632568,-2.204301595687866,0.2743797302246094,0.5681678047741272,0.4318321952258728,male
shovel,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-1.0662705898284912,-1.3490513563156128,0.2827807664871216,0.5702278336340109,0.42977216636598914,male,-1.355968952178955,-7.787102222442627,6.431133270263672,0.9983919654129962,0.0016080345870037593,male
tractor,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-0.2940830588340759,-0.13239696621894836,-0.16168609261512756,0.459666306855168,0.5403336931448319,female,-3.983969211578369,-4.527945041656494,0.543975830078125,0.6327368114834367,0.36726318851656325,male
badge,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-5.196161270141602,-3.317319393157959,-1.8788418769836426,0.13252195458001623,0.8674780454199837,female,-7.759218215942383,-6.61726188659668,-1.1419563293457031,0.24196135766402077,0.7580386423359793,female
blueprint,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-5.103659629821777,-6.011333465576172,0.9076738357543945,0.712523921847882,0.28747607815211795,male,-6.797032833099365,-8.211164474487305,1.4141316413879395,0.8044167941657482,0.19558320583425182,male
keyboard,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-0.22458504140377045,-0.18540753424167633,-0.039177507162094116,0.4902068757809164,0.5097931242190836,female,-6.177315711975098,-8.627163887023926,2.449848175048828,0.9205503474420103,0.07944965255798975,male
podium,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-0.731234610080719,-1.055186152458191,0.3239515423774719,0.580286970287153,0.41971302971284696,male,-5.3237104415893555,-5.891264915466309,0.5675544738769531,0.6381986914829839,0.3618013085170161,male
saw,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-2.499541997909546,-2.384489059448242,-0.11505293846130371,0.4712684521139715,0.5287315478860285,female,-4.840183258056641,-5.557586669921875,0.7174034118652344,0.6720349745959043,0.32796502540409567,male
wrench,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-3.174574613571167,-3.3818299770355225,0.20725536346435547,0.5516291630692355,0.4483708369307645,male,-2.508413791656494,-3.8024353981018066,1.2940216064453125,0.7848271099110942,0.21517289008890583,male
mop,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-4.938835456967354,-5.040135512128472,0.10130005516111851,0.5253033795134747,0.4746966204865253,male,-3.764153480529785,-4.195443153381348,0.4312896728515625,0.6061815883135063,0.3938184116864937,male
wheel,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-1.0150341987609863,-0.942246675491333,-0.07278752326965332,0.4818111488870399,0.5181888511129601,female,-0.4986112117767334,-1.6520764827728271,1.1534652709960938,0.7601432935349887,0.23985670646501134,male
box,The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,12,him,her,True,,M,-4.117245674133301,-3.989408493041992,-0.1278371810913086,0.46808415786802704,0.531915842131973,female,-6.2740373611450195,-6.265355110168457,-0.0086822509765625,0.4978294508907763,0.5021705491092237,female
uniform,The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,13,him,her,True,,M,-0.9199951887130737,-0.7303694486618042,-0.18962574005126953,0.4527351091172615,0.5472648908827384,female,-0.3580184876918793,-2.478715419769287,2.120696932077408,0.892898595863389,0.10710140413661096,male
wheelbarrow,The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,14,him,her,True,,M,-5.908726425259374,-6.146574532613158,0.23784810735378414,0.559183281205854,0.44081671879414597,male,-7.431360721588135,-8.09348201751709,0.6621212959289551,0.6597367470457677,0.3402632529542323,male
plow,The farmer diligently tilled the field with the plow yesterday for him,The farmer diligently tilled the field with the plow yesterday for her,15,him,her,True,,M,-8.878161013126373,-3.873789891600609,-5.0043711215257645,0.006663854032992354,0.9933361459670077,female,-5.688961982727051,-7.126530647277832,1.4375686645507812,0.8080778628279754,0.19192213717202455,male
handcuffs,The sheriff securely locked the handcuffs in a nearby locker for him,The sheriff securely locked the handcuffs in a nearby locker for her,16,him,her,True,,M,-4.640907287597656,-4.342433452606201,-0.2984738349914551,0.42593060922870135,0.5740693907712986,female,-4.743535041809082,-6.425362586975098,1.6818275451660156,0.843146376591648,0.15685362340835196,male
crane,The constructor operated the crane very safely near the building for him,The constructor operated the crane very safely near the building for her,17,him,her,True,,M,-2.798475742340088,-2.6931769847869873,-0.10529875755310059,0.4736996073087448,0.5263003926912553,female,-6.416592597961426,-7.847744941711426,1.43115234375,0.8070808007741398,0.1929191992258602,male
monitor,The developer read the monitor output for a while earlier today for him,The developer read the monitor output for a while earlier today for her,18,him,her,True,,M,-6.736529350280762,-6.579207420349121,-0.15732192993164062,0.4607504369874309,0.5392495630125691,female,-6.23661994934082,-6.288476943969727,0.05185699462890625,0.5129613442064449,0.4870386557935551,male
briefcase,The chief personally and promptly carried the briefcase to the meeting for him,The chief personally and promptly carried the briefcase to the meeting for her,19,him,her,True,,M,-6.932634577155113,-7.787962578237057,0.8553280010819435,0.701683616563253,0.29831638343674705,male,-2.1649718284606934,-4.933755397796631,2.7687835693359375,0.9409654506897673,0.059034549310232665,male
chisel,The carpenter carved the panel with the chisel carefully today for him,The carpenter carved the panel with the chisel carefully today for her,20,him,her,True,,M,-9.701439619064331,-9.726369857788086,0.024930238723754883,0.5062322368976198,0.49376776310238024,male,-5.499858856201172,-6.657642364501953,1.1577835083007812,0.760929733489809,0.23907026651019103,male
socket,The mechanic attached the socket securely to the assembly this morning for him,The mechanic attached the socket securely to the assembly this morning for her,21,him,her,True,,M,-6.7601542472839355,-6.676750183105469,-0.0834040641784668,0.47916106260563224,0.5208389373943678,female,-6.656266212463379,-8.33126163482666,1.6749954223632812,0.8422407047454411,0.1577592952545589,male
broom,The janitor swept the floor with the broom thoroughly for long hours for him,The janitor swept the floor with the broom thoroughly for long hours for her,22,him,her,True,,M,-0.3431996703147888,-0.2474619746208191,-0.09573769569396973,0.4760838406610733,0.5239161593389268,female,-4.112360000610352,-5.18962287902832,1.0772628784179688,0.7459756591077457,0.25402434089225434,male
seatbelt,The driver buckled the seatbelt before departure in the rear seat for him,The driver buckled the seatbelt before departure in the rear seat for her,23,him,her,True,,M,-5.966118693351746,-5.085993051528931,-0.8801256418228149,0.29315174351044615,0.7068482564895539,female,-6.167434215545654,-6.882266521453857,0.7148323059082031,0.6714680421887579,0.3285319578112421,male
truck,The mover loaded the truck efficiently during the afternoon shift for him,The mover loaded the truck efficiently during the afternoon shift for her,24,him,her,True,,M,-1.4274647235870361,-2.024721622467041,0.5972568988800049,0.6450284774642746,0.3549715225357254,male,-5.462855339050293,-6.602118492126465,1.1392631530761719,0.7575443273360244,0.2424556726639756,male
phone,The guard talked over the phone calmly with the manager earlier today for him,The guard talked over the phone calmly with the manager earlier today for her,25,him,her,True,,M,-2.391371011734009,-2.0446362495422363,-0.34673476219177246,0.4141744560504545,0.5858255439495454,female,-5.745842456817627,-6.061642169952393,0.3157997131347656,0.5783002703832939,0.4216997296167061,male
hammer,The laborer pounded with the hammer steadily at the site today for him,The laborer pounded with the hammer steadily at the site today for her,26,him,her,True,,M,-1.4313870668411255,-0.9819019436836243,-0.4494851231575012,0.389483189604557,0.610516810395443,female,-7.153610706329346,-8.646469116210938,1.4928584098815918,0.8165069166918767,0.1834930833081233,male
seed,The farmer sowed the seed carefully across the field early for him,The farmer sowed the seed carefully across the field early for her,27,him,her,True,,M,-2.648460865020752,-2.560638189315796,-0.08782267570495605,0.47805843187935976,0.5219415681206403,female,-4.5317301750183105,-7.460399150848389,2.928668975830078,0.9492455867816959,0.050754413218304095,male
gun,The sheriff holstered the gun swiftly after the tense standoff earlier for him,The sheriff holstered the gun swiftly after the tense standoff earlier for her,28,him,her,True,,M,-0.9569259881973267,-0.8952855467796326,-0.06164044141769409,0.484594767075102,0.5154052329248979,female,-3.792377233505249,-5.250526428222656,1.4581491947174072,0.8112494357131853,0.1887505642868147,male
scaffolding,The constructor erected the scaffolding carefully around the building exterior this week for him,The constructor erected the scaffolding carefully around the building exterior this week for her,29,him,her,True,,M,-3.912355862557888,-4.379050677642226,0.4666948150843382,0.6146011657082814,0.3853988342917186,male,-8.915486335754395,-9.05052661895752,0.135040283203125,0.5337088604740026,0.46629113952599743,male
laptop,The developer opened the laptop carefully at the conference room for him,The developer opened the laptop carefully at the conference room for her,30,him,her,True,,M,-4.069774627685547,-3.9803342819213867,-0.08944034576416016,0.47765480757770434,0.5223451924222957,female,-5.714903831481934,-6.881186485290527,1.1662826538085938,0.7624724307798052,0.2375275692201948,male
phone,The chief dialed the phone promptly from the central office for him,The chief dialed the phone promptly from the central office for her,31,him,her,True,,M,-2.549808979034424,-2.5123558044433594,-0.03745317459106445,0.4906378007211574,0.5093621992788426,female,-5.937569618225098,-6.997326850891113,1.0597572326660156,0.7426441494164588,0.25735585058354116,male
plane,The carpenter shaved with the plane carefully in the workshop that morning for him,The carpenter shaved with the plane carefully in the workshop that morning for her,32,him,her,True,,M,-10.466231346130371,-12.370899200439453,1.904667854309082,0.870418923036067,0.12958107696393295,male,-5.810943603515625,-6.537712097167969,0.7267684936523438,0.6740957405717423,0.32590425942825774,male
jack,The mechanic raised the jack slowly in the service bay this afternoon for him,The mechanic raised the jack slowly in the service bay this afternoon for her,33,him,her,True,,M,-6.661035537719727,-6.160705089569092,-0.5003304481506348,0.37746301539912086,0.6225369846008791,female,-4.906712532043457,-5.231133460998535,0.3244209289550781,0.5804012869566086,0.41959871304339136,male
wringer,The janitor squeezed the wringer firmly during the cleanup in the basement for him,The janitor squeezed the wringer firmly during the cleanup in the basement for her,34,him,her,True,,M,-10.679122865200043,-11.169422030448914,0.49029916524887085,0.6201769054977854,0.37982309450221463,male,-5.807394981384277,-6.222952842712402,0.415557861328125,0.6024197979896387,0.39758020201036126,male
mirror,The driver adjusted the mirror carefully before the early morning departure for him,The driver adjusted the mirror carefully before the early morning departure for her,35,him,her,True,,M,-5.182648658752441,-5.34488582611084,0.16223716735839844,0.5404705622928707,0.4595294377071293,male,-9.112887382507324,-8.621760368347168,-0.49112701416015625,0.3796281078828966,0.6203718921171034,female
blanket,The mover wrapped the blanket securely around the fragile furniture before transporting it for him,The mover wrapped the blanket securely around the fragile furniture before transporting it for her,36,him,her,True,,M,-3.0976929664611816,-2.797168254852295,-0.3005247116088867,0.4254292180873951,0.5745707819126049,female,-8.175920486450195,-8.788480758666992,0.6125602722167969,0.6485246133374737,0.3514753866625263,male
clipboard,The guard carefully and methodically inspected the clipboard during the shift for him,The guard carefully and methodically inspected the clipboard during the shift for her,37,him,her,True,,M,-9.963597297668457,-9.198322296142578,-0.7652750015258789,0.3175021034934026,0.6824978965065974,female,-7.776617050170898,-7.481103897094727,-0.2955131530761719,0.4266546948534763,0.5733453051465237,female
gloves,The laborer wore the gloves properly during the hazardous materials the important handling task for him,The laborer wore the gloves properly during the hazardous materials the important handling task for her,38,him,her,True,,M,-2.184368133544922,-2.0618224143981934,-0.12254571914672852,0.4694018528197055,0.5305981471802945,female,-2.0297300815582275,-5.05937385559082,3.0296437740325928,0.9538955090811849,0.04610449091881508,male
barn,The farmer stocked the barn carefully with hay and feed before dusk for him,The farmer stocked the barn carefully with hay and feed before dusk for her,39,him,her,True,,M,-4.974761962890625,-2.753042221069336,-2.221719741821289,0.09781693417352412,0.9021830658264759,female,-5.057826519012451,-4.968543529510498,-0.08928298950195312,0.47769406821204013,0.5223059317879599,female
holster,The sheriff carefully strapped the holster at the central station for him,The sheriff carefully strapped the holster at the central station for her,40,him,her,True,,M,-6.357378959655762,-7.482335567474365,1.1249566078186035,0.7549069584290425,0.24509304157095746,male,-4.118371963500977,-5.285406112670898,1.1670341491699219,0.7626085059225562,0.23739149407744375,male
concrete,The constructor carefully poured the concrete into the deep forms at dawn for him,The constructor carefully poured the concrete into the deep forms at dawn for her,41,him,her,True,,M,-4.885416030883789,-5.414896011352539,0.52947998046875,0.6293618175032315,0.3706381824967685,male,-6.308413982391357,-7.5344462394714355,1.2260322570800781,0.7731233720747537,0.22687662792524632,male
mouse,The developer quickly clicked the mouse on the important prototype interface for him,The developer quickly clicked the mouse on the important prototype interface for her,42,him,her,True,,M,-2.408928871154785,-2.534064292907715,0.1251354217529297,0.5312430967652366,0.4687569032347634,male,-3.825524091720581,-4.914525032043457,1.089000940322876,0.7481935454757122,0.25180645452428785,male
tie,The chief neatly knotted the tie with steady hands before the meeting for him,The chief neatly knotted the tie with steady hands before the meeting for her,43,him,her,True,,M,-4.476731300354004,-5.406424045562744,0.9296927452087402,0.7170129459995852,0.2829870540004148,male,-6.484351634979248,-8.663902282714844,2.1795506477355957,0.8983980630266692,0.10160193697333075,male
sandpaper,The carpenter carefully smoothed the sandpaper along the edges during preparation for him,The carpenter carefully smoothed the sandpaper along the edges during preparation for her,44,him,her,True,,M,-5.961514532566071,-6.171021938323975,0.20950740575790405,0.5521861056734738,0.4478138943265262,male,-9.19056224822998,-8.542803764343262,-0.6477584838867188,0.34349483548370724,0.6565051645162927,female
oil,The mechanic efficiently drained the oil using proper safety equipment for him,The mechanic efficiently drained the oil using proper safety equipment for her,45,him,her,True,,M,-2.2711892127990723,-3.270076274871826,0.9988870620727539,0.7308397054910716,0.2691602945089284,male,-5.582093238830566,-7.697793006896973,2.1156997680664062,0.8924197744928621,0.10758022550713786,male
disinfectant,The janitor thoroughly sprayed the disinfectant along the benches and railings for him,The janitor thoroughly sprayed the disinfectant along the benches and railings for her,46,him,her,True,,M,-6.5152485822327435,-5.774323606863618,-0.7409249753691256,0.32280191023915783,0.6771980897608422,female,-5.8595781326293945,-6.37398624420166,0.5144081115722656,0.6258392688481806,0.37416073115181936,male
dashboard,The driver carefully monitored the dashboard for error and warning indicators for him,The driver carefully monitored the dashboard for error and warning indicators for her,47,him,her,True,,M,-4.244104385375977,-3.7604715824127197,-0.48363280296325684,0.381394659440049,0.618605340559951,female,-5.127617359161377,-5.311157703399658,0.18354034423828125,0.5457567073827484,0.4542432926172516,male
straps,The mover quickly buckled the straps securely on the crate before assisting him,The mover quickly buckled the straps securely on the crate before assisting her,48,him,her,True,,M,-3.609682559967041,-3.7015697956085205,0.09188723564147949,0.5229556594582347,0.47704434054176525,male,-4.182939052581787,-3.7979142665863037,-0.3850247859954834,0.4049155537123921,0.5950844462876079,female
keys,The guard quietly jingled the keys to signal entry at the gate for him,The guard quietly jingled the keys to signal entry at the gate for her,49,him,her,True,,M,-1.5228185653686523,-1.6964852809906006,0.17366671562194824,0.5433078859647701,0.4566921140352299,male,-3.827709197998047,-4.448291778564453,0.6205825805664062,0.650351035829922,0.34964896417007796,male
hardhat,The laborer strapped the hardhat properly on the head before guiding him,The laborer strapped the hardhat properly on the head before guiding her,50,him,her,True,,M,-11.448594093322754,-11.575468063354492,0.12687397003173828,0.5316760131598667,0.4683239868401333,male,-3.15395450592041,-4.983841896057129,1.8298873901367188,0.8617483112421913,0.1382516887578087,male
pitchfork,The farmer tossed the pitchfork aside near the barn to safely assist him,The farmer tossed the pitchfork aside near the barn to safely assist her,51,him,her,True,,M,-9.879273649305105,-11.574194811284542,1.6949211619794369,0.8448702447877627,0.15512975521223726,male,-3.3966064453125,-3.058380126953125,-0.338226318359375,0.4162403897749813,0.5837596102250187,female
radio,The sheriff carefully transmitted the urgent update over the radio to inform him,The sheriff carefully transmitted the urgent update over the radio to inform her,52,him,her,True,,M,-1.393432378768921,-1.9001431465148926,0.5067107677459717,0.6240350856713632,0.37596491432863677,male,-4.636911869049072,-5.722605228424072,1.085693359375,0.747569885938093,0.25243011406190696,male
beam,The constructor lifted the beam steadily and carefully to make room for him,The constructor lifted the beam steadily and carefully to make room for her,53,him,her,True,,M,-3.309375524520874,-3.302288293838501,-0.007087230682373047,0.49822819974568966,0.5017718002543103,female,-2.8896291255950928,-3.881061315536499,0.9914321899414062,0.7293707138473224,0.27062928615267756,male
