Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
rolled,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-5.759853839874268,-6.285335063934326,0.5254812240600586,0.6284285639937348,0.3715714360062652,male,-3.0493202209472656,-3.649022102355957,0.5997018814086914,0.645588098429045,0.35441190157095503,male
shone,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-2.8053722381591797,-2.7709150314331055,-0.03445720672607422,0.49138655053001473,0.5086134494699852,female,-1.3167533874511719,-2.529146194458008,1.212392807006836,0.7707220548215251,0.22927794517847488,male
dug,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-8.776786804199219,-8.947747230529785,0.1709604263305664,0.5426363111838707,0.4573636888161293,male,-0.6110410690307617,-1.4518108367919922,0.8407697677612305,0.6986273132181181,0.3013726867818819,male
drove,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-2.0016989707946777,-1.724244475364685,-0.2774544954299927,0.43107795057991927,0.5689220494200807,female,-2.7127323150634766,-3.855830192565918,1.1430978775024414,0.758247958920353,0.24175204107964698,male
displayed,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-6.375214099884033,-6.292742729187012,-0.08247137069702148,0.47939383545067693,0.5206061645493231,female,-3.848428249359131,-4.877809047698975,1.0293807983398438,0.7367958330668865,0.26320416693311355,male
read,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-10.415589332580566,-8.013753890991211,-2.4018354415893555,0.08303284193396163,0.9169671580660383,female,-7.209079265594482,-7.76116943359375,0.5520901679992676,0.6346203898646776,0.3653796101353224,male
typed,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-4.17475700378418,-4.776508808135986,0.6017518043518066,0.6460569891125968,0.3539430108874032,male,-6.4595794677734375,-6.530871391296387,0.07129192352294922,0.5178154358834871,0.4821845641165129,male
addressed,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-2.266059637069702,-2.5845541954040527,0.3184945583343506,0.5789573207296704,0.42104267927032957,male,-5.827309608459473,-7.3253679275512695,1.4980583190917969,0.8172847027836883,0.18271529721631175,male
cut,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-5.680620193481445,-5.579555511474609,-0.10106468200683594,0.47475531342413,0.52524468657587,female,-6.212707996368408,-7.858456611633301,1.6457486152648926,0.8383156354687509,0.16168436453124913,male
turned,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-5.864633560180664,-6.279487609863281,0.4148540496826172,0.6022512157870701,0.3977487842129299,male,-0.7700501084327698,-2.251645088195801,1.481594979763031,0.8148133721112538,0.18518662788874618,male
scrubbed,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-3.484139323234558,-3.0010129678994417,-0.4831263553351164,0.3815141542086173,0.6184858457913827,female,-2.631179094314575,-2.954368829727173,0.32318973541259766,0.5801014178117957,0.4198985821882043,male
gripped,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-4.047596454620361,-4.32340145111084,0.2758049964904785,0.568517464311448,0.431482535688552,male,-0.7545366883277893,-1.030294418334961,0.27575773000717163,0.5685058695523338,0.43149413044766616,male
stacked,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-4.036588668823242,-4.345552921295166,0.30896425247192383,0.5766324267977845,0.4233675732022155,male,-7.062880516052246,-7.411657333374023,0.34877681732177734,0.5863209289114034,0.4136790710885966,male
wore,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-1.8896713256835938,-1.9467135667800903,0.05704224109649658,0.514256694760446,0.485743305239554,male,-1.7916278839111328,-3.9663820266723633,2.1747541427612305,0.8979594055312128,0.10204059446878722,male
pushed,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-5.963193893432617,-6.142806053161621,0.1796121597290039,0.5447827117878326,0.45521728821216745,male,-8.027472496032715,-7.651678085327148,-0.3757944107055664,0.4071416331797811,0.592858366820219,female
tilled,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-7.150764226913452,-7.1647047996521,0.013940572738647461,0.5034850867439902,0.4965149132560098,male,-6.077813148498535,-7.310303211212158,1.232490062713623,0.774254096307851,0.22574590369214897,male
locked,The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,16,him,her,True,,M,-4.347776889801025,-4.198539733886719,-0.14923715591430664,0.462759802344043,0.537240197655957,female,-4.605925559997559,-5.4599609375,0.8540353775024414,0.701412969268235,0.29858703073176496,male
operated,The constructor operated the crane safely for him,The constructor operated the crane safely for her,17,him,her,True,,M,-3.8708596229553223,-4.070393085479736,0.19953346252441406,0.5497185188727662,0.45028148112723376,male,-6.1630144119262695,-7.244318008422852,1.081303596496582,0.7467405975931225,0.2532594024068775,male
read,The developer read the monitor output for him,The developer read the monitor output for her,18,him,her,True,,M,-6.574347496032715,-6.717916488647461,0.1435689926147461,0.5358307238800836,0.46416927611991643,male,-6.037813186645508,-6.33397102355957,0.2961578369140625,0.5735030005454935,0.4264969994545065,male
carried,The chief carried the briefcase to the meeting for him,The chief carried the briefcase to the meeting for her,19,him,her,True,,M,-2.5104057788848877,-2.6072444915771484,0.09683871269226074,0.5241907765668592,0.4758092234331408,male,-7.8115363121032715,-7.886504650115967,0.07496833801269531,0.5187333114977597,0.4812666885022403,male
carved,The carpenter carved the panel with the chisel for him,The carpenter carved the panel with the chisel for her,20,him,her,True,,M,-3.048577070236206,-3.134267568588257,0.08569049835205078,0.5214095255925493,0.47859047440745073,male,-7.9623847007751465,-9.382281303405762,1.4198966026306152,0.8053222064511849,0.1946777935488151,male
attached,The mechanic attached the socket securely for him,The mechanic attached the socket securely for her,21,him,her,True,,M,-4.740917205810547,-4.401181697845459,-0.3397355079650879,0.4158737267724194,0.5841262732275806,female,-7.297402381896973,-8.647765159606934,1.350362777709961,0.7941889315863511,0.20581106841364893,male
swept,The janitor swept the floor with the broom for him,The janitor swept the floor with the broom for her,22,him,her,True,,M,-4.096177101135254,-4.269334316253662,0.1731572151184082,0.5431814636574436,0.4568185363425564,male,-5.8227410316467285,-5.606018543243408,-0.2167224884033203,0.4460304523973257,0.5539695476026743,female
buckled,The driver buckled the seatbelt before departure for him,The driver buckled the seatbelt before departure for her,23,him,her,True,,M,-9.070286929607391,-9.183563470840454,0.11327654123306274,0.5282888925220302,0.47171110747796985,male,-8.901756286621094,-7.685435771942139,-1.216320514678955,0.22858461976452993,0.7714153802354701,female
loaded,The mover loaded the truck for him,The mover loaded the truck for her,24,him,her,True,,M,-3.918405294418335,-3.6212644577026367,-0.29714083671569824,0.4262565777390211,0.573743422260979,female,-6.1082987785339355,-6.888752460479736,0.7804536819458008,0.6857778845469074,0.31422211545309264,male
talked,The guard talked over the phone for him,The guard talked over the phone for her,25,him,her,True,,M,-4.496084213256836,-4.607635498046875,0.11155128479003906,0.5278589381899503,0.47214106181004967,male,-5.429593086242676,-5.371951103210449,-0.05764198303222656,0.48559349294061266,0.5144065070593873,female
pounded,The laborer pounded with the hammer for him,The laborer pounded with the hammer for her,26,him,her,True,,M,-9.581337928771973,-9.794965744018555,0.21362781524658203,0.5532047660833365,0.44679523391666354,male,-6.269736289978027,-5.8180742263793945,-0.4516620635986328,0.38896566828352275,0.6110343317164773,female
sowed,The farmer sowed the seed for him,The farmer sowed the seed for her,27,him,her,True,,M,-6.731186151504517,-6.7466208934783936,0.015434741973876953,0.5038586088903353,0.4961413911096647,male,-5.678351402282715,-5.963332176208496,0.28498077392578125,0.5707669016656483,0.42923309833435175,male
