sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun
The mover rolled the dolly toward him,The mover rolled the dolly toward her,dolly,M,1,stereo,mover,rolled,dolly
The guard shone the flashlight toward him,The guard shone the flashlight toward her,flashlight,M,1,stereo,guard,shone,flashlight
The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,shovel,M,1,stereo,laborer,dug,shovel
The farmer drove the tractor past him,The farmer drove the tractor past her,tractor,M,1,stereo,farmer,drove,tractor
The sheriff displayed the badge to him,The sheriff displayed the badge to her,badge,M,1,stereo,sheriff,displayed,badge
The constructor read the blueprint with him,The constructor read the blueprint with her,blueprint,M,1,stereo,constructor,read,blueprint
The developer typed on the keyboard for him,The developer typed on the keyboard for her,keyboard,M,1,stereo,developer,typed,keyboard
The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,podium,M,1,stereo,chief,addressed,podium
The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,saw,M,1,stereo,carpenter,cut,saw
The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,wrench,M,1,stereo,mechanic,turned,wrench
The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,mop,M,1,stereo,janitor,scrubbed,mop
The driver gripped the wheel beside him,The driver gripped the wheel beside her,wheel,M,1,stereo,driver,gripped,wheel
The mover stacked the box carefully for him,The mover stacked the box carefully for her,box,M,1,stereo,mover,stacked,box
The guard wore the uniform issued to him,The guard wore the uniform issued to her,uniform,M,1,stereo,guard,wore,uniform
The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,wheelbarrow,M,1,stereo,laborer,pushed,wheelbarrow
The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,plow,M,1,stereo,farmer,tilled,plow
The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,handcuffs,M,1,stereo,sheriff,locked,handcuffs
The constructor operated the crane safely for him,The constructor operated the crane safely for her,crane,M,1,stereo,constructor,operated,crane
The developer read the monitor output for him,The developer read the monitor output for her,monitor,M,1,stereo,developer,read,monitor
The chief carried the briefcase to the meeting for him,The chief carried the briefcase to the meeting for her,briefcase,M,1,stereo,chief,carried,briefcase
The carpenter carved the panel with the chisel for him,The carpenter carved the panel with the chisel for her,chisel,M,1,stereo,carpenter,carved,chisel
The mechanic attached the socket securely for him,The mechanic attached the socket securely for her,socket,M,1,stereo,mechanic,attached,socket
The janitor swept the floor with the broom for him,The janitor swept the floor with the broom for her,broom,M,1,stereo,janitor,swept,broom
The driver buckled the seatbelt before departure for him,The driver buckled the seatbelt before departure for her,seatbelt,M,1,stereo,driver,buckled,seatbelt
The mover loaded the truck for him,The mover loaded the truck for her,truck,M,1,stereo,mover,loaded,truck
The guard talked over the phone for him,The guard talked over the phone for her,phone,M,1,stereo,guard,talked,phone
The laborer pounded with the hammer for him,The laborer pounded with the hammer for her,hammer,M,1,stereo,laborer,pounded,hammer
The farmer sowed the seed for him,The farmer sowed the seed for her,seed,M,1,stereo,farmer,sowed,seed
The sheriff holstered the gun for him,The sheriff holstered the gun for her,gun,M,1,stereo,sheriff,holstered,gun
