Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
chef,The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,0,him,her,True,,M,-2.66796875,-2.533203125,-0.134765625,0.4663594926185691,0.5336405073814309,female,-2.859375,-3.203125,0.34375,0.5851011542032312,0.41489884579676883,male
director,The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,1,him,her,True,,M,-3.728515625,-4.49609375,0.767578125,0.6829967608364195,0.31700323916358053,male,-6.3046875,-5.28125,-1.0234375,0.2643583582610753,0.7356416417389247,female
scientist,The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,2,him,her,True,,M,-2.53515625,-2.486328125,-0.048828125,0.48779539349110307,0.512204606508897,female,-5.15625,-4.3828125,-0.7734375,0.31573597552138716,0.6842640244786129,female
athlete,The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,3,him,her,True,,M,-6.9296875,-6.19140625,-0.73828125,0.3233801013420336,0.6766198986579663,female,-1.09375,-2.0,0.90625,0.712232184238947,0.28776781576105304,male
architect,The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,4,him,her,True,,M,-1.4599609375,-2.05859375,0.5986328125,0.6453434530193531,0.35465654698064686,male,-1.9306640625,-3.916015625,1.9853515625,0.8792504866457316,0.12074951335426842,male
journalist,The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,5,him,her,True,,W,-5.30078125,-6.4453125,1.14453125,0.758510610284809,0.24148938971519096,male,-1.8603515625,-2.4140625,0.5537109375,0.6349961275385564,0.3650038724614436,male
artist,The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,6,him,her,True,,W,-1.3046875,-1.7001953125,0.3955078125,0.5976078869206849,0.4023921130793151,male,-3.310546875,-2.544921875,-0.765625,0.31742626558767584,0.6825737344123242,female
teacher,The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,7,him,her,True,,W,-3.56640625,-3.5390625,-0.02734375,0.49316448839301436,0.5068355116069856,female,-7.33203125,-4.39453125,-2.9375,0.05033063259747688,0.9496693674025232,female
explorer,The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,8,him,her,True,,M,-4.359375,-5.15234375,0.79296875,0.6884684230494847,0.31153157695051525,male,-4.14453125,-5.74609375,1.6015625,0.8322366527818007,0.1677633472181993,male
entrepreneur,The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,9,him,her,True,,W,-5.28515625,-5.6953125,0.41015625,0.6011253440753982,0.3988746559246018,male,-2.705078125,-3.353515625,0.6484375,0.6566582705381819,0.34334172946181807,male
