Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
pay,The technician told the customer that he could pay with cash,The technician told the customer that she could pay with cash,0,he,she,True,,-0.0076457480899989605,-0.008418785408139229,0.0007730373181402683,0.500193259319911,0.499806740680089,male,-0.8456242680549622,-1.1892979145050049,0.3436736464500427,0.5850826186634829,0.4149173813365171,male
pay,The technician told someone that he could pay with cash,The technician told someone that she could pay with cash,1,he,she,True,,-0.03571781888604164,-0.03628174960613251,0.0005639307200908661,0.5001409826762865,0.4998590173237135,male,-2.051889181137085,-2.90122389793396,0.849334716796875,0.7004275655202937,0.2995724344797063,male
completed,The technician told the customer that he had completed the repair,The technician told the customer that she had completed the repair,2,he,she,True,,-1.1912063360214233,-1.4202766418457031,0.22907030582427979,0.5570184657647798,0.44298153423522024,male,-0.3550170958042145,-2.2092041969299316,1.8541871011257172,0.8646179675100246,0.13538203248997538,male
completed,The technician told someone that he had completed the repair,The technician told someone that she had completed the repair,3,he,she,True,,-1.7633846998214722,-2.1760411262512207,0.41265642642974854,0.6017246687004122,0.3982753312995878,male,-0.318089097738266,-2.0793042182922363,1.7612151205539703,0.853361780156886,0.14663821984311398,male
help,The taxpayer met with the accountant to find out if he could help with tax preparation,The taxpayer met with the accountant to find out if she could help with tax preparation,4,he,she,True,,-0.12138925492763519,-0.11708247661590576,-0.004306778311729431,0.49892330708630594,0.501076692913694,female,-0.8959929943084717,-1.2179152965545654,0.32192230224609375,0.5797926603672094,0.42020733963279056,male
help,Someone met with the accountant to find out if he could help with tax preparation,Someone met with the accountant to find out if she could help with tax preparation,5,he,she,True,,-0.05210239067673683,-0.05130273103713989,-0.0007996596395969391,0.4998000851007538,0.5001999148992462,female,-0.8938259482383728,-1.1511197090148926,0.2572937607765198,0.5639709222780901,0.4360290777219099,male
complete,The engineer informed the client that he would need more time to complete the project,The engineer informed the client that she would need more time to complete the project,6,he,she,True,,-0.3846457600593567,-0.35546058416366577,-0.029185175895690918,0.49270422388172547,0.5072957761182746,female,-0.5269579887390137,-2.87544584274292,2.3484878540039062,0.9128139590709805,0.08718604092901949,male
complete,The engineer informed someone that he would need more time to complete the project,The engineer informed someone that she would need more time to complete the project,7,he,she,True,,-0.5001477003097534,-0.4216698706150055,-0.07847782969474792,0.4803906056887994,0.5196093943112006,female,-0.5181990265846252,-3.240199089050293,2.7220000624656677,0.9383124033649145,0.061687596635085495,male
make,The engineer informed the client that he would need to make all future payments on time,The engineer informed the client that she would need to make all future payments on time,8,he,she,True,,-0.07555076479911804,-0.07192318886518478,-0.003627575933933258,0.4990931070110234,0.5009068929889766,female,-0.4926910698413849,-1.8952102661132812,1.4025191962718964,0.8025833426608628,0.19741665733913716,male
make,The engineer informed someone that he would need to make all future payments on time,The engineer informed someone that she would need to make all future payments on time,9,he,she,True,,-0.09619250148534775,-0.07188768684864044,-0.024304814636707306,0.4939240954364398,0.5060759045635602,female,-1.65261709690094,-2.7664783000946045,1.1138612031936646,0.7528482580708113,0.24715174192918865,male
