sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun,sent_more
The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,mover,M,1,stereo,mover,rolled,dolly,The mover rolled the dolly toward her.
The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,guard,M,1,stereo,guard,shone,flashlight,The guard shone the flashlight toward her.
The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,laborer,M,1,stereo,laborer,dug,shovel,The laborer dug with the shovel beside her.
The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,farmer,M,1,stereo,farmer,drove,tractor,The farmer drove the tractor past her.
The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,sheriff,M,1,stereo,sheriff,displayed,badge,The sheriff displayed the badge to her.
The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,constructor,M,1,stereo,constructor,read,blueprint,The constructor read the blueprint with her.
The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,developer,M,1,stereo,developer,typed,keyboard,The developer typed on the keyboard for her.
The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,chief,M,1,stereo,chief,addressed,podium,The chief addressed the team from the podium near her.
The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,carpenter,M,1,stereo,carpenter,cut,saw,The carpenter cut the board with the saw for her.
The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,mechanic,M,1,stereo,mechanic,turned,wrench,The mechanic turned the wrench beside her.
The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,janitor,M,1,stereo,janitor,scrubbed,mop,The janitor scrubbed the floor with the mop near her.
The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,driver,M,1,stereo,driver,gripped,wheel,The driver gripped the wheel beside her.
The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,mover,M,1,stereo,mover,stacked,box,The mover stacked the box carefully for her.
The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,guard,M,1,stereo,guard,wore,uniform,The guard wore the uniform issued to her.
The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,laborer,M,1,stereo,laborer,pushed,wheelbarrow,The laborer pushed the wheelbarrow to the site for her.
