Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
completed,4,0.05616750568151474,0.013526444201028382,8.304844177340334,0.0036581361774557543,0.05121390648438056,4.152422088670167,False,male
need,4,-0.10972089692950249,0.042030041372487906,-5.221070136815224,0.013665231616046396,0.09565662131232477,-2.610535068407612,False,female
needed,11,-0.3299122534014962,0.46871799388760227,-2.3344423993583674,0.0417330532657953,0.15187547580514185,-0.703860866669882,False,female
fix,4,0.06521844863891602,0.04111910898381961,3.172172269811562,0.05039637353516088,0.15187547580514185,1.5860861349057809,False,male
was,24,0.0068554895697161555,0.016556435315123203,2.028510493129883,0.05424124135897923,0.15187547580514185,0.4140679705041412,False,male
had,10,0.4283707946538925,0.8280769881442381,1.63587131824345,0.13629512318523665,0.298189404559183,0.5173079324591459,False,male
get,5,-0.08601512610912324,0.10784853950123031,-1.7833868679419846,0.1490947022795915,0.298189404559183,-0.7975548533797436,False,female
could,8,-0.07850137259811163,0.16397385382762986,-1.3540903406448628,0.21779253909286483,0.348751825612089,-0.47874323110459227,False,female
would,4,0.033029538579285145,0.04326015823679355,1.527018851780016,0.22419760217920007,0.348751825612089,0.763509425890008,False,male
make,4,0.039529949426651,0.08089010165406228,0.9773742057021093,0.4004641417783252,0.5606497984896552,0.48868710285105466,False,male
made,4,0.09499558806419373,0.28110519185147637,0.6758721704036347,0.5475592709339295,0.696893617552274,0.33793608520181734,False,male
felt,4,-0.010169707238674164,0.05380228522175684,-0.3780399734605208,0.7305645839097642,0.8465225862146021,-0.1890199867302604,False,female
cannot,4,0.021608859300613403,0.1564775975107835,0.27619109245493434,0.8003352388377881,0.8465225862146021,0.13809554622746717,False,male
wanted,7,-0.0015431089060647146,0.02020206559041043,-0.20209232531519666,0.8465225862146021,0.8465225862146021,-0.07638371923696761,False,female
