Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
mover,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-3.400986969470978,-4.560283780097961,1.1592968106269836,0.7612049181892394,0.2387950818107606,male,-2.6866071224212646,-3.3621747493743896,0.675567626953125,0.6627487208084868,0.3372512791915132,male
guard,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-3.6696200370788574,-4.037749290466309,0.36812925338745117,0.5910068628739548,0.40899313712604524,male,-1.5774785280227661,-2.1057262420654297,0.5282477140426636,0.6290743264422992,0.3709256735577008,male
laborer,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-0.11264102160930634,-0.20771947503089905,0.09507845342159271,0.5237517232593593,0.47624827674064074,male,-1.5379033088684082,-3.579451084136963,2.0415477752685547,0.8850907784312547,0.11490922156874528,male
farmer,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-2.167776107788086,-2.5638930797576904,0.3961169719696045,0.5977543644294198,0.40224563557058024,male,-3.7313122749328613,-4.655079364776611,0.92376708984375,0.7158090540236349,0.2841909459763651,male
sheriff,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-5.458105564117432,-5.554741859436035,0.09663629531860352,0.5241402904297711,0.47585970957022894,male,-2.4546854496002197,-3.492424249649048,1.0377388000488281,0.7384134704467865,0.2615865295532135,male
constructor,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-9.360832214355469,-9.563015937805176,0.20218372344970703,0.5503744460281206,0.4496255539718794,male,-11.46593189239502,-8.975079536437988,-2.4908523559570312,0.07650195716696673,0.9234980428330333,female
developer,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-9.164931297302246,-9.783729553222656,0.6187982559204102,0.6499451813284385,0.3500548186715615,male,-4.421794414520264,-4.674924373626709,0.2531299591064453,0.5629467399745002,0.4370532600254998,male
chief,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-7.21416711807251,-8.1357421875,0.9215750694274902,0.7153629282225232,0.28463707177747677,male,-4.575070381164551,-5.483996391296387,0.9089260101318359,0.7127803409407201,0.28721965905927993,male
carpenter,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-0.00777239550370723,-0.0036674030125141144,-0.004104992491193116,0.49897375331830507,0.5010262466816949,female,-4.47126579284668,-6.309664726257324,1.8383989334106445,0.8627592420448372,0.13724075795516277,male
mechanic,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-3.705076217651367,-4.630112171173096,0.9250359535217285,0.7160671037630055,0.28393289623699447,male,-1.556366205215454,-2.972174882888794,1.4158086776733398,0.8046805082886052,0.19531949171139484,male
janitor,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-0.03073848318308592,-0.0693521723151207,0.03861368913203478,0.5096522230104369,0.4903477769895631,male,-1.887607216835022,-4.038955211639404,2.1513479948043823,0.8957946747308293,0.1042053252691707,male
driver,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-1.8446381092071533,-2.32318115234375,0.4785430431365967,0.6174037766517874,0.38259622334821264,male,-1.6878817081451416,-2.5734035968780518,0.8855218887329102,0.7079651838815093,0.2920348161184907,male
mover,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-2.767274796962738,-2.6824980974197388,-0.08477669954299927,0.4788185096991908,0.5211814903008092,female,-4.349360942840576,-4.8653483390808105,0.5159873962402344,0.6262090076614542,0.37379099233854585,male
