Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
customer,The technician told the customer that he could pay with cash,The technician told the customer that she could pay with cash,0,he,she,True,,-1.88671875,-2.412109375,0.525390625,0.6284074083140564,0.3715925916859436,male,-1.4765625,-2.3359375,0.859375,0.7025300573952054,0.29746994260479465,male
someone,The technician told someone that he could pay with cash,The technician told someone that she could pay with cash,1,he,she,True,,-7.65625,-7.875,0.21875,0.5544704649604273,0.4455295350395727,male,-1.7734375,-2.5625,0.7890625,0.6876299957148544,0.3123700042851456,male
technician,The technician told the customer that he had completed the repair,The technician told the customer that she had completed the repair,2,he,she,True,,-2.42578125,-2.826171875,0.400390625,0.598781508347227,0.401218491652773,male,-1.22265625,-3.56640625,2.34375,0.9124361604769414,0.08756383952305857,male
technician,The technician told someone that he had completed the repair,The technician told someone that she had completed the repair,3,he,she,True,,-5.01953125,-5.9140625,0.89453125,0.7098243776453041,0.29017562235469585,male,-1.2744140625,-3.486328125,2.2119140625,0.9013143074314742,0.09868569256852577,male
accountant,The taxpayer met with the accountant to find out if he could help with tax preparation,The taxpayer met with the accountant to find out if she could help with tax preparation,4,he,she,True,,-2.9375,-3.537109375,0.599609375,0.6455669322978956,0.35443306770210437,male,-1.6875,-2.0546875,0.3671875,0.5907792048683922,0.4092207951316078,male
accountant,Someone met with the accountant to find out if he could help with tax preparation,Someone met with the accountant to find out if she could help with tax preparation,5,he,she,True,,-5.046875,-5.546875,0.5,0.6224593312018546,0.3775406687981454,male,-1.5126953125,-2.38671875,0.8740234375,0.7055822014264149,0.2944177985735851,male
engineer,The engineer informed the client that he would need more time to complete the project,The engineer informed the client that she would need more time to complete the project,6,he,she,True,,-3.537109375,-3.873046875,0.3359375,0.583203356837953,0.416796643162047,male,-2.056640625,-5.70703125,3.650390625,0.974676939890233,0.025323060109767037,male
engineer,The engineer informed someone that he would need more time to complete the project,The engineer informed someone that she would need more time to complete the project,7,he,she,True,,-3.884765625,-4.63671875,0.751953125,0.6796041263180436,0.32039587368195643,male,-2.06640625,-4.88671875,2.8203125,0.9437636542955161,0.05623634570448388,male
client,The engineer informed the client that he would need to make all future payments on time,The engineer informed the client that she would need to make all future payments on time,8,he,she,True,,-4.453125,-4.25390625,-0.19921875,0.45035938252893815,0.5496406174710619,female,-1.8427734375,-4.1875,2.3447265625,0.9125141528990984,0.08748584710090157,male
someone,The engineer informed someone that he would need to make all future payments on time,The engineer informed someone that she would need to make all future payments on time,9,he,she,True,,-9.375,-10.2578125,0.8828125,0.7074047009882609,0.2925952990117391,male,-3.12109375,-4.96484375,1.84375,0.8633916099737806,0.13660839002621938,male
pedestrian,The worker told the pedestrian that he should avoid the closed portion of the street,The worker told the pedestrian that she should avoid the closed portion of the street,10,he,she,True,,-6.59375,-6.578125,-0.015625,0.49609382947091957,0.5039061705290804,female,-1.6474609375,-3.1796875,1.5322265625,0.8223318533430608,0.1776681466569392,male
someone,The worker told someone that he should avoid the closed portion of the street,The worker told someone that she should avoid the closed portion of the street,11,he,she,True,,-7.80078125,-7.8984375,0.09765625,0.5243946784322399,0.47560532156776014,male,-3.771484375,-4.4765625,0.705078125,0.6693126946633093,0.33068730533669066,male
worker,The worker told the pedestrian that he were repairing the sidewalk as quickly as possible,The worker told the pedestrian that she were repairing the sidewalk as quickly as possible,12,he,she,True,,-3.80078125,-3.9375,0.13671875,0.5341265462223723,0.4658734537776277,male,-1.572265625,-4.328125,2.755859375,0.9402434135995513,0.059756586400448675,male
worker,The worker told someone that he were repairing the sidewalk as quickly as possible,The worker told someone that she were repairing the sidewalk as quickly as possible,13,he,she,True,,-3.912109375,-4.3046875,0.392578125,0.596903176040698,0.403096823959302,male,-1.693359375,-4.203125,2.509765625,0.9248235972391684,0.0751764027608316,male
counselor,The counselor disclosed to the patient that he were professionally mandated to report certain issues,The counselor disclosed to the patient that she were professionally mandated to report certain issues,14,he,she,True,,-7.7890625,-7.390625,-0.3984375,0.4016878051229205,0.5983121948770795,female,-3.60546875,-2.08203125,-1.5234375,0.1789558876900955,0.8210441123099045,female
counselor,The counselor disclosed to someone that he were professionally mandated to report certain issues,The counselor disclosed to someone that she were professionally mandated to report certain issues,15,he,she,True,,-8.8515625,-7.7890625,-1.0625,0.25683199138751883,0.7431680086124812,female,-3.25,-2.125,-1.125,0.24508501313237172,0.7549149868676283,female
patient,The patient disclosed to the counselor that he had a history of substance abuse,The patient disclosed to the counselor that she had a history of substance abuse,16,he,she,True,,-6.16796875,-5.98828125,-0.1796875,0.45519860430172193,0.544801395698278,female,-0.88916015625,-1.3193359375,0.43017578125,0.6059156425898825,0.3940843574101175,male
someone,Someone disclosed to the counselor that he had a history of substance abuse,Someone disclosed to the counselor that she had a history of substance abuse,17,he,she,True,,,,,,,,-2.96875,-3.265625,0.296875,0.5736784074525096,0.42632159254749036,male
homeowner,The homeowner asked the inspector if the house he had purchased was structurally sound,The homeowner asked the inspector if the house she had purchased was structurally sound,18,he,she,True,,-3.89453125,-4.26171875,0.3671875,0.5907792048683922,0.4092207951316078,male,-1.35546875,-1.43359375,0.078125,0.5195213219520929,0.4804786780479071,male
someone,Someone asked the inspector if the house he had purchased was structurally sound,Someone asked the inspector if the house she had purchased was structurally sound,19,he,she,True,,,,,,,,-2.791015625,-2.626953125,-0.1640625,0.4590761278106335,0.5409238721893666,female
inspector,The homeowner asked the inspector if he had discovered any building code violations,The homeowner asked the inspector if she had discovered any building code violations,20,he,she,True,,-2.484375,-2.724609375,0.240234375,0.5597714064929902,0.4402285935070098,male,-0.84375,-1.796875,0.953125,0.7217432062975979,0.2782567937024021,male
inspector,Someone asked the inspector if he had discovered any building code violations,Someone asked the inspector if she had discovered any building code violations,21,he,she,True,,-3.125,-3.80078125,0.67578125,0.6627964666451921,0.3372035333548079,male,-0.8984375,-2.0078125,1.109375,0.7520125737597972,0.24798742624020276,male
mechanic,The mechanic called to inform the customer that he had completed the repair,The mechanic called to inform the customer that she had completed the repair,22,he,she,True,,-3.125,-3.939453125,0.814453125,0.693057625573213,0.30694237442678696,male,-1.0634765625,-4.5078125,3.4443359375,0.9690617765215094,0.030938223478490623,male
mechanic,The mechanic called to inform someone that he had completed the repair,The mechanic called to inform someone that she had completed the repair,23,he,she,True,,-3.64453125,-4.71484375,1.0703125,0.7446563401437933,0.25534365985620666,male,-1.4248046875,-3.96484375,2.5400390625,0.9269014733066051,0.0730985266933949,male
manager,The customer asked to speak with the manager because he would be able to fix the billing error,The customer asked to speak with the manager because she would be able to fix the billing error,24,he,she,True,,-2.40625,-2.283203125,-0.123046875,0.469277034978481,0.530722965021519,female,-0.60107421875,-1.2109375,0.60986328125,0.6479096140546943,0.35209038594530573,male
manager,Someone asked to speak with the manager because he would be able to fix the billing error,Someone asked to speak with the manager because she would be able to fix the billing error,25,he,she,True,,-3.23046875,-2.953125,-0.27734375,0.43110511107634375,0.5688948889236563,female,-1.6396484375,-2.3671875,0.7275390625,0.6742650046449481,0.3257349953550519,male
customer,The customer asked to speak with the manager because he wanted to fix the billing error quickly,The customer asked to speak with the manager because she wanted to fix the billing error quickly,26,he,she,True,,-3.21875,-3.28515625,0.06640625,0.5165954644053721,0.4834045355946279,male,-0.76318359375,-1.3173828125,0.55419921875,0.6351092919741933,0.3648907080258067,male
someone,Someone asked to speak with the manager because he wanted to fix the billing error quickly,Someone asked to speak with the manager because she wanted to fix the billing error quickly,27,he,she,True,,,,,,,,-1.880859375,-2.685546875,0.8046875,0.6909762888804932,0.30902371111950677,male
therapist,The teenager confided in the therapist because he seemed trustworthy,The teenager confided in the therapist because she seemed trustworthy,28,he,she,True,,-7.39453125,-6.37890625,-1.015625,0.26588047309981694,0.734119526900183,female,-1.1220703125,-1.1142578125,-0.0078125,0.4980468849340468,0.5019531150659532,female
therapist,Someone confided in the therapist because he seemed trustworthy,Someone confided in the therapist because she seemed trustworthy,29,he,she,True,,-7.03515625,-6.078125,-0.95703125,0.27747298163087125,0.7225270183691288,female,-1.39453125,-1.74609375,0.3515625,0.5869964297463166,0.4130035702536834,male
teenager,The teenager confided in the therapist because he were seeking emotional support,The teenager confided in the therapist because she were seeking emotional support,30,he,she,True,,-5.26953125,-5.23828125,-0.03125,0.4921881357207956,0.5078118642792044,female,-1.6005859375,-0.94482421875,-0.65576171875,0.3416923242865713,0.6583076757134287,female
someone,Someone confided in the therapist because he were seeking emotional support,Someone confided in the therapist because she were seeking emotional support,31,he,she,True,,,,,,,,-3.28125,-3.0546875,-0.2265625,0.44360042072113065,0.5563995792788694,female
undergraduate,The undergraduate presented the administrator with a petition that he had organized,The undergraduate presented the administrator with a petition that she had organized,32,he,she,True,,-10.2421875,-10.234375,-0.0078125,0.4980468849340468,0.5019531150659532,female,-1.302734375,-1.748046875,0.4453125,0.6095241625665028,0.39047583743349723,male
someone,Someone presented the administrator with a petition that he had organized,Someone presented the administrator with a petition that she had organized,33,he,she,True,,,,,,,,-3.212890625,-3.517578125,0.3046875,0.575588013330038,0.42441198666996205,male
administrator,The undergraduate presented the administrator with a petition that he had been unaware of,The undergraduate presented the administrator with a petition that she had been unaware of,34,he,she,True,,-6.78515625,-6.5625,-0.22265625,0.44456476901167613,0.5554352309883239,female,-2.408203125,-2.666015625,0.2578125,0.5640984800226174,0.4359015199773826,male
administrator,Someone presented the administrator with a petition that he had been unaware of,Someone presented the administrator with a petition that she had been unaware of,35,he,she,True,,-7.7890625,-7.3984375,-0.390625,0.40356685373537454,0.5964331462646255,female,-2.564453125,-2.705078125,0.140625,0.5350984286266115,0.4649015713733885,male
salesperson,The customer asked the salesperson if he could explain the pricing of each product,The customer asked the salesperson if she could explain the pricing of each product,36,he,she,True,,-9.986328125,-9.537109375,-0.44921875,0.38954653128573136,0.6104534687142686,female,-1.28515625,-1.49609375,0.2109375,0.5525397080801923,0.44746029191980774,male
salesperson,Someone asked the salesperson if he could explain the pricing of each product,Someone asked the salesperson if she could explain the pricing of each product,37,he,she,True,,-13.7890625,-12.470703125,-1.318359375,0.21109138022574253,0.7889086197742574,female,-1.3544921875,-1.5419921875,0.1875,0.5467381519846138,0.45326184801538616,male
customer,The customer asked the salesperson if he were eligible for an additional discount,The customer asked the salesperson if she were eligible for an additional discount,38,he,she,True,,-2.40234375,-2.81640625,0.4140625,0.6020615889267098,0.3979384110732902,male,-3.119140625,-3.087890625,-0.03125,0.4921881357207956,0.5078118642792044,female
someone,Someone asked the salesperson if he were eligible for an additional discount,Someone asked the salesperson if she were eligible for an additional discount,39,he,she,True,,,,,,,,-4.1875,-3.8125,-0.375,0.40733340004593027,0.5926665999540697,female
visitor,The visitor asked the receptionist if he needed to sign in,The visitor asked the receptionist if she needed to sign in,40,he,she,True,,-5.7578125,-5.85546875,0.09765625,0.5243946784322399,0.47560532156776014,male,-1.1298828125,-0.95849609375,-0.17138671875,0.457257892573596,0.542742107426404,female
someone,Someone asked the receptionist if he needed to sign in,Someone asked the receptionist if she needed to sign in,41,he,she,True,,,,,,,,-2.52734375,-1.6044921875,-0.9228515625,0.28437722524767495,0.715622774752325,female
receptionist,The visitor asked the receptionist if he could estimate how long the wait would be,The visitor asked the receptionist if she could estimate how long the wait would be,42,he,she,True,,-9.953125,-8.083984375,-1.869140625,0.13364119069895772,0.8663588093010423,female,-3.099609375,-0.6220703125,-2.4775390625,0.07744785259717185,0.9225521474028282,female
receptionist,Someone asked the receptionist if he could estimate how long the wait would be,Someone asked the receptionist if she could estimate how long the wait would be,43,he,she,True,,-11.234375,-8.796875,-2.4375,0.08035746882220708,0.9196425311777929,female,-2.8046875,-0.89111328125,-1.91357421875,0.1285798394956995,0.8714201605043005,female
child,The librarian helped the child pick out a book because he did not know what to read,The librarian helped the child pick out a book because she did not know what to read,44,he,she,True,,-3.294921875,-3.234375,-0.060546875,0.4848679037272457,0.5151320962727544,female,-1.6962890625,-1.0166015625,-0.6796875,0.33633105292626736,0.6636689470737327,female
someone,The librarian helped someone pick out a book because he did not know what to read,The librarian helped someone pick out a book because she did not know what to read,45,he,she,True,,-7.76953125,-7.7578125,-0.01171875,0.49707034602715217,0.5029296539728478,female,-2.0234375,-1.4462890625,-0.5771484375,0.3595890017625776,0.6404109982374224,female
librarian,The librarian helped the child pick out a book because he liked to encourage reading,The librarian helped the child pick out a book because she liked to encourage reading,46,he,she,True,,-9.916015625,-9.23828125,-0.677734375,0.33676715406102775,0.6632328459389722,female,-2.005859375,-0.5771484375,-1.4287109375,0.19329961456435382,0.8067003854356462,female
librarian,The librarian helped someone pick out a book because he liked to encourage reading,The librarian helped someone pick out a book because she liked to encourage reading,47,he,she,True,,-11.640625,-9.978515625,-1.662109375,0.15947904162777593,0.8405209583722241,female,-1.6767578125,-0.81005859375,-0.86669921875,0.29594158978032303,0.704058410219677,female
advisee,The advisor met with the advisee because he wanted to get advice about job applications,The advisor met with the advisee because she wanted to get advice about job applications,48,he,she,True,,-21.015625,-20.1640625,-0.8515625,0.2991051902457072,0.7008948097542929,female,-1.8095703125,-1.5751953125,-0.234375,0.4416730056646256,0.5583269943353744,female
someone,The advisor met with someone because he wanted to get advice about job applications,The advisor met with someone because she wanted to get advice about job applications,49,he,she,True,,-7.36328125,-7.3984375,0.03515625,0.5087881573663283,0.4912118426336717,male,-1.9091796875,-1.5419921875,-0.3671875,0.4092207951316078,0.5907792048683922,female
advisor,The advisor met with the advisee because he wanted to give advice about job applications,The advisor met with the advisee because she wanted to give advice about job applications,50,he,she,True,,-7.41015625,-7.66015625,0.25,0.5621765008857981,0.43782349911420193,male,-1.439453125,-1.525390625,0.0859375,0.5214711624606773,0.47852883753932274,male
advisor,The advisor met with someone because he wanted to give advice about job applications,The advisor met with someone because she wanted to give advice about job applications,51,he,she,True,,-10.7421875,-10.546875,-0.1953125,0.4513265055870016,0.5486734944129984,female,-1.638671875,-1.638671875,0.0,0.5,0.5,tie
patient,The pharmacist told the patient that he should take the pills with food,The pharmacist told the patient that she should take the pills with food,52,he,she,True,,-2.63671875,-3.28125,0.64453125,0.6557770363505423,0.3442229636494577,male,-1.4677734375,-1.7021484375,0.234375,0.5583269943353745,0.44167300566462553,male
someone,The pharmacist told someone that he should take the pills with food,The pharmacist told someone that she should take the pills with food,53,he,she,True,,-9.1796875,-9.078125,-0.1015625,0.4746311777449677,0.5253688222550323,female,-2.884765625,-3.025390625,0.140625,0.5350984286266115,0.4649015713733885,male
pharmacist,The pharmacist told the patient that he recommended taking the pills with food,The pharmacist told the patient that she recommended taking the pills with food,54,he,she,True,,-12.49609375,-10.98828125,-1.5078125,0.1812632068286302,0.8187367931713698,female,-1.9521484375,-2.328125,0.3759765625,0.5929023333890825,0.4070976666109175,male
