Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
mover,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-9.17762041091919,-10.41291332244873,1.235292911529541,0.774743614761338,0.22525638523866198,male,-2.0389180183410645,-3.1251378059387207,1.0862197875976562,0.7476692148137511,0.25233078518624885,male
guard,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-4.377877235412598,-4.16771125793457,-0.21016597747802734,0.44765105054643395,0.552348949453566,female,-1.8410582542419434,-2.1294188499450684,0.288360595703125,0.571594732328564,0.42840526767143605,male
laborer,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-8.773667827248573,-9.780091941356659,1.0064241141080856,0.7323197597568182,0.2676802402431818,male,-0.11226961761713028,-4.7538862228393555,4.641616605222225,0.9904499846238248,0.00955001537617517,male
farmer,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-1.6391098499298096,-1.7960278987884521,0.15691804885864258,0.5391492133451062,0.46085078665489376,male,-2.8875250816345215,-3.8976073265075684,1.0100822448730469,0.7330362443844632,0.26696375561553676,male
sheriff,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-6.965283393859863,-7.575926303863525,0.6106429100036621,0.6480874445914325,0.3519125554085675,male,-3.3404653072357178,-3.108997106552124,-0.23146820068359375,0.4423899374985189,0.557610062501481,female
constructor,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-10.98390007019043,-10.852569580078125,-0.1313304901123047,0.46721448681630806,0.5327855131836919,female,-6.4983673095703125,-7.710910797119141,1.2125434875488281,0.7707486804289856,0.2292513195710144,male
developer,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-9.659034729003906,-9.098224639892578,-0.5608100891113281,0.3633600414565723,0.6366399585434277,female,-3.7940216064453125,-4.890083312988281,1.0960617065429688,0.7495214609726905,0.25047853902730954,male
chief,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-6.734707355499268,-6.724757194519043,-0.00995016098022461,0.49751248027813,0.50248751972187,female,-4.940595626831055,-6.499223709106445,1.5586280822753906,0.8261564035708138,0.17384359642918623,male
carpenter,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-7.362526722252369,-7.565850272774696,0.20332355052232742,0.5506564941631864,0.4493435058368136,male,-3.2819244861602783,-5.5266523361206055,2.244727849960327,0.9041947990739289,0.09580520092607114,male
mechanic,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-3.187173366546631,-3.6466236114501953,0.45945024490356445,0.6128837508494189,0.38711624915058107,male,-0.4334482252597809,-3.114898204803467,2.681449979543686,0.9359231353302624,0.06407686466973761,male
janitor,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-3.632091525476426,-5.0817729430273175,1.4496814175508916,0.8099493989941651,0.19005060100583493,male,-2.8720643520355225,-3.495168447494507,0.6231040954589844,0.6509241970184635,0.3490758029815365,male
driver,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-1.084189534187317,-1.4084148406982422,0.3242253065109253,0.5803536451716599,0.4196463548283401,male,-0.49156564474105835,-2.0414390563964844,1.549873411655426,0.8248954477942972,0.17510455220570276,male
mover,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-10.391502618789673,-10.848824977874756,0.457322359085083,0.6123787733861681,0.3876212266138319,male,-5.892534255981445,-6.728391647338867,0.8358573913574219,0.6975920180790959,0.3024079819209041,male
guard,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-3.8465003967285156,-3.9014663696289062,0.054965972900390625,0.5137380345534839,0.4862619654465161,male,-0.907034695148468,-2.4766528606414795,1.5696181654930115,0.8277291679252671,0.17227083207473293,male
laborer,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-7.73231828212738,-7.915968418121338,0.18365013599395752,0.5457839253165115,0.45421607468348846,male,-6.102587699890137,-8.214564323425293,2.1119766235351562,0.8920618050035086,0.10793819499649138,male
farmer,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-1.5338451862335205,-1.2999298572540283,-0.2339153289794922,0.4417863626385937,0.5582136373614063,female,-3.882420301437378,-6.031746864318848,2.1493265628814697,0.895605829958202,0.10439417004179796,male
