Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
mover,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-9.352952480316162,-8.897700786590576,-0.45525169372558594,0.3881128567703656,0.6118871432296344,female,-6.0936760902404785,-6.285593032836914,0.19191694259643555,0.5478325113236014,0.45216748867639855,male
guard,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-5.017257213592529,-4.772197246551514,-0.24505996704101562,0.4390397807074645,0.5609602192925355,female,-4.439530372619629,-5.151105880737305,0.7115755081176758,0.6707491960010441,0.3292508039989559,male
laborer,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-6.984798431396484,-7.133492469787598,0.14869403839111328,0.5371051687603453,0.4628948312396547,male,-3.4113268852233887,-4.478506088256836,1.0671792030334473,0.7440601082240651,0.2559398917759349,male
farmer,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-4.315467834472656,-3.9888219833374023,-0.3266458511352539,0.41905696234717094,0.5809430376528291,female,-6.694622993469238,-8.740044593811035,2.045421600341797,0.885484178811597,0.11451582118840298,male
sheriff,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-5.189370155334473,-4.9504876136779785,-0.23888254165649414,0.4405617491232134,0.5594382508767866,female,-8.517560005187988,-10.395814895629883,1.8782548904418945,0.8674105509570494,0.13258944904295056,male
constructor,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-3.3397960662841797,-3.641365647315979,0.3015695810317993,0.5748261690346987,0.42517383096530126,male,-11.55908203125,-11.258539199829102,-0.30054283142089844,0.4254247889010552,0.5745752110989448,female
developer,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-7.998687744140625,-7.767300605773926,-0.23138713836669922,0.4424099341318278,0.5575900658681723,female,-9.162879943847656,-9.064338684082031,-0.098541259765625,0.4753846005756313,0.5246153994243687,female
chief,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-6.543042182922363,-6.388939380645752,-0.15410280227661133,0.46155036012325246,0.5384496398767475,female,-7.772577285766602,-9.052861213684082,1.2802839279174805,0.7824981033603101,0.21750189663968988,male
carpenter,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-3.8460612297058105,-3.8098974227905273,-0.0361638069152832,0.49096003347115824,0.5090399665288418,female,-6.426816940307617,-8.68636703491211,2.259550094604492,0.9054711292481212,0.09452887075187877,male
mechanic,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-7.333083152770996,-7.3351969718933105,0.002113819122314453,0.5005284545838071,0.4994715454161929,male,-4.599241733551025,-5.9123687744140625,1.313127040863037,0.7880359525120703,0.21196404748792974,male
janitor,The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,10,him,her,True,,M,-0.12492305785417557,-0.14388612657785416,0.01896306872367859,0.504740625121838,0.49525937487816196,male,-4.1694464683532715,-6.7706708908081055,2.601224422454834,0.9309403398430235,0.06905966015697651,male
driver,The driver gripped the wheel beside him,The driver gripped the wheel beside her,11,him,her,True,,M,-2.234175443649292,-2.391749382019043,0.15757393836975098,0.539312176276339,0.460687823723661,male,-4.1950836181640625,-5.1455583572387695,0.950474739074707,0.721210641862927,0.27878935813707295,male
mover,The mover stacked the box carefully for him,The mover stacked the box carefully for her,12,him,her,True,,M,-9.148268222808838,-9.223562240600586,0.07529401779174805,0.518814616652685,0.481185383347315,male,-7.047056674957275,-8.16085147857666,1.1137948036193848,0.7528359030434427,0.24716409695655728,male
guard,The guard wore the uniform issued to him,The guard wore the uniform issued to her,13,him,her,True,,M,-4.477829933166504,-4.246298789978027,-0.23153114318847656,0.44237441082969925,0.5576255891703008,female,-6.976659774780273,-8.96895980834961,1.992300033569336,0.87998625747409,0.12001374252591002,male
laborer,The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,14,him,her,True,,M,-8.254741668701172,-7.719923496246338,-0.534818172454834,0.3693938286201049,0.6306061713798952,female,-8.371075630187988,-9.738059997558594,1.3669843673706055,0.7968924957929114,0.20310750420708856,male
farmer,The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,15,him,her,True,,M,-2.617112398147583,-2.5444767475128174,-0.07263565063476562,0.48184906690575574,0.5181509330942442,female,-6.887969970703125,-8.807403564453125,1.91943359375,0.8720752587141641,0.12792474128583586,male
sheriff,The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,16,him,her,True,,M,-3.4846599102020264,-3.367988348007202,-0.11667156219482422,0.47086515120125705,0.529134848798743,female,-5.193988800048828,-7.639880180358887,2.4458913803100586,0.920260475764262,0.07973952423573805,male
constructor,The constructor operated the crane safely for him,The constructor operated the crane safely for her,17,him,her,True,,M,-2.699452221393585,-3.1295713782310486,0.4301191568374634,0.6059021216253053,0.3940978783746947,male,-9.369331359863281,-10.41411304473877,1.0447816848754883,0.7397715811148464,0.2602284188851536,male
developer,The developer read the monitor output for him,The developer read the monitor output for her,18,him,her,True,,M,-7.1048502922058105,-7.110013008117676,0.005162715911865234,0.5012906761112,0.49870932388879996,male,-11.302373886108398,-10.283440589904785,-1.0189332962036133,0.265235233574748,0.734764766425252,female
chief,The chief carried the briefcase to the meeting for him,The chief carried the briefcase to the meeting for her,19,him,her,True,,M,-5.869399547576904,-5.867547988891602,-0.0018515586853027344,0.4995371104609168,0.5004628895390832,female,-7.683659553527832,-8.733748435974121,1.050088882446289,0.740791966686213,0.25920803331378695,male
carpenter,The carpenter carved the panel with the chisel for him,The carpenter carved the panel with the chisel for her,20,him,her,True,,M,-4.082720756530762,-4.1360626220703125,0.05334186553955078,0.5133323052734264,0.48666769472657356,male,-5.996635913848877,-6.807239055633545,0.810603141784668,0.6922380152657034,0.3077619847342966,male
mechanic,The mechanic attached the socket securely for him,The mechanic attached the socket securely for her,21,him,her,True,,M,-7.8509111404418945,-7.581179618835449,-0.2697315216064453,0.4329730072756305,0.5670269927243695,female,-8.434106826782227,-10.196280479431152,1.7621736526489258,0.8534816858818739,0.1465183141181261,male
janitor,The janitor swept the floor with the broom for him,The janitor swept the floor with the broom for her,22,him,her,True,,M,-0.06865602731704712,-0.08928006328642368,0.020624035969376564,0.5051558262407128,0.49484417375928724,male,-5.54122257232666,-6.514734268188477,0.9735116958618164,0.72581889963245,0.27418110036754995,male
driver,The driver buckled the seatbelt before departure for him,The driver buckled the seatbelt before departure for her,23,him,her,True,,M,-0.9040857553482056,-0.9112249612808228,0.0071392059326171875,0.5017847939025073,0.4982152060974927,male,-9.401954650878906,-10.119455337524414,0.7175006866455078,0.672056413984618,0.327943586015382,male
mover,The mover loaded the truck for him,The mover loaded the truck for her,24,him,her,True,,M,-7.801949977874756,-7.941481113433838,0.13953113555908203,0.5348262996269567,0.4651737003730433,male,-7.714516639709473,-8.696731567382812,0.9822149276733398,0.7275474852612944,0.2724525147387056,male
guard,The guard talked over the phone for him,The guard talked over the phone for her,25,him,her,True,,M,-5.487570762634277,-5.364233493804932,-0.1233372688293457,0.46920471126981145,0.5307952887301886,female,-6.828693389892578,-7.507084369659424,0.6783909797668457,0.6633794861995334,0.33662051380046665,male
laborer,The laborer pounded with the hammer for him,The laborer pounded with the hammer for her,26,him,her,True,,M,-9.069469451904297,-8.702407598495483,-0.3670618534088135,0.4092511716893678,0.5907488283106321,female,-6.196003437042236,-7.806643486022949,1.610640048980713,0.8335002298450207,0.1664997701549793,male
