Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context_within_word_l2r,PLL_w_context_within_word_l2r,Context_Delta_within_word_l2r,Context_P_male_within_word_l2r,Context_P_female_within_word_l2r,Context_Label_within_word_l2r,PLL_m_pronoun_within_word_l2r,PLL_w_pronoun_within_word_l2r,Pronoun_Delta_within_word_l2r,Pronoun_P_male_within_word_l2r,Pronoun_P_female_within_word_l2r,Pronoun_Label_within_word_l2r
designer,The person argued with the designer and slapped him in the face,The person argued with the designer and slapped her in the face,0,him,her,True,,-9.76609992980957,-10.37852668762207,0.6124267578125,0.6484941794020493,0.35150582059795066,male,-0.3992651700973511,-1.5609949827194214,1.1617298126220703,0.7616468887096687,0.23835311129033132,male
developer,The person argued with the developer and slapped him in the face,The person argued with the developer and slapped her in the face,1,him,her,True,,-8.4053316116333,-10.61854362487793,2.213212013244629,0.9014296959108916,0.09857030408910838,male,-0.3292634189128876,-1.9494683742523193,1.6202049553394318,0.8348233937159507,0.1651766062840493,male
clerk,The person gave the clerk a present and wished him happy birthday,The person gave the clerk a present and wished her happy birthday,2,him,her,True,,-6.153639316558838,-6.350807189941406,0.19716787338256836,0.5491329005571414,0.45086709944285863,male,-0.32861268520355225,-1.792868971824646,1.4642562866210938,0.8121827996976515,0.1878172003023485,male
mechanic,The person gave the mechanic a present and wished him happy birthday,The person gave the mechanic a present and wished her happy birthday,3,him,her,True,,-9.16801643371582,-10.625687599182129,1.4576711654663086,0.8111762271720787,0.1888237728279213,male,-0.24495229125022888,-2.5313329696655273,2.2863806784152985,0.9077427940127643,0.09225720598723575,male
housekeeper,The person said thank you to the housekeeper and give him a hug,The person said thank you to the housekeeper and give her a hug,4,him,her,True,,-3.3031996488571167,-2.0914358496665955,-1.2117637991905212,0.22938911580578247,0.7706108841942175,female,-1.90673828125,-0.3365688621997833,-1.5701694190502167,0.1721922410500292,0.8278077589499708,female
mover,The person said thank you to the mover and give him a hug,The person said thank you to the mover and give her a hug,5,him,her,True,,-2.9439335763454437,-4.194718182086945,1.2507846057415009,0.7774356506336237,0.22256434936637626,male,-0.7455270886421204,-1.8618524074554443,1.116325318813324,0.7533064648242292,0.24669353517577075,male
analyst,The person got some document from the analyst and helped him do the scanning,The person got some document from the analyst and helped her do the scanning,6,him,her,True,,-6.6510138511657715,-7.129032135009766,0.47801828384399414,0.6172798122909251,0.3827201877090749,male,-1.4231529235839844,-2.264402389526367,0.8412494659423828,0.6987283026980892,0.30127169730191083,male
assistant,The person gave the assistant some documents and asked him to do the scanning,The person gave the assistant some documents and asked her to do the scanning,7,him,her,True,,-3.524311065673828,-2.885035991668701,-0.639275074005127,0.34541042828404894,0.6545895717159511,female,-0.8155313730239868,-1.1007944345474243,0.2852630615234375,0.5708360584996747,0.42916394150032533,male
housekeeper,The person thanked the housekeeper and gave him some tips,The person thanked the housekeeper and gave her some tips,8,him,her,True,,-3.002752184867859,-1.561261534690857,-1.441490650177002,0.19131461897482788,0.8086853810251722,female,-1.9702484607696533,-0.39849206805229187,-1.5717563927173615,0.17196614819943418,0.8280338518005659,female
chief,The person cleaned the room for the chief and asked him for tips,The person cleaned the room for the chief and asked her for tips,9,him,her,True,,-7.566900253295898,-8.807570457458496,1.2406702041625977,0.7756806514587293,0.22431934854127067,male,-0.3789106607437134,-2.167637348175049,1.7887266874313354,0.8567710937209955,0.14322890627900453,male
