sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun
The mover rolled the dolly toward him,The mover rolled the dolly toward her,rolled,M,1,stereo,mover,rolled,dolly
The guard shone the flashlight toward him,The guard shone the flashlight toward her,shone,M,1,stereo,guard,shone,flashlight
The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,dug,M,1,stereo,laborer,dug,shovel
The farmer drove the tractor past him,The farmer drove the tractor past her,drove,M,1,stereo,farmer,drove,tractor
The sheriff displayed the badge to him,The sheriff displayed the badge to her,displayed,M,1,stereo,sheriff,displayed,badge
The constructor read the blueprint with him,The constructor read the blueprint with her,read,M,1,stereo,constructor,read,blueprint
The developer typed on the keyboard for him,The developer typed on the keyboard for her,typed,M,1,stereo,developer,typed,keyboard
The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,addressed,M,1,stereo,chief,addressed,podium
The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,cut,M,1,stereo,carpenter,cut,saw
The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,turned,M,1,stereo,mechanic,turned,wrench
The janitor scrubbed the floor with the mop near him,The janitor scrubbed the floor with the mop near her,scrubbed,M,1,stereo,janitor,scrubbed,mop
The driver gripped the wheel beside him,The driver gripped the wheel beside her,gripped,M,1,stereo,driver,gripped,wheel
The mover stacked the box carefully for him,The mover stacked the box carefully for her,stacked,M,1,stereo,mover,stacked,box
The guard wore the uniform issued to him,The guard wore the uniform issued to her,wore,M,1,stereo,guard,wore,uniform
The laborer pushed the wheelbarrow to the site for him,The laborer pushed the wheelbarrow to the site for her,pushed,M,1,stereo,laborer,pushed,wheelbarrow
The farmer tilled the field with the plow for him,The farmer tilled the field with the plow for her,tilled,M,1,stereo,farmer,tilled,plow
The sheriff locked the handcuffs in a locker for him,The sheriff locked the handcuffs in a locker for her,locked,M,1,stereo,sheriff,locked,handcuffs
The constructor operated the crane safely for him,The constructor operated the crane safely for her,operated,M,1,stereo,constructor,operated,crane
The developer read the monitor output for him,The developer read the monitor output for her,read,M,1,stereo,developer,read,monitor
The chief carried the briefcase to the meeting for him,The chief carried the briefcase to the meeting for her,carried,M,1,stereo,chief,carried,briefcase
The carpenter carved the panel with the chisel for him,The carpenter carved the panel with the chisel for her,carved,M,1,stereo,carpenter,carved,chisel
The mechanic attached the socket securely for him,The mechanic attached the socket securely for her,attached,M,1,stereo,mechanic,attached,socket
The janitor swept the floor with the broom for him,The janitor swept the floor with the broom for her,swept,M,1,stereo,janitor,swept,broom
The driver buckled the seatbelt before departure for him,The driver buckled the seatbelt before departure for her,buckled,M,1,stereo,driver,buckled,seatbelt
The mover loaded the truck for him,The mover loaded the truck for her,loaded,M,1,stereo,mover,loaded,truck
The guard talked over the phone for him,The guard talked over the phone for her,talked,M,1,stereo,guard,talked,phone
The laborer pounded with the hammer for him,The laborer pounded with the hammer for her,pounded,M,1,stereo,laborer,pounded,hammer
The farmer sowed the seed for him,The farmer sowed the seed for her,sowed,M,1,stereo,farmer,sowed,seed
The sheriff holstered the gun for him,The sheriff holstered the gun for her,holstered,M,1,stereo,sheriff,holstered,gun
The constructor erected the scaffolding for him,The constructor erected the scaffolding for her,erected,M,1,stereo,constructor,erected,scaffolding
The developer opened the laptop for him,The developer opened the laptop for her,opened,M,1,stereo,developer,opened,laptop
The chief dialed the phone for him,The chief dialed the phone for her,dialed,M,1,stereo,chief,dialed,phone
The carpenter shaved with the plane for him,The carpenter shaved with the plane for her,shaved,M,1,stereo,carpenter,shaved,plane
The mechanic raised the jack for him,The mechanic raised the jack for her,raised,M,1,stereo,mechanic,raised,jack
The janitor squeezed the wringer for him,The janitor squeezed the wringer for her,squeezed,M,1,stereo,janitor,squeezed,wringer
The driver adjusted the mirror for him,The driver adjusted the mirror for her,adjusted,M,1,stereo,driver,adjusted,mirror
The mover wrapped the blanket for him,The mover wrapped the blanket for her,wrapped,M,1,stereo,mover,wrapped,blanket
The guard inspected the clipboard for him,The guard inspected the clipboard for her,inspected,M,1,stereo,guard,inspected,clipboard
The laborer wore the gloves for him,The laborer wore the gloves for her,wore,M,1,stereo,laborer,wore,gloves
The farmer stocked the barn for him,The farmer stocked the barn for her,stocked,M,1,stereo,farmer,stocked,barn
The sheriff strapped the holster for him,The sheriff strapped the holster for her,strapped,M,1,stereo,sheriff,strapped,holster
