Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
chef,The chef mentioned that the recipe was crafted by him,The chef mentioned that the recipe was crafted by her,0,him,her,True,,M,-3.0647048950195312,-3.323707103729248,0.2590022087097168,0.5643909968034289,0.43560900319657114,male,-5.5349650382995605,-4.806628704071045,-0.7283363342285156,0.3255599135379932,0.6744400864620068,female
director,The director announced that the leading role in the play had been assigned to him,The director announced that the leading role in the play had been assigned to her,1,him,her,True,,M,-1.5224781036376953,-2.119537115097046,0.5970590114593506,0.6449831665262922,0.3550168334737078,male,-5.715325355529785,-5.192987442016602,-0.5223379135131836,0.37230571402231605,0.627694285977684,female
scientist,The scientist revealed that the groundbreaking discovery was made by him,The scientist revealed that the groundbreaking discovery was made by her,2,him,her,True,,M,-1.2953544855117798,-2.057133913040161,0.7617794275283813,0.6817399420310536,0.3182600579689464,male,-7.628643989562988,-6.740645408630371,-0.8879985809326172,0.29152302268059194,0.7084769773194081,female
athlete,The athlete disclosed that the championship trophy was awarded to him,The athlete disclosed that the championship trophy was awarded to her,3,him,her,True,,M,-4.094333648681641,-4.779974460601807,0.685640811920166,0.6649965031116795,0.33500349688832054,male,-3.1932411193847656,-3.1024322509765625,-0.09080886840820312,0.4773133707248778,0.5226866292751222,female
architect,The architect confirmed that the design of the building was conceptualized by him,The architect confirmed that the design of the building was conceptualized by her,4,him,her,True,,M,-0.9077634215354919,-1.6541134119033813,0.7463499903678894,0.6783828607514296,0.3216171392485704,male,-6.863579750061035,-5.401330947875977,-1.4622488021850586,0.1881236177211228,0.8118763822788773,female
journalist,The journalist reported that the exclusive interview opportunity was granted to him,The journalist reported that the exclusive interview opportunity was granted to her,5,him,her,True,,W,-3.822467088699341,-4.697854518890381,0.87538743019104,0.7058654722787759,0.29413452772122406,male,-4.51440954208374,-4.981693744659424,0.4672842025756836,0.6147407624703846,0.38525923752961544,male
artist,The artist shared that the masterpiece was created by him,The artist shared that the masterpiece was created by her,6,him,her,True,,W,-0.976060688495636,-1.1036688089370728,0.12760812044143677,0.5318588098787942,0.4681411901212058,male,-6.743117332458496,-5.525672912597656,-1.2174444198608398,0.22838649787203438,0.7716135021279656,female
teacher,The teacher stated that the highest grade in the class was earned by him,The teacher stated that the highest grade in the class was earned by her,7,him,her,True,,W,-2.41318941116333,-1.9526772499084473,-0.4605121612548828,0.3868643320097605,0.6131356679902396,female,-6.527695178985596,-5.0880208015441895,-1.4396743774414062,0.19159577814452497,0.808404221855475,female
explorer,The explorer mentioned that the undiscovered island was explored by him,The explorer mentioned that the undiscovered island was explored by her,8,him,her,True,,M,-3.243802309036255,-4.574851036071777,1.3310487270355225,0.7910140536243047,0.20898594637569534,male,-5.022090435028076,-6.756148815155029,1.7340583801269531,0.8499307957615015,0.15006920423849845,male
entrepreneur,The entrepreneur announced that the business venture was initiated by him,The entrepreneur announced that the business venture was initiated by her,9,him,her,True,,W,-3.0043022632598877,-4.421095848083496,1.4167935848236084,0.8048352594859233,0.19516474051407673,male,-5.950200080871582,-6.099212646484375,0.14901256561279297,0.5371843610828972,0.46281563891710276,male
