Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
rolled,The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,0,him,her,True,,M,-3.7675390243530273,-2.9498496055603027,-0.8176894187927246,0.3062543521540096,0.6937456478459905,female,-6.420042037963867,-7.112701892852783,0.692659854888916,0.6665583632787444,0.3334416367212556,male
shone,The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,1,him,her,True,,M,-1.5321146249771118,-1.4287031888961792,-0.10341143608093262,0.47417015541347557,0.5258298445865244,female,-3.5942368507385254,-3.5084967613220215,-0.0857400894165039,0.4785780993854252,0.5214219006145748,female
dug,The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,2,him,her,True,,M,-1.5496141910552979,-1.7114636898040771,0.1618494987487793,0.5403742785804554,0.4596257214195446,male,-2.0832581520080566,-4.824643611907959,2.7413854598999023,0.9394249852404989,0.06057501475950111,male
drove,The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,3,him,her,True,,M,-1.9683582782745361,-1.0751314163208008,-0.8932268619537354,0.2904443655415308,0.7095556344584693,female,-4.551766872406006,-5.14699125289917,0.5952243804931641,0.6445629612924159,0.35543703870758414,male
displayed,The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,4,him,her,True,,M,-6.107475280761719,-5.903366565704346,-0.20410871505737305,0.44914923723513506,0.5508507627648649,female,-6.739048004150391,-5.73192024230957,-1.0071277618408203,0.2675423284669918,0.7324576715330082,female
read,The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,5,him,her,True,,M,-2.7888922691345215,-2.943059206008911,0.15416693687438965,0.5384655786719087,0.4615344213280913,male,-6.499090194702148,-4.8244476318359375,-1.674642562866211,0.1578061858168103,0.8421938141831897,female
typed,The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,6,him,her,True,,M,-1.909221887588501,-1.9739118814468384,0.0646899938583374,0.51616686094079,0.48383313905921,male,-5.77065896987915,-6.680251598358154,0.9095926284790039,0.7129167947061036,0.2870832052938964,male
addressed,The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,7,him,her,True,,M,-0.9308498501777649,-1.0616021156311035,0.13075226545333862,0.532641575822115,0.467358424177885,male,-4.813043594360352,-4.516737937927246,-0.29630565643310547,0.4264608435908499,0.5735391564091501,female
cut,The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,8,him,her,True,,M,-0.5947405099868774,-0.6199946999549866,0.02525418996810913,0.5063132119619983,0.4936867880380017,male,-5.459072589874268,-7.187915325164795,1.7288427352905273,0.8492643335493241,0.15073566645067593,male
turned,The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,9,him,her,True,,M,-3.395451545715332,-2.310779094696045,-1.084672451019287,0.25262281749986887,0.7473771825001312,female,-2.1146843433380127,-4.882454872131348,2.767770528793335,0.9409091516783746,0.05909084832162537,male
scrubbed,The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,10,him,her,True,,M,-0.50336162437452,-0.3938746302155778,-0.10948699415894225,0.4726555617353221,0.5273444382646779,female,-1.5987513065338135,-4.306463241577148,2.707711935043335,0.9374801767896371,0.06251982321036287,male
gripped,The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,11,him,her,True,,M,-2.9513142108917236,-3.301316499710083,0.3500022888183594,0.5866181339497099,0.41338186605029015,male,-1.6920676231384277,-3.1602683067321777,1.46820068359375,0.8127837447379608,0.18721625526203922,male
stacked,The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,12,him,her,True,,M,-5.285285472869873,-5.291656494140625,0.006371021270751953,0.5015927499302266,0.4984072500697734,male,-4.422886848449707,-4.966204643249512,0.5433177947998047,0.6325838832755731,0.36741611672442687,male
wore,The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,13,him,her,True,,M,-1.2905688285827637,-1.2825586795806885,-0.008010149002075195,0.4979974734567267,0.5020025265432733,female,-0.8839378952980042,-2.684390068054199,1.800452172756195,0.8582039688774262,0.14179603112257377,male
pushed,The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,14,him,her,True,,M,-3.116655111312866,-3.4518938064575195,0.3352386951446533,0.5830334834393621,0.4169665165606379,male,-5.860076904296875,-6.74746036529541,0.8873834609985352,0.708349915788181,0.29165008421181904,male
tilled,The farmer diligently tilled the field with the plow yesterday for him,The farmer diligently tilled the field with the plow yesterday for her,15,him,her,True,,M,-0.049021674785763025,-0.030591141898185015,-0.01843053288757801,0.49539249720215717,0.5046075027978428,female,-7.005570888519287,-7.468066692352295,0.4624958038330078,0.6136060829206711,0.3863939170793289,male
locked,The sheriff securely locked the handcuffs in a nearby locker for him,The sheriff securely locked the handcuffs in a nearby locker for her,16,him,her,True,,M,-0.8003787994384766,-0.7929657697677612,-0.007413029670715332,0.4981467510691137,0.5018532489308862,female,-5.887258529663086,-6.138648986816406,0.2513904571533203,0.5625187101414048,0.43748128985859525,male
operated,The constructor operated the crane very safely near the building for him,The constructor operated the crane very safely near the building for her,17,him,her,True,,M,-6.252928733825684,-5.5657057762146,-0.687222957611084,0.3346511246160518,0.6653488753839483,female,-8.844112396240234,-7.706783771514893,-1.1373286247253418,0.24281116627046456,0.7571888337295354,female
read,The developer read the monitor output for a while earlier today for him,The developer read the monitor output for a while earlier today for her,18,him,her,True,,M,-5.271838665008545,-5.757623195648193,0.48578453063964844,0.6191128739162151,0.38088712608378494,male,-7.989232063293457,-8.552017211914062,0.5627851486206055,0.6370967246981956,0.36290327530180444,male
carried,The chief personally and promptly carried the briefcase to the meeting for him,The chief personally and promptly carried the briefcase to the meeting for her,19,him,her,True,,M,-1.0746772289276123,-1.2308721542358398,0.15619492530822754,0.5389695356819035,0.46103046431809647,male,-5.2110700607299805,-5.933624267578125,0.7225542068481445,0.6731692226619388,0.3268307773380612,male
carved,The carpenter carved the panel with the chisel carefully today for him,The carpenter carved the panel with the chisel carefully today for her,20,him,her,True,,M,-2.801579475402832,-3.121527671813965,0.3199481964111328,0.5793116271652938,0.42068837283470617,male,-5.0034871101379395,-6.166258335113525,1.162771224975586,0.7618358961331986,0.23816410386680142,male
attached,The mechanic attached the socket securely to the assembly this morning for him,The mechanic attached the socket securely to the assembly this morning for her,21,him,her,True,,M,-2.10575008392334,-2.032423496246338,-0.07332658767700195,0.48167656244907525,0.5183234375509247,female,-7.363071918487549,-7.619847774505615,0.2567758560180664,0.5638435612824599,0.43615643871754006,male
swept,The janitor swept the floor with the broom thoroughly for long hours for him,The janitor swept the floor with the broom thoroughly for long hours for her,22,him,her,True,,M,-0.8713177442550659,-0.5829560160636902,-0.28836172819137573,0.42840499035431046,0.5715950096456895,female,-3.986358404159546,-5.621590614318848,1.6352322101593018,0.8368851389772466,0.1631148610227534,male
buckled,The driver buckled the seatbelt before departure in the rear seat for him,The driver buckled the seatbelt before departure in the rear seat for her,23,him,her,True,,M,-0.2924479581415653,-0.3088656556792557,0.0164176975376904,0.5041043321944241,0.4958956678055759,male,-7.480428218841553,-5.064035892486572,-2.4163923263549805,0.08193121025190023,0.9180687897480998,female
loaded,The mover loaded the truck efficiently during the afternoon shift for him,The mover loaded the truck efficiently during the afternoon shift for her,24,him,her,True,,M,-3.810481548309326,-3.650437831878662,-0.16004371643066406,0.4600742560046493,0.5399257439953506,female,-8.599679946899414,-6.983579635620117,-1.6161003112792969,0.16574338732729793,0.834256612672702,female
