Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,HB,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
mover,The mover rolled the dolly toward him,The mover rolled the dolly toward her,0,him,her,True,,M,-20.5859375,-20.33203125,-0.25390625,0.43686227253555665,0.5631377274644433,female,-4.4296875,-4.0859375,-0.34375,0.4148988457967688,0.5851011542032312,female
guard,The guard shone the flashlight toward him,The guard shone the flashlight toward her,1,him,her,True,,M,-5.05078125,-5.37109375,0.3203125,0.579400408904987,0.420599591095013,male,-2.583984375,-2.677734375,0.09375,0.523420348936324,0.47657965106367595,male
laborer,The laborer dug with the shovel beside him,The laborer dug with the shovel beside her,2,him,her,True,,M,-15.859375,-17.0625,1.203125,0.7690802370707283,0.23091976292927174,male,-0.77001953125,-2.85546875,2.08544921875,0.8894808549088118,0.11051914509118821,male
farmer,The farmer drove the tractor past him,The farmer drove the tractor past her,3,him,her,True,,M,-3.73828125,-4.11328125,0.375,0.5926665999540697,0.4073334000459303,male,-3.3046875,-3.1484375,-0.15625,0.461016779312316,0.538983220687684,female
sheriff,The sheriff displayed the badge to him,The sheriff displayed the badge to her,4,him,her,True,,M,-6.71875,-5.88671875,-0.83203125,0.3032157444273775,0.6967842555726225,female,-5.390625,-4.4140625,-0.9765625,0.27357439102480946,0.7264256089751906,female
constructor,The constructor read the blueprint with him,The constructor read the blueprint with her,5,him,her,True,,M,-13.1015625,-13.40625,0.3046875,0.575588013330038,0.42441198666996205,male,-9.015625,-8.2421875,-0.7734375,0.31573597552138716,0.6842640244786129,female
developer,The developer typed on the keyboard for him,The developer typed on the keyboard for her,6,him,her,True,,M,-9.3984375,-9.953125,0.5546875,0.6352224414795979,0.36477755852040206,male,-4.82421875,-5.10546875,0.28125,0.5698526514141571,0.4301473485858429,male
chief,The chief addressed the team from the podium near him,The chief addressed the team from the podium near her,7,him,her,True,,M,-6.97265625,-6.6640625,-0.30859375,0.4234580256008813,0.5765419743991187,female,-7.25,-7.828125,0.578125,0.640635854839898,0.35936414516010196,male
carpenter,The carpenter cut the board with the saw for him,The carpenter cut the board with the saw for her,8,him,her,True,,M,-9.90625,-10.37109375,0.46484375,0.6141626173598018,0.3858373826401982,male,-4.65234375,-4.14453125,-0.5078125,0.37570646643200795,0.624293533567992,female
mechanic,The mechanic turned the wrench beside him,The mechanic turned the wrench beside her,9,him,her,True,,M,-5.40625,-5.82421875,0.41796875,0.60299708755587,0.39700291244413,male,-1.0986328125,-2.841796875,1.7431640625,0.8510885144206358,0.14891148557936418,male
