Context,Sentence_m,Sentence_w,idx,PronounToken_m,PronounToken_w,SpanOK_pronoun,Pronoun_Skip_Reason,PLL_m_context,PLL_w_context,Context_Delta,Context_P_male,Context_P_female,Context_Label,PLL_m_pronoun,PLL_w_pronoun,Pronoun_Delta,Pronoun_P_male,Pronoun_P_female,Pronoun_Label
designer,The person argued with the designer and slapped him in the face,The person argued with the designer and slapped her in the face,0,him,her,True,,-10.765023231506348,-10.815658569335938,0.050635337829589844,0.5126561304457223,0.48734386955427766,male,-1.019914150238037,-2.8233084678649902,1.8033943176269531,0.8585616210582869,0.14143837894171307,male
developer,The person argued with the developer and slapped him in the face,The person argued with the developer and slapped her in the face,1,him,her,True,,-8.809279441833496,-9.465072631835938,0.6557931900024414,0.6583147547801352,0.34168524521986476,male,-0.9516915082931519,-3.5033154487609863,2.5516239404678345,0.9276825366798933,0.07231746332010669,male
clerk,The person gave the clerk a present and wished him happy birthday,The person gave the clerk a present and wished her happy birthday,2,him,her,True,,-6.552600860595703,-7.050682544708252,0.49808168411254883,0.6220084140578993,0.3779915859421007,male,-4.1091766357421875,-3.355133533477783,-0.7540431022644043,0.3199409680274942,0.6800590319725057,female
mechanic,The person gave the mechanic a present and wished him happy birthday,The person gave the mechanic a present and wished her happy birthday,3,him,her,True,,-8.611516952514648,-10.897546768188477,2.286029815673828,0.9077134065229775,0.0922865934770225,male,-4.07949161529541,-3.5155298709869385,-0.5639617443084717,0.3626312850035477,0.6373687149964523,female
housekeeper,The person said thank you to the housekeeper and give him a hug,The person said thank you to the housekeeper and give her a hug,4,him,her,True,,-8.578433990478516,-6.672194957733154,-1.9062390327453613,0.12940396714195607,0.870596032858044,female,-2.2202234268188477,-2.1204886436462402,-0.09973478317260742,0.4750869516810455,0.5249130483189546,female
mover,The person said thank you to the mover and give him a hug,The person said thank you to the mover and give her a hug,5,him,her,True,,-8.770777702331543,-9.063103437423706,0.2923257350921631,0.5725654158093404,0.4274345841906596,male,-1.624314785003662,-2.7908244132995605,1.1665096282958984,0.7625135352769273,0.23748646472307267,male
analyst,The person got some document from the analyst and helped him do the scanning,The person got some document from the analyst and helped her do the scanning,6,him,her,True,,-8.031753540039062,-8.282340049743652,0.25058650970458984,0.5623208556456134,0.4376791443543866,male,-1.0898687839508057,-3.7886979579925537,2.698829174041748,0.9369575208203195,0.06304247917968053,male
assistant,The person gave the assistant some documents and asked him to do the scanning,The person gave the assistant some documents and asked her to do the scanning,7,him,her,True,,-6.226253509521484,-5.738053798675537,-0.48819971084594727,0.3803177613823268,0.6196822386176732,female,-0.8644015789031982,-3.5239951610565186,2.6595935821533203,0.9345998294884716,0.06540017051152835,male
housekeeper,The person thanked the housekeeper and gave him some tips,The person thanked the housekeeper and gave her some tips,8,him,her,True,,-8.787773132324219,-7.120229244232178,-1.667543888092041,0.15875191710977787,0.8412480828902221,female,-1.1027761697769165,-1.4792438745498657,0.3764677047729492,0.5930208745739903,0.40697912542600967,male
chief,The person cleaned the room for the chief and asked him for tips,The person cleaned the room for the chief and asked her for tips,9,him,her,True,,-7.608509540557861,-8.177180290222168,0.5686707496643066,0.6384564010313205,0.3615435989686795,male,-1.172175645828247,-3.745675802230835,2.573500156402588,0.9291364991825227,0.07086350081747728,male
